,quarter,roa
0,2007Q2,14.47
1,2007Q3,1.23
2,2007Q4,0.64
3,2008Q1,0.67
4,2008Q2,-1.15
5,2008Q3,0.32
6,2008Q4,0.74
7,2009Q1,1.22
8,2009Q2,0.21
9,2009Q3,1.49
10,2009Q4,0.56
11,2010Q1,1.76
12,2010Q2,1.41
13,2010Q3,2.57
14,2010Q4,4.01
15,2011Q1,3.9
16,2011Q2,2.83
17,2011Q3,0.08
18,2011Q4,-0.85
19,2012Q1,-0.69
20,2012Q2,0.7
21,2012Q3,-0.04
22,2012Q4,-1.03
23,2013Q1,1.14
24,2013Q2,1.74
25,2013Q3,1.84
26,2013Q4,1.46
27,2014Q1,1.93
28,2014Q2,2.4
29,2014Q3,2.33
30,2014Q4,1.93
31,2015Q1,1.64
32,2015Q2,2.44
33,2015Q3,1.94
34,2015Q4,0.89
35,2016Q1,0.87
36,2016Q2,1.09
37,2016Q3,1.55
38,2016Q4,0.92
39,2017Q1,1.67
40,2017Q2,2.34
41,2017Q3,1.66
42,2017Q4,0.7
43,2018Q1,1.64
44,2018Q2,2.24
45,2018Q3,3.08
46,2018Q4,1.45
47,2019Q1,1.38
48,2019Q2,1.71
49,2019Q3,1.95
50,2019Q4,2.16
51,2020Q1,1.17
52,2020Q2,2.73
53,2020Q3,2.84
54,2020Q4,2.54
55,2021Q1,2.06
56,2021Q2,1.77
57,2021Q3,-0.08
58,2021Q4,0.7
59,2022Q1,2.0
60,2022Q2,1.45
