,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc,lev
0,2006Q3,362572.0,14500.0,25004965.51724138,,,0.5784762115054
1,2006Q4,513561.0,17134.0,29973211.159098867,4968245.641857486,16.575620194599313,0.5111754757157069
2,2007Q1,530255.0,17691.0,29973150.18936182,-60.9697370454669,-0.0002034145115220705,0.4952500161868295
3,2007Q2,549549.0,18334.0,29974310.025089998,1159.8357281759381,0.00386943261481281,0.511235684786034
4,2007Q3,575732.0,17150.0,33570379.008746356,3596068.983656358,10.712029741217535,0.503182492403453
5,2007Q4,592589.0,17652.0,33570643.55313846,264.54439210146666,0.0007880229989714776,0.4886709075537886
6,2008Q1,598063.0,17815.0,33570754.98175695,111.42861849069595,0.0003319216936028058,0.4994166041704682
7,2008Q2,595561.0,17741.0,33569753.6779212,-1001.3038357496262,-0.002982755981340974,0.48319444727926086
8,2008Q3,602240.0,16924.0,35584968.09264949,2015214.4147282913,5.663105863918306,0.47517394233468996
9,2008Q4,602586.0,16934.0,35584386.441478685,-581.6511708050966,-0.0016345684975113104,0.47834781445653524
10,2009Q1,592725.0,16657.0,35584138.80050429,-247.6409743949771,-0.0006959307791129332,0.4891085674016327
11,2009Q2,576628.0,16204.0,35585534.43594174,1395.635437451303,0.003921917879197839,0.5002149504397696
12,2009Q3,572872.0,15480.0,37007235.142118864,1421700.706177123,3.841683121468995,0.5151373572254435
13,2009Q4,592653.0,16014.0,37008430.12364181,1194.9815229475498,0.0032289441053166127,0.493750608201984
14,2010Q1,592070.0,15998.0,37009001.125140645,571.0014988332987,0.0015428719540485267,0.4705179542315835
15,2010Q2,586043.0,15836.0,37007009.345794395,-1991.7793462499976,-0.005382167814855729,0.47277477306888716
16,2010Q3,607195.0,15776.0,38488526.876267746,1481517.5304733515,3.849244569001325,0.46595289716258503
17,2010Q4,636505.0,16538.0,38487422.90482525,-1103.9714424982667,-0.0028683953332709618,0.4280862255203249
18,2011Q1,647820.0,16832.0,38487404.94296578,-17.961859464645386,-4.6669448073370857e-05,0.4412618566979562
19,2011Q2,674494.0,17525.0,38487532.09700428,127.15403849631548,0.0003303772197599873,0.43409984408504465
20,2011Q3,681994.0,16717.0,40796434.76700365,2308902.6699993685,5.659569722663168,0.5104394875007254
21,2011Q4,690212.0,16918.0,40797493.793592624,1059.0265889763832,0.002595812856383611,0.5501263325400739
22,2012Q1,671871.0,16468.0,40798579.06242409,1085.2688314691186,0.0026600652679805267,0.5751875290538452
23,2012Q2,672127.0,16475.0,40796783.00455235,-1796.0578717440367,-0.004402449750863007,0.5830411320125701
24,2012Q3,681180.0,16697.0,40796550.27849314,-232.7260592058301,-0.0005704552409876604,0.5788465220874064
