,date,quarter,price,shares_est,market_cap
0,2016-06-30,2016Q2,15.2,26003501.49137596,395253222669
1,2016-09-30,2016Q3,18.1,26002819.90224339,470651040231
2,2016-12-30,2016Q4,17.4,26002780.632291604,452448383002
3,2017-03-31,2017Q1,16.45,26002614.720878545,427743012158
4,2017-06-30,2017Q2,16.1,26003305.68926521,418653221597
5,2017-09-29,2017Q3,16.1,26003320.389442287,418653458270
6,2017-12-29,2017Q4,16.2,26003763.499509107,421260968692
7,2018-03-30,2018Q1,16.65,26003522.126910187,432958643413
8,2018-06-29,2018Q2,14.8,26002765.3167824,384840926688
9,2018-09-28,2018Q3,14.9,26003253.198059108,387448472651
10,2018-12-28,2018Q4,15.7,26003289.958261725,408251652345
11,2019-03-29,2019Q1,19.1,26002767.385845333,496652857070
12,2019-06-28,2019Q2,27.8,26003443.909850597,722895740694
13,2019-09-30,2019Q3,25.0,26003522.849593893,650088071240
14,2019-12-31,2019Q4,20.1,26003067.793200564,522661662643
15,2020-03-31,2020Q1,13.8,26003051.18110236,358842106299
16,2020-06-30,2020Q2,19.1,26002962.962962963,496656592593
17,2020-09-30,2020Q3,27.1,26003633.225850403,704698460421
18,2020-12-31,2020Q4,48.0,26003486.69104516,1248167361170
19,2021-03-31,2021Q1,47.35,26003410.751989607,1231261499107
20,2021-06-30,2021Q2,45.0,26002843.489593618,1170127957032
21,2021-09-30,2021Q3,40.85,26002970.83887108,1062221358768
22,2021-12-31,2021Q4,48.0,26002974.62158295,1248142781836
23,2022-03-31,2022Q1,55.2,26002684.11957201,1435348163400
24,2022-06-30,2022Q2,23.85,26002664.636467453,620163551580
