quarter,quarter,change_perc_mean,change_perc_stdv
2010Q1,2010Q1,-0.11666666666666665,6.18175075720806
2010Q2,2010Q2,-0.49112903225806465,2.696858588315824
2010Q3,2010Q3,-0.3517187500000002,2.7217545430583434
2010Q4,2010Q4,-0.2442424242424242,2.8384763304963245
2011Q1,2011Q1,-0.6029824561403507,2.252902068850214
2011Q2,2011Q2,0.09098360655737708,2.8255929790152203
2011Q3,2011Q3,-0.02353846153846149,2.663119312226519
2011Q4,2011Q4,-0.7316923076923079,2.238844267439376
2012Q1,2012Q1,0.33966101694915246,2.942175459559377
2012Q2,2012Q2,0.15903225806451615,3.12335134723691
2012Q3,2012Q3,-0.3500000000000001,2.4979191339993374
2012Q4,2012Q4,0.29738461538461536,2.7688486308183435
2013Q1,2013Q1,0.35051724137931045,3.4506543607323783
2013Q2,2013Q2,0.47098360655737703,3.2499126680153694
2013Q3,2013Q3,0.011538461538461539,2.620164135346075
2013Q4,2013Q4,0.14409090909090905,2.8319033975661765
2014Q1,2014Q1,0.5971428571428569,2.4378005841970927
2014Q2,2014Q2,-1.478688524590164,10.63184829892555
2014Q3,2014Q3,-0.026562500000000003,1.3651004018543316
2014Q4,2014Q4,0.0533333333333333,1.946625745969624
2015Q1,2015Q1,-0.28517857142857145,1.284237291966684
2015Q2,2015Q2,-0.0981967213114754,2.43292451465085
2015Q3,2015Q3,-0.40523076923076917,1.9783216590176786
2015Q4,2015Q4,-0.09727272727272725,2.705218060571967
2016Q1,2016Q1,0.9954237288135593,4.159776321089416
2016Q2,2016Q2,0.4885483870967744,4.100494910863047
2016Q3,2016Q3,0.2999999999999999,3.12798107810773
2016Q4,2016Q4,0.3726153846153846,2.392860002253499
2017Q1,2017Q1,0.30016949152542377,2.2834128204747293
2017Q2,2017Q2,-0.13741935483870962,1.7595676960538627
2017Q3,2017Q3,0.1078125,1.6643626634230972
2017Q4,2017Q4,-0.1658461538461539,1.6670397531137457
2018Q1,2018Q1,0.1526315789473684,2.4001551484939685
2018Q2,2018Q2,-0.2972580645161291,1.480568310641181
2018Q3,2018Q3,-0.1932812499999999,1.441783567721173
2018Q4,2018Q4,-0.4589230769230769,1.694885802824304
2019Q1,2019Q1,-0.048275862068965496,2.996472275527279
2019Q2,2019Q2,-0.08950819672131152,1.4185572791037944
2019Q3,2019Q3,-0.15692307692307692,1.3207501692657033
2019Q4,2019Q4,0.033030303030303014,2.4617560772105316
2020Q1,2020Q1,-0.923728813559322,2.459022021963263
2020Q2,2020Q2,0.49532258064516144,3.32409618813992
2020Q3,2020Q3,0.24630769230769228,2.0334042954725344
2020Q4,2020Q4,1.0677272727272726,3.023879217904631
2021Q1,2021Q1,0.8862068965517241,3.710575605598663
2021Q2,2021Q2,0.6259677419354843,3.6476790103950734
2021Q3,2021Q3,0.39140625,3.8099372436557575
2021Q4,2021Q4,-0.04363636363636363,3.0145328181806406
2022Q1,2022Q1,-0.13827586206896564,2.9117644846026103
2022Q2,2022Q2,-1.2875806451612901,3.813150104952326
2022Q3,2022Q3,-0.13203124999999993,2.530565643329256
