,date,quarter,price,shares_est,market_cap
0,2009-06-30,2009Q2,20.7,69997493.73433584,1448948120301
1,2009-09-30,2009Q3,21.3,70002005.45483716,1491042716188
2,2009-12-31,2009Q4,18.5,70000164.75821732,1295003048027
3,2010-03-31,2010Q1,16.1,69999396.2394342,1126990279455
4,2010-06-30,2010Q2,15.8,70000865.50112516,1106013674918
5,2010-09-30,2010Q3,12.5,69997421.79443108,874967772430
6,2010-12-31,2010Q4,10.2,72702593.19286872,741566450567
7,2011-03-31,2011Q1,10.2,69998827.66705744,713988042204
8,2011-06-30,2011Q2,10.0,70000102.5430681,700001025431
9,2011-09-30,2011Q3,9.5,70000682.92682926,665006487805
10,2011-12-30,2011Q4,7.9,69996977.0843491,552976118966
11,2012-03-30,2012Q1,9.5,69997248.96836314,664973865199
12,2012-06-29,2012Q2,10.7,69999117.93243362,748990561877
13,2012-09-28,2012Q3,10.8,70002343.88079692,756025313913
14,2012-12-28,2012Q4,11.5,70001794.49169073,805020636654
15,2013-03-29,2013Q1,14.0,69998220.77821614,979975090895
16,2013-06-28,2013Q2,14.5,69999329.98324957,1014990284757
17,2013-09-30,2013Q3,15.3,69997748.6220014,1070965553917
18,2013-12-31,2013Q4,16.8,70002528.8211231,1176042484195
19,2014-03-31,2014Q1,18.7,69999414.64842321,1308989053926
20,2014-06-30,2014Q2,21.4,70000640.10241638,1498013698192
21,2014-09-30,2014Q3,22.0,70002325.23252325,1540051155116
22,2014-12-31,2014Q4,28.7,69998430.56977141,2008954957352
23,2015-03-31,2015Q1,27.8,70000930.46337076,1946025866882
24,2015-06-30,2015Q2,29.0,70000758.72534142,2030022003035
25,2015-09-30,2015Q3,29.6,69998296.98041527,2071949590620
26,2015-12-31,2015Q4,29.2,70000064.00409627,2044001868920
27,2016-03-31,2016Q1,27.5,70000895.88532668,1925024636846
28,2016-06-30,2016Q2,27.3,70001784.12132025,1911048706512
29,2016-09-30,2016Q3,26.1,69999155.4054054,1826977956081
30,2016-12-30,2016Q4,26.0,70000689.9882702,1820017939695
31,2017-03-31,2017Q1,27.0,70000478.1747387,1890012910718
32,2017-06-30,2017Q2,31.0,69998222.79092912,2169944906519
33,2017-09-29,2017Q3,31.7,69998222.79092912,2218943662472
34,2017-12-29,2017Q4,33.5,70001990.7100199,2345066688786
35,2018-03-30,2018Q1,32.8,70000000.0,2296000000000
36,2018-06-29,2018Q2,29.5,70002012.68602099,2065059374238
37,2018-09-28,2018Q3,33.0,70001169.655787,2310038598641
38,2018-12-28,2018Q4,32.4,70000579.40479326,2268018772715
39,2019-03-29,2019Q1,36.9,70000201.8367141,2583007447775
40,2019-06-28,2019Q2,37.0,69998920.58596762,2589960061681
41,2019-09-30,2019Q3,35.6,70001006.5666491,2492035833773
42,2019-12-31,2019Q4,35.7,69999059.0006587,2498966406324
43,2020-03-31,2020Q1,32.1,69999544.10759062,2246985365854
44,2020-06-30,2020Q2,35.1,69999385.72036101,2456978438785
45,2020-09-30,2020Q3,42.45,70000837.94981612,2971535570970
46,2020-12-31,2020Q4,42.1,70000627.43692018,2947026415094
47,2021-03-31,2021Q1,41.95,70001238.64574732,2936551961189
48,2021-06-30,2021Q2,41.0,69999591.28860863,2869983242833
49,2021-09-30,2021Q3,44.65,70001362.69486536,3125560844326
50,2021-12-31,2021Q4,51.5,69998405.73933838,3604917895576
51,2022-03-31,2022Q1,60.0,70000045.95165886,4200002757100
52,2022-06-30,2022Q2,54.5,69999164.9474408,3814954489636
