,date,quarter,price,shares_est,market_cap
0,2011-03-31,2011Q1,24.5,3381554.555084746,82848086600
1,2011-06-30,2011Q2,19.0,3382555.300732411,64268550714
2,2011-09-30,2011Q3,11.5,3374514.598015245,38806917877
3,2011-12-30,2011Q4,7.5,6743936.731107206,50579525483
4,2012-03-30,2012Q1,8.0,6745176.848874598,53961414791
5,2012-06-29,2012Q2,6.5,6745547.390708681,43846058040
6,2012-09-28,2012Q3,5.1,6745542.7185850805,34402267865
7,2012-12-28,2012Q4,4.7,6745686.9993838575,31704728897
8,2013-03-29,2013Q1,4.9,6745214.733794435,33051552196
9,2013-06-28,2013Q2,7.8,6745251.396648045,52612960894
10,2013-08-23,2013Q3,6.5,6745407.25085352,43845147131
11,2013-12-31,2013Q4,6.5,6745350.278983261,43844776813
12,2014-03-31,2014Q1,7.0,6745647.820058542,47219534740
13,2014-06-30,2014Q2,7.7,6745702.677362225,51941910616
14,2014-09-30,2014Q3,10.6,6745257.452574526,71499728997
15,2014-12-31,2014Q4,10.2,6745356.995460173,68802641354
16,2015-03-31,2015Q1,9.0,6745497.3393368805,60709476054
17,2015-06-30,2015Q2,10.5,6745723.251341229,70830094139
18,2015-09-30,2015Q3,10.4,6745586.603450015,70154100676
19,2015-12-31,2015Q4,10.2,6745266.095276061,68801714172
20,2016-03-31,2016Q1,9.1,6745729.432554486,61386137836
21,2016-06-30,2016Q2,9.3,6745229.007633587,62730629771
22,2016-09-30,2016Q3,8.2,6745398.486405681,55312267589
23,2016-12-30,2016Q4,11.1,6745232.856618995,74872084708
24,2017-03-31,2017Q1,11.8,6745716.11839091,79599450197
25,2017-06-30,2017Q2,12.2,6745438.121047877,82294345077
26,2017-09-29,2017Q3,11.1,6745257.6950608445,74872360415
27,2017-12-29,2017Q4,7.6,6745667.282484384,51267071347
28,2018-03-30,2018Q1,8.8,6745752.157281381,59362618984
29,2018-06-29,2018Q2,10.0,6745652.978172401,67456529782
30,2018-09-28,2018Q3,11.5,6745786.128764852,77576540481
31,2018-12-28,2018Q4,8.3,6745163.9269821085,55984860594
32,2019-03-29,2019Q1,8.3,6745323.741007194,55986187050
33,2019-06-28,2019Q2,7.5,6745203.998919211,50589029992
34,2019-09-30,2019Q3,7.0,6745470.692717585,47218294849
35,2019-12-31,2019Q4,7.0,6745672.207389545,47219705452
36,2020-03-31,2020Q1,7.0,6745230.55864488,47216613911
37,2020-06-30,2020Q2,6.5,6745475.514549326,43845590845
38,2020-09-30,2020Q3,8.0,6745674.289192244,53965394314
39,2020-12-31,2020Q4,8.8,6745262.796879019,59358312613
40,2021-03-31,2021Q1,9.6,6745185.810810811,64753783784
41,2021-06-30,2021Q2,9.0,6745506.892339906,60709562031
42,2021-09-30,2021Q3,12.0,6745249.763562893,80942997163
43,2021-12-31,2021Q4,9.0,6745558.105925359,60710022953
44,2022-03-31,2022Q1,12.9,6745201.575727098,87013100327
45,2022-06-30,2022Q2,10.4,6745352.507891968,70151666082
