quarter,quarter,change_perc_mean,change_perc_stdv
2007Q4,2007Q4,1.201774193548387,3.227736111765019
2008Q1,2008Q1,-0.8810344827586207,3.5211768814373734
2008Q2,2008Q2,-0.1466666666666666,1.9323303457151813
2008Q3,2008Q3,0.40093749999999967,3.310972963387909
2008Q4,2008Q4,-0.7731818181818181,3.770341816412328
2009Q1,2009Q1,0.11827586206896537,3.219517310411409
2009Q2,2009Q2,0.32564516129032267,4.006008855955338
2009Q3,2009Q3,-0.022153846153846118,2.9128999147690497
2009Q4,2009Q4,-0.071060606060606,3.181352459755674
2010Q1,2010Q1,0.06793103448275853,2.9440750840329244
2010Q2,2010Q2,-0.2619354838709677,2.7951813564492674
2010Q3,2010Q3,-0.6632812499999999,3.403107382400795
2010Q4,2010Q4,0.108939393939394,3.1691785534997403
2011Q1,2011Q1,-0.17526315789473684,2.8572021187463124
2011Q2,2011Q2,-0.22836065573770492,2.8887345443566743
2011Q3,2011Q3,-0.005384615384615427,2.963955379283672
2011Q4,2011Q4,0.098923076923077,2.7952024317775956
2012Q1,2012Q1,-0.018305084745762715,2.0655742731096165
2012Q2,2012Q2,-0.4220967741935483,3.0142384173092327
2012Q3,2012Q3,-0.7553124999999999,2.8244943184155824
2012Q4,2012Q4,0.22599999999999998,2.1963882284332157
2013Q1,2013Q1,-0.1532758620689654,2.9539651543461627
2013Q2,2013Q2,-0.02967213114754105,3.4116818761490233
2013Q3,2013Q3,0.15584615384615394,3.1261787238514596
2013Q4,2013Q4,0.7027272727272728,3.5101459734952267
2014Q1,2014Q1,0.9414285714285715,4.172321101811722
2014Q2,2014Q2,1.0365573770491803,4.531856457437687
2014Q3,2014Q3,0.6695312499999999,2.9498955750619107
2014Q4,2014Q4,0.22636363636363643,3.1917285581344776
2015Q1,2015Q1,0.8008928571428574,3.5832150503985383
2015Q2,2015Q2,-0.3750819672131148,3.3159968953296772
2015Q3,2015Q3,-0.2570769230769231,2.1511659070409666
2015Q4,2015Q4,0.1727272727272728,2.6794020833901593
2016Q1,2016Q1,-0.4554237288135593,3.2081347690938133
2016Q2,2016Q2,-0.8654838709677422,3.388246162413916
2016Q3,2016Q3,-0.8692307692307693,3.370937048735627
2016Q4,2016Q4,-0.23538461538461544,3.2042579469176036
2017Q1,2017Q1,0.11898305084745761,2.2626568872374233
2017Q2,2017Q2,0.756935483870968,3.151405405300359
2017Q3,2017Q3,0.04625000000000001,4.539253662170006
2017Q4,2017Q4,-0.14015384615384618,2.860258670725698
2018Q1,2018Q1,-0.8324561403508773,2.9782480952385377
2018Q2,2018Q2,-0.3196774193548387,2.5606197813669365
2018Q3,2018Q3,0.035781249999999966,1.9817042566721952
2018Q4,2018Q4,-0.5103076923076925,1.872947183944639
2019Q1,2019Q1,0.39689655172413796,2.7190073052407953
2019Q2,2019Q2,0.08999999999999994,2.818913502279439
2019Q3,2019Q3,0.5886153846153844,3.5224799843838177
2019Q4,2019Q4,0.5498484848484848,4.798539038058031
2020Q1,2020Q1,-0.7374576271186438,4.809817041907296
2020Q2,2020Q2,0.6412903225806449,4.375297454570419
2020Q3,2020Q3,0.17046153846153853,3.229169509510742
2020Q4,2020Q4,0.32757575757575763,2.3298174643626948
2021Q1,2021Q1,1.3000000000000003,4.203778166981814
2021Q2,2021Q2,0.7938709677419354,4.008322225700543
2021Q3,2021Q3,-0.12921874999999994,3.8514385293081963
2021Q4,2021Q4,0.7783333333333332,3.4636981496364365
2022Q1,2022Q1,0.09068965517241385,3.8936709157608558
2022Q2,2022Q2,-1.494516129032257,4.515766796683668
2022Q3,2022Q3,-0.2970312499999999,2.9225025586570736
