quarter,quarter,change_perc_mean,change_perc_stdv
2009Q4,2009Q4,-0.22810344827586224,6.6078163330154
2010Q1,2010Q1,-0.07775862068965517,3.573607466787414
2010Q2,2010Q2,1.094032258064516,3.922964945822926
2010Q3,2010Q3,-0.5795312499999999,3.8193178272663566
2010Q4,2010Q4,-1.8856060606060614,3.2963439555352037
2011Q1,2011Q1,-0.6514035087719301,3.9322523710048394
2011Q2,2011Q2,0.05163934426229504,3.364187460258356
2011Q3,2011Q3,-0.24738461538461531,3.09455331839421
2011Q4,2011Q4,-0.1272307692307692,3.967160708433484
2012Q1,2012Q1,0.6501694915254238,2.4052553750180423
2012Q2,2012Q2,0.3159677419354837,2.604259096473565
2012Q3,2012Q3,-0.14421875,2.078419580207252
2012Q4,2012Q4,0.03184615384615385,2.534730565259656
2013Q1,2013Q1,0.2710344827586207,2.6974514870718003
2013Q2,2013Q2,0.6427868852459014,4.419443453327406
2013Q3,2013Q3,-0.20976744186046511,2.580178554519133
2013Q4,2013Q4,0.34885245901639333,2.723422539355371
2014Q1,2014Q1,0.6748214285714287,3.832910117330234
2014Q2,2014Q2,0.110655737704918,2.724635063546712
2014Q3,2014Q3,0.23734375,2.5450233055891776
2014Q4,2014Q4,0.5162121212121212,4.5007362697337605
2015Q1,2015Q1,0.689642857142857,3.3248704495804806
2015Q2,2015Q2,0.09655737704918033,2.0076087643810667
2015Q3,2015Q3,-0.1036923076923077,1.7059139497190805
2015Q4,2015Q4,0.42515151515151517,2.4105168564338055
2016Q1,2016Q1,0.803728813559322,3.11043122540084
2016Q2,2016Q2,0.6843548387096771,3.6229177721141825
2016Q3,2016Q3,0.41738461538461535,2.1859060456443715
2016Q4,2016Q4,0.7558461538461537,2.298888245100562
2017Q1,2017Q1,0.211864406779661,1.9327900813432546
2017Q2,2017Q2,-0.15645161290322576,1.4725433521121936
2017Q3,2017Q3,-0.35015625,2.1288669705674454
2017Q4,2017Q4,0.07461538461538464,2.6274013283822124
2018Q1,2018Q1,0.7786440677966102,3.0242288601748055
2018Q2,2018Q2,-0.14290322580645162,3.0923906541209094
2018Q3,2018Q3,0.64828125,2.535458103116423
2018Q4,2018Q4,-0.04723076923076924,2.8286527864936803
2019Q1,2019Q1,-0.04879310344827588,1.7418472525395767
2019Q2,2019Q2,0.21814814814814804,3.1260216890289687
2019Q3,2019Q3,-0.4526153846153846,4.8262716190020445
2019Q4,2019Q4,-0.18393939393939396,1.302703554196637
2020Q1,2020Q1,-0.8086440677966104,3.1335264136306713
2020Q2,2020Q2,0.7337096774193549,2.976934408365104
2020Q3,2020Q3,-0.5241538461538463,4.416506287605797
2020Q4,2020Q4,0.17939393939393938,1.6316352144990842
2021Q1,2021Q1,0.1944827586206897,2.468084826383371
2021Q2,2021Q2,0.02516129032258064,1.705065492646749
2021Q3,2021Q3,-0.2428125,3.831407577872364
2021Q4,2021Q4,0.45212121212121215,2.2882788393506694
2022Q1,2022Q1,-0.1482758620689653,1.9822565007702038
2022Q2,2022Q2,-0.6038709677419354,3.0909711746876365
2022Q3,2022Q3,-0.06515624999999994,1.8273121836370088
