,quarter,roa
0,2012Q3,21.63
1,2012Q4,2.04
2,2013Q1,2.5
3,2013Q2,9.46
4,2013Q3,9.11
5,2013Q4,10.77
6,2014Q1,13.29
7,2014Q2,9.87
8,2014Q3,12.2
9,2014Q4,11.14
10,2015Q1,11.03
11,2015Q2,10.19
12,2015Q3,10.59
13,2015Q4,11.39
14,2016Q1,9.33
15,2016Q2,8.97
16,2016Q3,5.78
17,2016Q4,6.1
18,2017Q1,7.62
19,2017Q2,9.06
20,2017Q3,8.35
21,2017Q4,9.65
22,2018Q1,9.39
23,2018Q2,8.64
24,2018Q3,6.95
25,2018Q4,5.6
26,2019Q1,4.13
27,2019Q2,4.86
28,2019Q3,0.0
29,2019Q4,3.31
30,2020Q1,-2.68
31,2020Q2,3.58
32,2020Q3,1.74
33,2020Q4,3.05
34,2021Q1,3.78
35,2021Q2,3.27
36,2021Q3,1.29
37,2021Q4,2.27
38,2022Q1,0.67
39,2022Q2,-0.45
