,quarter,roa
0,2007Q2,0.0
1,2007Q4,4.96
2,2008Q2,3.53
3,2008Q4,0.09
4,2009Q2,7.49
5,2009Q4,0.0
6,2010Q2,0.0
7,2010Q4,0.0
8,2011Q1,3.92
9,2011Q2,3.76
10,2011Q3,3.18
11,2011Q4,3.29
12,2012Q1,2.76
13,2012Q2,4.38
14,2012Q3,4.56
15,2012Q4,4.35
16,2013Q1,2.52
17,2013Q2,3.62
18,2013Q3,3.95
19,2013Q4,0.86
20,2014Q1,2.13
21,2014Q2,2.33
22,2014Q3,2.08
23,2014Q4,0.98
24,2015Q1,0.58
25,2015Q2,1.67
26,2015Q3,0.87
27,2015Q4,0.93
28,2016Q1,2.22
29,2016Q2,1.49
30,2016Q3,1.88
31,2016Q4,1.05
32,2017Q1,1.33
33,2017Q2,1.41
34,2017Q3,1.14
35,2017Q4,1.31
36,2018Q1,1.52
37,2018Q2,1.72
38,2018Q3,1.63
39,2018Q4,0.97
40,2019Q1,1.18
41,2019Q2,2.0
42,2019Q3,1.05
43,2019Q4,0.91
44,2020Q1,1.1
45,2020Q2,1.33
46,2020Q3,0.95
47,2020Q4,1.13
48,2021Q1,1.84
49,2021Q2,1.91
50,2021Q3,-0.1
51,2021Q4,1.78
52,2022Q1,1.68
53,2022Q2,1.85
