,quarter,roa
0,2006Q2,0.0
1,2006Q3,0.0
2,2006Q4,0.0
3,2007Q1,1.78
4,2007Q2,1.61
5,2007Q3,1.93
6,2007Q4,0.67
7,2008Q1,0.69
8,2008Q2,0.39
9,2008Q3,1.47
10,2008Q4,1.44
11,2009Q1,0.97
12,2009Q2,0.99
13,2009Q3,1.05
14,2009Q4,0.92
15,2010Q1,0.81
16,2010Q2,0.76
17,2010Q3,0.88
18,2010Q4,1.05
19,2011Q1,0.78
20,2011Q2,0.41
21,2011Q3,1.25
22,2011Q4,1.05
23,2012Q1,0.96
24,2012Q2,0.98
25,2012Q3,1.19
26,2012Q4,0.52
27,2013Q1,0.82
28,2013Q2,1.13
29,2013Q3,1.46
30,2013Q4,2.2
31,2014Q1,1.31
32,2014Q2,1.86
33,2014Q3,1.51
34,2014Q4,1.66
35,2015Q1,2.25
36,2015Q2,1.73
37,2015Q3,2.2
38,2015Q4,0.84
39,2016Q1,2.05
40,2016Q2,1.67
41,2016Q3,3.26
42,2016Q4,3.17
43,2017Q1,6.2
44,2017Q2,3.51
45,2017Q3,2.41
46,2017Q4,2.37
47,2018Q1,2.42
48,2018Q2,3.85
49,2018Q3,3.19
50,2018Q4,1.94
51,2019Q1,2.65
52,2019Q2,3.58
53,2019Q3,3.53
54,2019Q4,3.2
55,2020Q1,3.39
56,2020Q2,2.93
57,2020Q3,3.94
58,2020Q4,2.84
59,2021Q1,5.58
60,2021Q2,2.83
61,2021Q3,1.66
62,2021Q4,2.03
63,2022Q1,3.19
64,2022Q2,3.08
