,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc,lev
0,2013Q1,417888.0,14423.0,28973722.52652014,,,0.2534639346060083
1,2013Q2,384222.0,13261.0,28973833.04426514,110.51774499937892,0.0003814398489510657,0.4011269136092788
2,2013Q3,399036.0,13772.0,28974440.89456869,607.8503035493195,0.0020978844967574927,0.30145211637688146
3,2013Q4,420473.0,14512.0,28974159.316427782,-281.5781409069896,-0.0009718250591220442,0.42365767614321903
4,2014Q1,444374.0,15337.0,28973984.481971703,-174.83445607870817,-0.0006034187537702807,0.2118359227826517
5,2014Q2,414267.0,14298.0,28973772.55560218,-211.9263695217669,-0.0007314420968656019,0.3702947054303627
6,2014Q3,428119.0,14776.0,28973944.2338928,171.67829061672091,0.0005925264756183838,0.23420403463332676
7,2014Q4,457936.0,15805.0,28974122.1132553,177.879362501204,0.0006139249424224191,0.34906873920721876
8,2015Q1,478778.0,16525.0,28972950.075642966,-1172.0376123338938,-0.004045282269406195,0.20572738640164137
9,2015Q2,446854.0,15423.0,28973221.811580107,271.735937140882,0.0009378865039864975,0.2866171972448024
10,2015Q3,459354.0,15854.0,28974012.867415164,791.05583505705,0.002730225318380698,0.19993102728774706
11,2015Q4,468645.0,16175.0,28973415.76506955,-597.1023456119001,-0.0020608627938572873,0.34653751074144346
12,2016Q1,488687.0,16867.0,28972964.961166777,-450.8039027750492,-0.0015559467364809694,0.19119574684347815
13,2016Q2,453591.0,15655.0,28974193.548387095,1228.5872203186154,0.004240280987516932,0.283285008440395
14,2016Q3,461205.0,12245.0,37664761.12699061,8690567.578603514,23.073470582495858,0.18451190563548517
15,2016Q4,465301.0,12354.0,37663995.4670552,-765.6599354073405,-0.002032869656850573,0.33452183739867414
16,2017Q1,485607.0,12893.0,37664391.53028775,396.06323254853487,0.0010515588237501232,0.2020920175647807
17,2017Q2,458098.0,12162.0,37666337.773392536,1946.2431047856808,0.005167062209484313,0.25003028664646937
18,2017Q3,464326.0,12328.0,37664341.33679429,-1996.4365982487798,-0.0053006013842022545,0.2352115687987555
19,2017Q4,483186.0,12828.0,37666510.75771749,2169.42092320323,0.005759548414658338,0.26368291081697764
20,2018Q1,504365.0,13391.0,37664476.14069151,-2034.6170259788632,-0.005401952275610512,0.15751547166192198
21,2018Q2,466127.0,12375.0,37666828.28282829,2352.142136774957,0.006244598348216278,0.25053943202743073
22,2018Q3,481751.0,12790.0,37666223.61219703,-604.6706312596798,-0.0016053391427960305,0.17274236808510668
23,2018Q4,479653.0,12735.0,37664153.90655673,-2069.705640293658,-0.005495160319885361,0.24844644547370245
24,2019Q1,487829.0,12952.0,37664376.1581223,222.2515655681491,0.0005900842871659263,0.18711830710184693
25,2019Q2,448454.0,11906.0,37666218.71325382,1842.5551315173507,0.00489179746325054,0.2514925779979794
26,2019Q3,441023.0,11709.0,37665300.196430095,-918.5168237239122,-0.0024386287084762676,0.21888776087719505
27,2019Q4,444141.0,11792.0,37664603.12075984,-697.0756702572107,-0.0018507447643142671,0.22366951366507512
28,2020Q1,451371.0,11984.0,37664469.292389855,-133.8283699825406,-0.00035531728575180206,0.15688164361319853
29,2020Q2,446517.0,11855.0,37664867.1446647,397.8522748425603,0.0010562954418887865,0.20866097737962272
30,2020Q3,450811.0,11969.0,37664884.28440137,17.13973667472601,4.5505879017991044e-05,0.20708226372299515
31,2020Q4,456927.0,12131.0,37666062.15480999,1177.87040861696,0.00312713976782557,0.22166766845978397
32,2021Q1,464877.0,12342.0,37666261.54594069,199.39113070070744,0.0005293626776777796,0.16286796256063074
33,2021Q2,450174.0,11952.0,37665160.64257028,-1100.903370410204,-0.00292286917572822,0.24097872486338054
34,2021Q3,455043.0,12081.0,37666004.46982866,843.8272583782673,0.0022402887438039585,0.2007001552766367
35,2021Q4,463311.0,12301.0,37664498.82123405,-1505.648594610393,-0.003997527225190519,0.30497963546427903
36,2022Q1,481364.0,12780.0,37665414.71048513,915.8892510831356,0.0024316452058821335,0.250091914811602
37,2022Q2,463940.0,12317.0,37666639.603799626,1224.8933144956827,0.0032519314899864906,0.27145786900334185
