,quarter,roa
0,2010Q1,2.99
1,2010Q2,2.83
2,2010Q3,2.55
3,2010Q4,1.31
4,2011Q1,3.13
5,2011Q2,2.76
6,2011Q3,1.99
7,2011Q4,1.05
8,2012Q1,2.29
9,2012Q2,2.34
10,2012Q3,2.17
11,2012Q4,1.87
12,2013Q1,2.32
13,2013Q2,1.72
14,2013Q3,2.21
15,2013Q4,2.39
16,2014Q1,2.04
17,2014Q2,1.74
18,2014Q3,1.99
19,2014Q4,1.93
20,2015Q1,2.5
21,2015Q2,2.63
22,2015Q3,1.92
23,2015Q4,2.07
24,2016Q1,2.54
25,2016Q2,2.43
26,2016Q3,1.95
27,2016Q4,1.05
28,2017Q1,1.24
29,2017Q2,1.71
30,2017Q3,1.96
31,2017Q4,1.69
32,2018Q1,1.47
33,2018Q2,1.62
34,2018Q3,1.32
35,2018Q4,1.39
36,2019Q1,1.53
37,2019Q2,1.58
38,2019Q3,1.31
39,2019Q4,1.33
40,2020Q1,1.28
41,2020Q2,1.56
42,2020Q3,1.62
43,2020Q4,1.32
44,2021Q1,1.5
45,2021Q2,1.61
46,2021Q3,1.39
47,2021Q4,1.71
48,2022Q1,1.64
49,2022Q2,1.45
