,quarter,roa
0,2006Q1,5.09
1,2008Q3,7.72
2,2009Q2,7.33
3,2010Q1,3.32
4,2010Q2,2.46
5,2010Q3,2.05
6,2011Q1,1.35
7,2011Q2,2.2
8,2011Q3,1.61
9,2012Q2,1.59
10,2013Q2,3.63
11,2014Q1,2.48
12,2014Q2,4.45
13,2014Q3,1.14
14,2015Q1,2.04
15,2015Q2,2.18
16,2015Q3,1.48
17,2016Q1,5.11
18,2017Q1,4.56
19,2017Q2,2.05
20,2017Q3,2.4
21,2017Q4,2.54
22,2018Q1,2.69
23,2018Q2,2.55
24,2018Q3,2.5
25,2018Q4,2.05
26,2019Q1,2.12
27,2019Q2,0.99
28,2019Q3,1.74
29,2019Q4,1.76
30,2020Q1,1.71
31,2020Q2,1.53
32,2020Q3,1.21
33,2020Q4,2.13
34,2021Q1,1.33
35,2021Q2,1.71
36,2021Q3,0.99
37,2021Q4,1.52
38,2022Q1,1.77
39,2022Q2,1.42
