,quarter,roa
0,2009Q1,0.0
1,2009Q2,8.15
2,2009Q3,5.47
3,2009Q4,4.73
4,2010Q1,12.13
5,2010Q2,10.12
6,2010Q3,2.87
7,2010Q4,2.9
8,2011Q1,-0.41
9,2011Q2,-5.76
10,2011Q3,-3.97
11,2011Q4,-10.97
12,2012Q1,-9.71
13,2012Q2,-7.33
14,2012Q3,-8.72
15,2012Q4,-3.93
16,2013Q1,-4.72
17,2013Q2,-3.18
18,2013Q3,-2.02
19,2013Q4,0.19
20,2014Q1,0.77
21,2014Q2,0.64
22,2014Q3,5.24
23,2014Q4,10.28
24,2015Q1,9.83
25,2015Q2,9.63
26,2015Q3,6.16
27,2015Q4,1.93
28,2016Q1,2.54
29,2016Q2,2.83
30,2016Q3,3.81
31,2016Q4,2.88
32,2017Q1,3.37
33,2017Q2,4.71
34,2017Q3,4.87
35,2017Q4,6.44
36,2018Q1,7.57
37,2018Q2,5.62
38,2018Q3,5.2
39,2018Q4,3.32
40,2019Q1,1.89
41,2019Q2,1.85
42,2019Q3,1.26
43,2019Q4,1.54
44,2020Q1,-3.46
45,2020Q2,4.77
46,2020Q3,1.66
47,2020Q4,4.14
48,2021Q1,3.62
49,2021Q2,4.58
50,2021Q3,2.01
51,2021Q4,2.6
52,2022Q1,2.19
53,2022Q2,-5.01
