,date,quarter,price,shares_est,market_cap
0,2009-06-30,2009Q2,13.2,33000554.815801155,435607323569
1,2009-09-30,2009Q3,17.1,32998439.32891143,564273312524
2,2009-12-31,2009Q4,17.1,33001300.8734436,564322244936
3,2010-03-31,2010Q1,15.6,33001313.48511384,514820490368
4,2010-06-30,2010Q2,17.0,32999836.86786297,560997226754
5,2010-09-30,2010Q3,11.4,34979268.75235582,398763663777
6,2010-12-31,2010Q4,10.1,34980691.51324652,353304984284
7,2011-03-31,2011Q1,10.0,34980717.57482732,349807175748
8,2011-06-30,2011Q2,8.0,34981230.116648994,279849840933
9,2011-09-30,2011Q3,5.0,34979704.1995034,174898520998
10,2011-12-30,2011Q4,3.5,34979941.55154091,122429795430
11,2012-03-30,2012Q1,5.9,34980706.12941331,206386166164
12,2012-06-29,2012Q2,5.0,34980713.72343217,174903568617
13,2012-09-28,2012Q3,3.0,34981678.97183484,104945036916
14,2012-12-28,2012Q4,3.9,34979519.14514693,136420124666
15,2013-03-29,2013Q1,3.9,34977751.40907743,136413230495
16,2013-06-28,2013Q2,3.9,34979520.697167754,136420130719
17,2013-09-27,2013Q3,3.4,34978244.99926997,118926032998
18,2013-12-31,2013Q4,3.3,34979209.67266293,115431391920
19,2014-03-31,2014Q1,6.0,34979680.06917423,209878080415
20,2014-06-30,2014Q2,5.2,34980506.545247585,181898634035
21,2014-09-30,2014Q3,11.9,34979333.8195964,416254072453
22,2014-12-31,2014Q4,9.8,34980694.58631256,342810806946
23,2015-03-31,2015Q1,8.4,34981000.50530571,293840404245
24,2015-06-30,2015Q2,7.1,34981279.40734808,248367083792
25,2015-09-30,2015Q3,8.8,34981222.05663189,307834754098
26,2015-12-31,2015Q4,9.0,69997449.48008633,629977045321
27,2016-03-31,2016Q1,8.1,69997487.43718593,566979648241
28,2016-06-30,2016Q2,8.0,69998857.9042543,559990863234
29,2016-09-30,2016Q3,7.9,69997967.4796748,552983943089
30,2016-12-30,2016Q4,8.5,70000091.75995596,595000779960
31,2017-03-31,2017Q1,8.6,69998488.08253291,601986997510
32,2017-06-30,2017Q2,11.0,70000989.8317286,770010888149
33,2017-09-29,2017Q3,11.75,70000261.94010302,822503077796
34,2017-12-29,2017Q4,10.0,69999194.03586541,699991940359
35,2018-03-30,2018Q1,14.0,90997666.27771296,1273967327888
36,2018-06-29,2018Q2,8.48,100095846.6453674,848812779553
37,2018-09-28,2018Q3,10.4,100102318.5032674,1041064112434
38,2018-12-28,2018Q4,8.37,100099026.851685,837828854749
39,2019-03-29,2019Q1,7.7,100101304.46849848,770780044407
40,2019-06-28,2019Q2,7.7,100099718.30985916,770767830986
41,2019-09-30,2019Q3,8.4,100098398.80841556,840826549991
42,2019-12-31,2019Q4,7.45,100099961.7004979,745744714669
43,2020-03-31,2020Q1,6.25,100101453.82282189,625634086393
44,2020-06-30,2020Q2,5.99,100100056.74295442,599599339890
45,2020-09-30,2020Q3,6.71,100097670.16902696,671655366834
46,2020-12-31,2020Q4,10.7,100095929.23394024,1071026442803
47,2021-03-31,2021Q1,15.15,100101831.72927664,1516542750699
48,2021-06-30,2021Q2,25.0,100100642.84233084,2502516071058
49,2021-09-30,2021Q3,31.8,105102092.97506388,3342246556607
50,2021-12-31,2021Q4,35.25,105106520.21201864,3705004837474
51,2022-03-31,2022Q1,35.5,105103537.53235549,3731175582399
52,2022-06-30,2022Q2,16.5,105106722.7489841,1734260925358
