,quarter,roa
0,2009Q4,6.74
1,2010Q2,7.91
2,2010Q3,0.4
3,2010Q4,0.69
4,2011Q1,0.11
5,2011Q2,-3.48
6,2011Q3,1.43
7,2011Q4,2.09
8,2012Q1,0.46
9,2012Q2,1.04
10,2012Q3,0.09
11,2012Q4,2.07
12,2013Q1,1.42
13,2013Q2,0.22
14,2013Q3,0.04
15,2013Q4,5.31
16,2014Q1,1.33
17,2014Q2,1.35
18,2014Q3,0.26
19,2014Q4,3.28
20,2015Q1,1.07
21,2015Q2,2.84
22,2015Q3,1.57
23,2015Q4,4.35
24,2016Q1,1.18
25,2016Q2,1.22
26,2016Q3,0.32
27,2016Q4,3.19
28,2017Q1,1.12
29,2017Q2,0.52
30,2017Q3,-0.51
31,2017Q4,1.08
32,2018Q1,0.14
33,2018Q2,-1.34
34,2018Q3,1.45
35,2018Q4,0.19
36,2019Q1,0.75
37,2019Q2,0.95
38,2019Q3,-2.13
39,2019Q4,1.15
40,2020Q1,0.17
41,2020Q2,1.55
42,2020Q3,0.96
43,2020Q4,1.27
44,2021Q1,1.45
45,2021Q2,1.43
46,2021Q3,0.04
47,2021Q4,2.49
48,2022Q1,0.66
49,2022Q2,-0.23
