,date,quarter,price,shares_est,market_cap
0,2006-12-29,2006Q4,57.0,35100603.62173038,2000734406439
1,2007-03-30,2007Q1,92.0,35100359.888761654,3229233109766
2,2007-06-29,2007Q2,80.0,42119466.24803767,3369557299843
3,2007-09-28,2007Q3,86.0,42121280.09570809,3622430088231
4,2007-12-28,2007Q4,54.0,59806640.92664093,3229558610039
5,2008-03-31,2008Q1,27.8,59805831.0790502,1662602103998
6,2008-06-30,2008Q2,21.5,59809982.6251777,1285914626441
7,2008-09-30,2008Q3,17.7,59808195.22578684,1058605055496
8,2008-12-31,2008Q4,10.1,59806046.68962878,604041071565
9,2009-03-31,2009Q1,9.5,59809027.777777776,568185763889
10,2009-06-30,2009Q2,15.2,60463653.48399247,919047532957
11,2009-09-30,2009Q3,20.8,59809288.10598341,1244033192604
12,2009-12-31,2009Q4,26.1,59808862.43386243,1561011309524
13,2010-03-31,2010Q1,19.6,59806503.1209174,1172207461170
14,2010-06-30,2010Q2,19.1,59806466.23357002,1142303505061
15,2010-09-30,2010Q3,13.0,59807657.99256506,777499553903
16,2010-12-31,2010Q4,10.6,59806917.84185786,633953329124
17,2011-03-31,2011Q1,9.4,59808462.0178658,562199542968
18,2011-06-30,2011Q2,7.0,59805964.59913729,418641752194
19,2011-09-30,2011Q3,6.8,59809083.08222126,406701764959
20,2011-12-30,2011Q4,4.2,59808183.78604846,251194371901
21,2012-03-30,2012Q1,5.5,59808182.00793154,328945001044
22,2012-06-29,2012Q2,6.5,59809437.13245589,388761341361
23,2012-09-28,2012Q3,5.9,59806603.7735849,352858962264
24,2012-12-28,2012Q4,6.2,59808127.184266426,370810388542
25,2013-03-29,2013Q1,7.9,59808506.76536618,472487203446
26,2013-06-28,2013Q2,7.6,59807123.11943506,454534135708
27,2013-09-30,2013Q3,7.9,59808857.52524638,472489974449
28,2013-12-31,2013Q4,10.8,59806020.46959663,645905021072
29,2014-03-31,2014Q1,15.7,59806376.88227763,938960117052
30,2014-06-30,2014Q2,9.9,63992697.87455992,633527708958
31,2014-09-30,2014Q3,16.0,63991776.9497623,1023868431196
32,2014-12-31,2014Q4,13.0,63995233.37872972,831938033923
33,2015-03-31,2015Q1,12.1,63993418.271843486,774320361089
34,2015-06-30,2015Q2,11.2,63992298.75924455,716713746104
35,2015-09-30,2015Q3,9.2,63994881.17001828,588752906764
36,2015-12-31,2015Q4,9.5,63994643.29194059,607949111273
37,2016-03-31,2016Q1,8.7,63993865.39965117,556746628977
38,2016-06-30,2016Q2,9.1,68470404.98442368,623080685358
39,2016-09-30,2016Q3,8.55,68470867.7940995,585425919640
40,2016-12-30,2016Q4,7.9,68471689.9759719,540926350810
41,2017-03-31,2017Q1,7.3,68472087.08343469,499846235709
42,2017-06-30,2017Q2,7.55,68470034.73318598,516948762236
43,2017-09-29,2017Q3,7.24,68469038.12609021,495715836033
44,2017-12-29,2017Q4,8.15,68472817.33746131,558053461300
45,2018-03-30,2018Q1,7.1,65471421.11065978,464847089886
46,2018-06-29,2018Q2,6.95,65472536.057692304,455034125601
47,2018-09-28,2018Q3,7.1,65472408.27455397,464854098749
48,2018-12-28,2018Q4,6.77,65469111.29277123,443225883452
49,2019-03-29,2019Q1,6.5,65469325.70202111,425550617063
50,2019-06-28,2019Q2,5.6,65470686.76716918,366635845896
51,2019-09-30,2019Q3,5.02,65471931.373785794,328669095496
52,2019-12-31,2019Q4,4.96,65472839.20811202,324745282472
53,2020-03-31,2020Q1,3.94,65470570.55251608,257954047977
54,2020-06-30,2020Q2,5.29,68470816.40192094,362210618766
55,2020-09-30,2020Q3,6.73,65470154.06244508,440614136840
56,2020-12-31,2020Q4,8.19,65470037.34218481,536199605832
57,2021-03-31,2021Q1,9.59,65470735.83474354,627864356655
58,2021-06-30,2021Q2,8.7,65469579.81178445,569585344363
59,2021-09-30,2021Q3,11.5,65471792.06898646,752925608793
60,2021-12-31,2021Q4,11.25,68471676.66561414,770306362488
61,2022-03-31,2022Q1,11.6,68470316.96544556,794255676799
62,2022-06-30,2022Q2,6.41,68470867.20867209,438898258808
