,date,quarter,price,shares_est,market_cap
0,2009-12-31,2009Q4,24.3,4500068.521310127,109351665068
1,2010-03-31,2010Q1,28.0,4500160.0,126004480000
2,2010-06-30,2010Q2,21.2,7875077.652905631,166951646242
3,2010-09-30,2010Q3,14.8,9899777.111674735,146516701253
4,2010-12-31,2010Q4,12.0,9899790.022445876,118797480269
5,2011-03-31,2011Q1,11.2,9900295.367768891,110883308119
6,2011-06-30,2011Q2,8.6,9899691.23584831,85137344628
7,2011-09-30,2011Q3,7.8,9899699.504588649,77217656136
8,2011-12-30,2011Q4,5.1,9899975.955758596,50489877374
9,2012-03-30,2012Q1,5.6,9899591.138157267,55437710374
10,2012-06-29,2012Q2,4.8,9900207.9002079,47520997921
11,2012-09-28,2012Q3,4.0,9899925.03748126,39599700150
12,2012-12-28,2012Q4,4.7,9900069.881201956,46530328442
13,2013-03-29,2013Q1,5.7,9899686.22230674,56428211467
14,2013-06-28,2013Q2,5.4,9900304.215558453,53461642764
15,2013-09-24,2013Q3,4.9,9900213.009995084,48511043749
16,2013-12-31,2013Q4,7.4,9900039.603960397,73260293069
17,2014-03-31,2014Q1,9.6,9899698.221092757,95037102922
18,2014-06-30,2014Q2,9.7,9900149.588631265,96031451010
19,2014-09-30,2014Q3,12.5,9900318.647824882,123753983098
20,2014-12-31,2014Q4,16.4,9900064.85084306,162361063554
21,2015-03-31,2015Q1,18.8,9899833.45229598,186116868903
22,2015-06-30,2015Q2,15.0,9900266.436235327,148503996544
23,2015-09-30,2015Q3,14.6,15000000.0,219000000000
24,2015-12-31,2015Q4,19.7,14999767.801857583,295495425697
25,2016-03-31,2016Q1,23.9,15000435.50213396,358510408501
26,2016-06-30,2016Q2,24.1,15000400.898011548,361509661642
27,2016-09-30,2016Q3,30.8,14999781.722933644,461993277066
28,2016-12-30,2016Q4,26.4,14999867.18023642,395996493558
29,2017-03-31,2017Q1,32.0,14999484.270242391,479983496648
30,2017-06-30,2017Q2,28.7,14999510.972553335,430485964912
31,2017-09-29,2017Q3,22.0,15000223.114680946,330004908523
32,2017-12-29,2017Q4,18.0,19499130.57224154,350984350300
33,2018-03-30,2018Q1,15.3,19499440.089585666,298341433371
34,2018-06-29,2018Q2,13.5,19500316.05562579,263254266751
35,2018-09-28,2018Q3,13.2,19499962.850137454,257399509622
36,2018-12-28,2018Q4,11.4,19500300.61626334,222303427025
37,2019-03-29,2019Q1,15.1,19499530.109159257,294442904648
38,2019-06-28,2019Q2,14.0,19500076.02250266,273001064315
39,2019-09-30,2019Q3,14.2,19498985.09134178,276885588297
40,2019-12-31,2019Q4,14.7,19499406.489053026,286641275389
41,2020-03-31,2020Q1,12.9,19499499.633064248,251543545267
42,2020-06-30,2020Q2,14.6,19499156.72434256,284687688175
43,2020-09-30,2020Q3,13.2,19499735.34471351,257396506550
44,2020-12-31,2020Q4,15.7,19500000.0,306150000000
45,2021-03-31,2021Q1,17.9,19499409.24071886,349039425409
46,2021-06-30,2021Q2,14.0,19499525.680986583,272993359534
47,2021-09-30,2021Q3,14.0,50000167.01461378,700002338205
48,2021-12-31,2021Q4,24.8,49997642.08472233,1239941523701
49,2022-03-31,2022Q1,21.0,50000249.89587672,1050005247813
50,2022-06-30,2022Q2,20.9,49997656.18685848,1044951014305
