,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc,lev
0,2009Q2,,0.0,,,,
1,2009Q3,,0.0,,,,
2,2009Q4,72425.0,10680.0,6781367.041198502,,,0.964357301517118
3,2010Q1,,0.0,,,,
4,2010Q2,154066.0,18705.0,8236621.224271585,,,0.9399501637071014
5,2010Q3,155640.0,18882.0,8242770.892913886,6149.668642301112,0.07460681271134002,0.9379409502251889
6,2010Q4,145774.0,17672.0,8248868.266183794,6097.373269907199,0.07391769480552089,0.9504667082517655
7,2011Q1,162033.0,19686.0,8230874.733313015,-17993.532870778814,-0.21861021402686595,0.9455576529692897
8,2011Q2,161819.0,19625.0,8245554.140127389,14679.40681437403,0.17802814177079967,0.9542292002211252
9,2011Q3,168695.0,20505.0,8227017.800536455,-18536.339590934105,-0.22531055651448106,0.954307245088274
10,2011Q4,162051.0,19669.0,8238903.858864202,11886.058327747509,0.14426747212202687,0.9595784609629424
11,2012Q1,176822.0,20724.0,8532233.159621695,293329.3007574929,3.4378959795151522,0.9540251370345845
12,2012Q2,180233.0,21129.0,8530124.473472478,-2108.6861492171884,-0.02472046165064665,0.9545149981023167
13,2012Q3,171183.0,20044.0,8540361.205348235,10236.731875756755,0.11986298506140702,0.9599377379611859
14,2012Q4,177217.0,20872.0,8490657.339977002,-49703.86537123285,-0.5853947860692666,0.9611142718301211
15,2013Q1,175732.0,20693.0,8492340.404967863,1683.0649908613414,0.01981862373153082,0.9608574072585578
16,2013Q2,178099.0,20989.0,8485349.468769355,-6990.936198508367,-0.08238831204582402,0.9617521038271837
17,2013Q3,181568.0,21403.0,8483296.734102696,-2052.7346666585654,-0.02419736961936755,0.9638715077501172
18,2013Q4,176432.0,20825.0,8472124.849939976,-11171.884162720293,-0.1318663778048484,0.9659782232696482
19,2014Q1,176203.0,20808.0,8468041.138023837,-4083.7119161393493,-0.04822498910406042,0.966131324998783
20,2014Q2,188283.0,22240.0,8465962.230215827,-2078.907808009535,-0.02455607232205354,0.9653946376575265
21,2014Q3,173805.0,20527.0,8467140.838895114,1178.6086792871356,0.013919795379722696,0.969063119926789
22,2014Q4,188960.0,22324.0,8464432.897330228,-2707.9415648858994,-0.03199200227271,0.9677899224923212
23,2015Q1,207596.0,24532.0,8462253.38333605,-2179.5139941778034,-0.02575571653845444,0.9626191715192539
24,2015Q2,210038.0,24820.0,8462449.637389202,196.25405315123498,0.002319116350000311,0.9648756721805994
25,2015Q3,218083.0,25710.0,8482419.29210424,19969.654715038836,0.23542404622260718,0.9628135917175417
26,2015Q4,189509.0,22327.0,8487884.62399785,5465.331893609837,0.06438979952858535,0.9705153942829473
27,2016Q1,198633.0,23411.0,8484601.255819913,-3283.3681779373437,-0.03869796680999187,0.9686985485585604
28,2016Q2,201296.0,23728.0,8483479.43358058,-1121.8222393337637,-0.013223610054303885,0.9723298261052351
29,2016Q3,212023.0,25002.0,8480241.580673546,-3237.852907033637,-0.038181139962011196,0.9717276202423576
30,2016Q4,274010.0,22867.0,11982769.930467486,3502528.349793941,29.229705402991875,0.9645660304133188
31,2017Q1,275175.0,22966.0,11981842.724026822,-927.2064406648278,-0.007738429405399632,0.9662290400718988
32,2017Q2,357756.0,23110.0,15480571.181306794,3498728.4572799727,22.60077109754698,0.9576695209976751
33,2017Q3,368321.0,0.0,15480571.181306794,inf,,0.9574213808251918
34,2017Q4,338302.0,21853.0,15480803.550999863,-inf,-inf,0.9644874906572118
35,2018Q1,348804.0,22535.0,15478322.609274462,-2480.941725401208,-0.016028492156602625,0.9636095983837746
36,2018Q2,354969.0,22936.0,15476499.825601675,-1822.783672787249,-0.011777751386472718,0.9651184134222768
37,2018Q3,365018.0,23588.0,15474732.915041547,-1766.9105601273477,-0.011418035902964752,0.9648989123175856
38,2018Q4,333961.0,21578.0,15476920.9379924,2188.02295085229,0.014137327182961696,0.9658595448083266
39,2019Q1,348897.0,22547.0,15474209.429192353,-2711.5088000465184,-0.0175227614208918,0.9619791125286299
40,2019Q2,357749.0,23033.0,15532019.276689967,57809.8474976141,0.3721978866223373,0.9614471598210063
41,2019Q3,365302.0,23524.0,15528906.648529163,-3112.62816080451,-0.020044090876799276,0.9606834899480102
42,2019Q4,338978.0,21821.0,15534485.129004171,5578.480475008488,0.03591030168481736,0.9624348552375223
43,2020Q1,349660.0,22514.0,15530780.847472684,-3704.2815314866602,-0.023851225304550326,0.955980949548551
44,2020Q2,356938.0,22987.0,15527820.07221473,-2960.775257954374,-0.019067552587451377,0.9576434462249312
45,2020Q3,367777.0,23690.0,15524567.327986492,-3252.74422823824,-0.020952237569767523,0.9594263270641823
46,2020Q4,345127.0,22225.0,15528773.903262092,4206.5752755999565,0.02708890799624748,0.9583825874891057
47,2021Q1,383432.0,24707.0,15519164.60922006,-9609.294042032212,-0.06191888728548735,0.9555564621172418
48,2021Q2,374861.0,24154.0,15519624.078827523,459.4696074631065,0.0029605717582420884,0.9471881787060717
49,2021Q3,401486.0,25878.0,15514568.359224051,-5055.719603471458,-0.03258691757586426,0.9350649244112821
50,2021Q4,396768.0,25572.0,15515720.319099015,1151.9598749633878,0.007424469191709955,0.9282712518203413
51,2022Q1,400142.0,25791.0,15514791.981699042,-928.3373999726027,-0.005983563305699826,0.9163140545113179
52,2022Q2,396685.0,25567.0,15515508.272382367,716.2906833253801,0.004616611139967479,0.9041266592039879
