,date,quarter,price,shares_est,market_cap
0,2009-09-30,2009Q3,32.5,5472114.0472879,177843706537
1,2009-12-31,2009Q4,21.9,5471941.249826798,119835513371
2,2010-03-31,2010Q1,23.4,5472070.558588828,128046451071
3,2010-06-30,2010Q2,30.4,5471833.300466706,166343732334
4,2010-09-30,2010Q3,21.0,5471842.719093636,114908697101
5,2010-12-31,2010Q4,21.2,5471931.373785796,116004945124
6,2011-03-31,2011Q1,19.6,5471973.800226728,107250686484
7,2011-06-30,2011Q2,15.4,5471875.410697858,84266881325
8,2011-09-30,2011Q3,14.0,5471825.832418588,76605561654
9,2011-12-30,2011Q4,11.6,5472036.474164134,63475623100
10,2012-03-30,2012Q1,13.9,5472039.566121508,76061349969
11,2012-06-29,2012Q2,13.4,5471927.25139337,73323825169
12,2012-09-28,2012Q3,17.0,5471920.039759235,93022640676
13,2012-12-28,2012Q4,17.1,5471922.42371117,93569873445
14,2013-03-29,2013Q1,19.3,5472124.844509781,105612009499
15,2013-06-28,2013Q2,23.6,5471928.439884241,129137511181
16,2013-09-30,2013Q3,24.0,5472110.110731657,131330642658
17,2013-12-31,2013Q4,27.2,5472115.856651939,148841551301
18,2014-03-31,2014Q1,32.0,5471885.708769728,175100342681
19,2014-06-30,2014Q2,35.0,5471890.887759092,191516181072
20,2014-09-30,2014Q3,38.2,5471944.323618965,209028273162
21,2014-12-31,2014Q4,48.0,5472088.215024121,262660234321
22,2015-03-31,2015Q1,51.0,5741981.501081404,292841056555
23,2015-06-30,2015Q2,39.9,5742081.6489716135,229109057794
24,2015-09-30,2015Q3,34.0,8585364.216179926,291902383350
25,2015-12-31,2015Q4,39.5,8585376.871450696,339122386422
26,2016-03-31,2016Q1,34.9,8585337.207145948,299628268529
27,2016-06-30,2016Q2,32.3,8585340.314136125,277306492147
28,2016-09-30,2016Q3,31.9,8585041.761579348,273862832194
29,2016-12-30,2016Q4,29.0,8529907.383586314,247367314124
30,2017-03-31,2017Q1,31.5,8530028.598665396,268695900858
31,2017-06-30,2017Q2,33.0,8529716.088328077,281480630915
32,2017-09-29,2017Q3,26.7,8530092.438651327,227753468112
33,2017-12-29,2017Q4,25.7,8529800.203183204,219215865222
34,2018-03-30,2018Q1,21.7,8955906.86979017,194343179074
35,2018-06-29,2018Q2,31.5,8955740.660160378,282105830795
36,2018-09-28,2018Q3,30.0,8955856.132800492,268675683984
37,2018-12-28,2018Q4,28.0,11893880.8373591,333028663446
38,2019-03-29,2019Q1,30.0,11893401.287553648,356802038627
39,2019-06-28,2019Q2,34.3,11893542.163205083,407948496198
40,2019-09-30,2019Q3,31.9,11893505.763283666,379402833849
41,2019-12-31,2019Q4,38.5,11893634.887756815,457904943179
42,2020-03-31,2020Q1,38.1,11893553.644691732,453144393863
43,2020-06-30,2020Q2,61.0,11893564.800957795,725507452858
44,2020-09-30,2020Q3,59.6,11893852.409998804,708873603636
45,2020-12-31,2020Q4,72.0,11893553.318894127,856335838960
46,2021-03-31,2021Q1,75.1,11893958.485310696,893236282247
47,2021-06-30,2021Q2,50.2,11893395.841826336,597048471260
48,2021-09-30,2021Q3,69.0,11893981.805458363,820684744577
49,2021-12-31,2021Q4,79.2,11893514.907912891,941966380707
50,2022-03-31,2022Q1,71.5,11893730.840896796,850401755124
51,2022-06-30,2022Q2,82.0,11893904.616169345,975300178526
