,date,quarter,price,shares_est,market_cap
0,2010-12-31,2010Q4,19.3,12001214.144786766,231623432994
1,2011-03-31,2011Q1,11.3,12000823.784917248,135609308770
2,2011-06-30,2011Q2,6.6,12001259.819178894,79208314807
3,2011-09-30,2011Q3,6.9,12000852.713178294,82805883721
4,2011-12-30,2011Q4,4.4,13200634.874828655,58082793449
5,2012-03-30,2012Q1,8.6,13201263.341319976,113530864735
6,2012-06-29,2012Q2,8.1,13201078.76576505,106928738003
7,2012-09-28,2012Q3,9.0,13200875.447672104,118807879029
8,2012-12-28,2012Q4,7.7,13200623.295675889,101644799377
9,2013-03-29,2013Q1,8.2,13200952.083658498,108247807086
10,2013-06-28,2013Q2,5.8,13201568.444755027,76569096980
11,2013-09-30,2013Q3,5.6,13201117.318435756,73926256983
12,2013-12-31,2013Q4,4.8,13200982.761398422,63364717255
13,2014-03-31,2014Q1,8.0,13201636.845061382,105613094760
14,2014-06-30,2014Q2,7.9,13201260.402359216,104289957179
15,2014-09-30,2014Q3,8.0,13200663.611945014,105605308896
16,2014-12-31,2014Q4,10.6,13201176.736818284,139932473410
17,2015-03-31,2015Q1,10.5,13200698.72890805,138607336654
18,2015-06-30,2015Q2,10.4,13201291.2482066,137293428981
19,2015-09-30,2015Q3,13.6,13200692.276367586,179529414959
20,2015-12-31,2015Q4,13.8,13201171.360884445,182176164780
21,2016-03-31,2016Q1,15.3,13201034.737620104,201975831486
22,2016-06-30,2016Q2,12.6,13201244.054152943,166335675082
23,2016-09-30,2016Q3,10.65,13201034.16951995,140591013905
24,2016-12-30,2016Q4,12.6,13201028.963414634,166332964939
25,2017-03-31,2017Q1,14.3,13200601.805416249,188768605817
26,2017-06-30,2017Q2,15.4,13200828.860656297,203292764454
27,2017-09-29,2017Q3,15.5,13201044.904437536,204616196019
28,2017-12-29,2017Q4,14.6,13200720.01888574,192730512276
29,2018-03-30,2018Q1,19.3,13200496.621816712,254769584801
30,2018-06-29,2018Q2,25.0,13200726.978998384,330018174475
31,2018-09-28,2018Q3,28.45,13200728.50266684,375560725901
32,2018-12-28,2018Q4,25.6,13201252.688852334,337952068835
33,2019-03-29,2019Q1,28.5,13200547.570157427,376215605749
34,2019-06-28,2019Q2,28.35,13200706.377776269,374240025810
35,2019-09-30,2019Q3,23.9,13200516.00952633,315492332628
36,2019-12-31,2019Q4,23.55,13200441.91919192,310870407197
37,2020-03-31,2020Q1,21.5,13201175.01546073,283825262832
38,2020-06-30,2020Q2,22.6,13200744.752877455,298336831415
39,2020-09-30,2020Q3,18.25,13200845.107619174,240915423214
40,2020-12-31,2020Q4,17.1,13200820.723262375,225734034368
41,2021-03-31,2021Q1,18.9,13201210.287443267,249502874433
42,2021-06-30,2021Q2,18.8,13200825.958702063,248175528024
43,2021-09-30,2021Q3,20.55,13200803.212851403,271276506024
44,2021-12-31,2021Q4,23.0,13200619.910052268,303614257931
45,2022-03-31,2022Q1,23.0,13200672.44735445,303615466289
46,2022-06-30,2022Q2,22.7,13200932.125508731,299661159249
