,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2006Q2,78003.0,16765.0,4652728.899492991,,
1,2006Q3,81139.0,17341.0,4679026.584395364,26297.68490237277,0.5620332440528552
2,2006Q4,80665.0,23725.0,3400000.0,-1279026.584395364,-37.61842895280482
3,2007Q1,82973.0,24404.0,3399975.413866579,-24.586133420933038,-0.0007231268002897929
4,2007Q2,85581.0,25171.0,3399984.1086965157,8.694829936604947,0.00025573148751975686
5,2007Q3,89195.0,26234.0,3399977.128916673,-6.979779842775315,-0.00020528902337055621
6,2007Q4,283757.0,35470.0,7999915.421482943,4599938.29256627,57.49983656344182
7,2008Q1,285634.0,35705.0,7999831.956308641,-83.46517430245876,-0.0010433365945473193
8,2008Q2,286191.0,35774.0,7999972.046737854,140.09042921382934,0.0017511364839200153
9,2008Q3,295586.0,34323.0,8611892.899804795,611920.8530669408,7.105532548840814
10,2008Q4,288778.0,33532.0,8612012.406059884,119.50625508837402,0.0013876693327134883
11,2009Q1,295042.0,34259.0,8612101.929420006,89.52336012199521,0.001039506509045978
12,2009Q2,305064.0,34766.0,8774779.957429674,162678.028009668,1.8539271502976808
13,2009Q3,318795.0,36293.0,8783925.27484639,9145.317416716367,0.10411424426508793
14,2009Q4,345793.0,39366.0,8784052.227810802,126.95296441204846,0.0014452665025158691
15,2010Q1,342488.0,35913.0,9536602.344554897,752550.1167440955,7.89117643322706
16,2010Q2,344490.0,36123.0,9536583.340254132,-19.004300765693188,-0.00019927787644318702
17,2010Q3,355517.0,25177.0,14120705.40572745,4584122.065473318,32.46383189620236
18,2010Q4,357226.0,25298.0,14120721.005613092,15.599885642528534,0.00011047513534420419
19,2011Q1,353917.0,25064.0,14120531.439514842,-189.5660982504487,-0.001342485578977344
20,2011Q2,351035.0,24860.0,14120474.658085277,-56.78142956458032,-0.0004021212525746626
21,2011Q3,357229.0,25298.0,14120839.592062613,364.93397733569145,0.0025843645836811464
22,2011Q4,357836.0,25341.0,14120831.853518015,-7.738544598221779,-5.4802328067477306e-05
23,2012Q1,364802.0,25835.0,14120456.744726148,-375.10879186727107,-0.002656491915584604
24,2012Q2,358092.0,25359.0,14120903.821128594,447.0764024462551,0.003166060813878719
