,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2007Q3,18727.0,11741.0,1595008.9430201857,,
1,2009Q4,62317.0,13349.0,4668289.759532549,3073280.816512364,65.8331203678347
2,2010Q1,52337.0,11211.0,4668361.430737669,71.67120511922985,0.0015352539897045797
3,2010Q2,55132.0,11810.0,4668247.248094835,-114.18264283332974,-0.0024459424868708266
4,2010Q3,53253.0,11407.0,4668449.197860963,201.94976612739265,0.004325842642133153
5,2010Q4,55227.0,11830.0,4668385.460693153,-63.737167810089886,-0.0013652935976847618
6,2011Q1,51764.0,11088.0,4668470.418470418,84.9577772654593,0.0018198204047589306
7,2011Q2,54859.0,11751.0,4668453.748617139,-16.66985327936709,-0.0003570744014397686
8,2011Q3,53473.0,11454.0,4668500.087305745,46.33868860639632,0.0009925819372349847
9,2011Q4,53764.0,11517.0,4668229.5736737,-270.51363204512745,-0.0057947799647789094
10,2012Q1,54994.0,11780.0,4668421.052631579,191.47895787935704,0.0041015785791519545
11,2012Q2,53430.0,11445.0,4668414.154652687,-6.897978892549872,-0.0001477585035097011
12,2012Q3,56437.0,12089.0,4668458.929605426,44.77495273947716,0.0009590949264977575
13,2012Q4,52552.0,11257.0,4668384.116549702,-74.81305572390556,-0.0016025471310016838
14,2013Q1,53840.0,11533.0,4668343.015694095,-41.100855607539415,-0.0008804163590671473
15,2013Q2,55924.0,11980.0,4668113.522537563,-229.49315653182566,-0.004916186280043043
16,2013Q3,52186.0,11179.0,4668217.192951069,103.6704135062173,0.0022207709971754936
17,2013Q4,53579.0,11477.0,4668380.238738346,163.04578727670014,0.0034925558531788345
18,2014Q1,58033.0,12431.0,4668409.621108519,29.3823701729998,0.0006293871480374278
19,2014Q2,55152.0,11814.0,4668359.573387506,-50.04772101249546,-0.0010720622571105695
20,2014Q3,56548.0,12113.0,4668372.822587303,13.24919979646802,0.000283807662754858
21,2014Q4,54326.0,11637.0,4668385.322677666,12.500090363435447,0.00026776046747284594
22,2015Q1,55859.0,11966.0,4668143.07203744,-242.25064022652805,-0.005189443350132717
23,2015Q2,55022.0,11786.0,4668420.159511285,277.08747384510934,0.005935358523387842
24,2015Q3,57615.0,12342.0,4668206.125425377,-214.03408590797335,-0.00458493220216299
25,2015Q4,60439.0,12947.0,4668185.680080327,-20.445345049723983,-0.0004379719756428406
26,2016Q1,58389.0,12507.0,4668505.6368433675,319.9567630402744,0.006853515619970734
27,2016Q2,62181.0,13320.0,4668243.243243244,-262.39360012393445,-0.005620821076616341
28,2016Q3,64452.0,12926.0,4986229.305276187,317986.0620329436,6.377285170107722
29,2016Q4,66627.0,13363.0,4985931.302851156,-298.00242503080517,-0.00597686584370698
30,2017Q1,67487.0,13535.0,4986110.084964906,178.7821137495339,0.0035856030192480642
31,2017Q2,66639.0,13365.0,4986083.0527497195,-27.03221518639475,-0.0005421533275801945
32,2017Q3,68432.0,13724.0,4986301.369863014,218.31711329426616,0.004378337711670723
33,2017Q4,69230.0,13885.0,4985956.067698956,-345.302164058201,-0.00692549551920861
34,2018Q1,69729.0,13985.0,4985984.983911334,28.91621237806976,0.0005799498488538564
35,2018Q2,71227.0,14285.0,4986139.306965348,154.32305401470512,0.0030950409628372143
36,2018Q3,68968.0,13832.0,4986119.144013881,-20.16295146755874,-0.0004043816620741105
37,2018Q4,69767.0,13992.0,4986206.403659234,87.25964535307139,0.001750020722949496
38,2019Q1,70200.0,14079.0,4986149.584487535,-56.81917169876397,-0.0011395400546252105
39,2019Q2,69866.0,14012.0,4986154.724521838,5.140034303069115,0.00010308613725503741
40,2019Q3,71020.0,14244.0,4985959.00028082,-195.7242410182953,-0.003925508432926779
41,2019Q4,70525.0,14144.0,4986213.235294118,254.235013297759,0.005098759345031554
42,2020Q1,70696.0,14178.0,4986316.828889829,103.59359571151435,0.002077557428988699
43,2020Q2,68271.0,13692.0,4986196.319018405,-120.5098714241758,-0.002416869768334747
44,2020Q3,68840.0,13806.0,4986237.8675938,41.548575394786894,0.00083326500857122
45,2020Q4,69315.0,13902.0,4985973.24126025,-264.6263335496187,-0.005307415839294236
46,2021Q1,69559.0,13951.0,4985950.827897642,-22.41336260829121,-0.0004495303580388888
47,2021Q2,70431.0,14125.0,4986265.486725664,314.65882802195847,0.006310510919637891
48,2021Q3,70152.0,14069.0,4986281.896367901,16.409642237238586,0.0003290957586892885
49,2021Q4,71034.0,14246.0,4986241.752070757,-40.14429714437574,-0.000805101299544974
50,2022Q1,72961.0,14633.0,4986058.907947789,-182.84412296768278,-0.0036671071550363923
51,2022Q2,72209.0,14482.0,4986120.701560558,61.79361276887357,0.0012393124127447093
