,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2009Q3,499411.0,15134.0,32999273.159772698,,
1,2009Q4,510365.0,15466.0,32999159.44652787,-113.71324482932687,-0.00034459436766439105
2,2010Q1,544241.0,16492.0,33000303.177298084,1143.730770215392,0.0034658189776941182
3,2010Q2,541999.0,16424.0,33000426.20555285,123.0282547660172,0.00037280807829480616
4,2010Q3,551777.0,16721.0,32999043.119430657,-1383.0861221924424,-0.004191291599537463
5,2010Q4,717984.0,16751.0,42862157.483135335,9863114.363704678,23.011241017406665
6,2011Q1,758293.0,17676.0,42899581.353247344,37423.87011200935,0.08723597977297393
7,2011Q2,825469.0,19242.0,42899334.78848352,-246.56476382166147,-0.0005747519513702405
8,2011Q3,833987.0,19440.0,42900565.843621396,1231.055137872696,0.0028695545470427248
9,2011Q4,878222.0,20471.0,42900786.47843291,220.6348115131259,0.0005142908315306608
10,2012Q1,976352.0,22759.0,42899600.15817918,-1186.3202537298203,-0.002765341050628972
11,2012Q2,1195925.0,27877.0,42900060.982171685,460.8239925056696,0.0010741802737697223
12,2012Q3,968234.0,22570.0,42899158.17456801,-902.8076036721468,-0.00210448792491075
13,2012Q4,995760.0,23211.0,42900348.97246995,1190.7979019358754,0.0027757301058320884
14,2013Q1,1054013.0,24569.0,42900118.034922056,-230.93754789233208,-0.0005383144813362555
15,2013Q2,1047771.0,24424.0,42899238.45397969,-879.5809423625469,-0.0020503416239104582
16,2013Q3,1063832.0,24798.0,42899911.283167996,672.8291883021593,0.0015683696496737217
17,2013Q4,1023913.0,23867.0,42900783.50861021,872.2254422158003,0.0020331224068221134
18,2014Q1,1058987.0,24685.0,42900020.25521572,-763.2533944919705,-0.001779144601683901
19,2014Q2,1107318.0,25812.0,42899349.13993491,-671.1152808070183,-0.0015643950182504716
20,2014Q3,1245184.0,20753.0,60000192.74321785,17100843.603282936,28.501314448220565
21,2014Q4,1162486.0,19375.0,59999277.41935484,-915.3238630071282,-0.001525558143991679
22,2015Q1,1235999.0,20600.0,59999951.45631068,674.0369558408856,0.0011233958352977829
23,2015Q2,1268658.0,21144.0,60000851.30533484,899.8490241616964,0.00149972709484155
24,2015Q3,1285391.0,21423.0,60000513.46683471,-337.8385001346469,-0.0005630593483527223
25,2015Q4,1269923.0,14110.0,90001630.04961021,30001116.582775503,33.333970247248246
26,2016Q1,1348777.0,14987.0,89996463.60178822,-5166.4478219896555,-0.00574072315202283
27,2016Q2,1458974.0,16211.0,89999013.01585343,2549.4140652120113,0.002832713359604209
28,2016Q3,1381341.0,15348.0,90001368.25645036,2355.240596920252,0.0026168942123293254
29,2016Q4,1384675.0,15386.0,89995775.38021578,-5592.876234576106,-0.006214598641933159
30,2017Q1,1406796.0,15631.0,90000383.8526006,4608.472384825349,0.00512050303293477
31,2017Q2,1290463.0,14339.0,89996722.22609666,-3661.626503944397,-0.0040686220713076395
32,2017Q3,1333476.0,14817.0,89996355.53755821,-366.68853844702244,-0.00040744820860439415
33,2017Q4,1415297.0,15726.0,89997265.67467888,910.1371206641197,0.001011294191930312
34,2018Q1,1456212.0,16180.0,90000741.65636589,3475.9816870093346,0.0038621700477547934
35,2018Q2,1545520.0,17173.0,89997088.45280382,-3653.203562065959,-0.004059246387711496
36,2018Q3,1327056.0,14745.0,90000406.91759919,3318.4647953659296,0.003687166435151993
37,2018Q4,1372279.0,15248.0,89997311.1227702,-3095.794828981161,-0.003439874803323868
38,2019Q1,1412946.0,15700.0,89996560.50955413,-750.6132160723209,-0.0008340465589155877
39,2019Q2,1475712.0,16397.0,89998902.23821431,2341.7286601811647,0.0026019524704678524
40,2019Q3,1315713.0,14619.0,90000205.21239483,1302.9741805195808,0.0014477457884064192
41,2019Q4,1364797.0,15165.0,89996505.1104517,-3700.1019431352615,-0.004111384034962433
42,2020Q1,1410204.0,15669.0,89999617.07830748,3111.9678557813168,0.0034577567736467528
43,2020Q2,1403709.0,15597.0,89998653.58722831,-963.4910791665316,-0.001070561659272712
44,2020Q3,1266104.0,14068.0,89998862.66704577,209.07981745898724,0.00023231384404543643
45,2020Q4,1328607.0,14763.0,89995732.57467994,-3130.0923658311367,-0.0034780453209086715
46,2021Q1,1367906.0,15199.0,89999736.8247911,4004.2501111626625,0.004449179800334329
47,2021Q2,1415175.0,15725.0,89995230.52464229,-4506.300148814917,-0.005007265521233386
48,2021Q3,1318395.0,14649.0,89998976.0393201,3745.5146778076887,0.004161730324766464
49,2021Q4,1383408.0,15372.0,89995316.15925059,-3659.8800695091486,-0.004066745054856892
50,2022Q1,1468203.0,16314.0,89996506.0684075,1189.9091569185257,0.0013221726141391093
51,2022Q2,1529164.0,16991.0,89998469.77811782,1963.7097103148699,0.002181936776432087
