,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2009Q1,23673.0,18843.0,1256328.610093934,,
1,2009Q2,23194.0,18526.0,1251970.2040375688,-4358.406056365231,-0.3481237846004237
2,2009Q3,23823.0,19088.0,1248061.6093880972,-3908.5946494715754,-0.313173213571395
3,2009Q4,26143.0,21059.0,1241416.9713661617,-6644.638021935476,-0.5352462689972046
4,2010Q1,27999.0,22664.0,1235395.3406283092,-6021.630737852538,-0.4874254046312009
5,2010Q2,26411.0,21377.0,1235486.7380829863,91.39745467714965,0.007397688041472978
6,2010Q3,28182.0,22889.0,1231246.4502599502,-4240.28782303608,-0.34438985161263513
7,2010Q4,33279.0,27165.0,1225069.0226394257,-6177.4276205245405,-0.5042513937063888
8,2011Q1,31773.0,25929.0,1225384.7043850515,315.6817456257995,0.02576184805442154
9,2011Q2,27556.0,22430.0,1228533.2144449397,3148.510059888242,0.256282046172497
10,2011Q3,29054.0,23693.0,1226269.362258895,-2263.852186044678,-0.18461296153354634
11,2011Q4,35454.0,29042.0,1220783.6925831554,-5485.669675739715,-0.4493564018808394
12,2012Q1,38112.0,31272.0,1218726.0168841137,-2057.6756990416907,-0.16883825162791705
13,2012Q2,31236.0,25557.0,1222209.1794811597,3483.162597046001,0.28498907188085754
14,2012Q3,32921.0,26981.0,1220154.9238352915,-2054.2556458681356,-0.16836023079848172
15,2012Q4,44493.0,36640.0,1214328.6026200873,-5826.321215204196,-0.47979774194835534
16,2013Q1,44459.0,36626.0,1213864.4678643586,-464.1347557287663,-0.03823612668598438
17,2013Q2,35327.0,29030.0,1216913.5377196004,3049.0698552418035,0.2505576411743696
18,2013Q3,37799.0,31106.0,1215167.4918022247,-1746.0459173757117,-0.14368767508634855
19,2013Q4,45035.0,37150.0,1212247.6446837147,-2919.8471185099334,-0.2408622636896725
20,2014Q1,44614.0,36824.0,1211546.8172930698,-700.8273906449322,-0.05784567138814942
21,2014Q2,37805.0,31155.0,1213448.884609212,1902.0673161421437,0.15674886188178414
22,2014Q3,39721.0,14558.0,2728465.4485506252,1515016.5639414133,55.526323954228474
23,2014Q4,43136.0,15825.0,2725813.5860979464,-2651.862452678848,-0.09728700694001013
24,2015Q1,43274.0,15877.0,2725577.8799521322,-235.7061458141543,-0.00864793288600852
25,2015Q2,40006.0,14666.0,2727805.8093549707,2227.929402838461,0.08167478033802147
26,2015Q3,42487.0,15585.0,2726146.9361565607,-1658.8731984100305,-0.06085046907811878
27,2015Q4,45787.0,16808.0,2724119.466920514,-2027.4692360465415,-0.07442659034107993
28,2016Q1,47151.0,17313.0,2723444.8102581874,-674.6566623267718,-0.024772180430666157
29,2016Q2,42668.0,15653.0,2725867.2458953555,2422.4356371681206,0.08886843777208352
30,2016Q3,44572.0,16358.0,2724782.9808044992,-1084.2650908562355,-0.039792713713152426
31,2016Q4,46202.0,16961.0,2724013.9142739223,-769.0665305769071,-0.028232841489794647
32,2017Q1,48559.0,17834.0,2722832.7912975214,-1181.1229764008895,-0.043378461585150976
33,2017Q2,43488.0,15956.0,2725495.111556781,2662.320259259548,0.09768207794505461
34,2017Q3,45961.0,16872.0,2724099.099099099,-1396.0124576818198,-0.0512467574378444
35,2017Q4,45733.0,16788.0,2724148.201096021,49.10199692193419,0.0018024715726618222
36,2018Q1,46492.0,17069.0,2723768.234811647,-379.9662843742408,-0.013950022601703338
37,2018Q2,41587.0,15252.0,2726658.798846053,2890.5640344060957,0.10601121180359672
38,2018Q3,42757.0,15686.0,2725806.4516129033,-852.3472331496887,-0.03126954346466314
39,2018Q4,46901.0,17220.0,2723635.3077816493,-2171.143831253983,-0.07971492457344959
40,2019Q1,48023.0,17636.0,2723009.7527784077,-625.5550032416359,-0.022972925550610104
41,2019Q2,41430.0,15194.0,2726734.2371988944,3724.484420486726,0.13659139822562227
42,2019Q3,42892.0,15736.0,2725724.4534824607,-1009.7837164336815,-0.037046434211042645
43,2019Q4,44757.0,16426.0,2724765.6154876417,-958.8379948190413,-0.03518974216971105
44,2020Q1,44861.0,16465.0,2724627.998785302,-137.61670233961195,-0.005050843726224807
45,2020Q2,40601.0,14887.0,2727278.8338819104,2650.8350966083817,0.0971970692426516
46,2020Q3,46078.0,16915.0,2724091.0434525567,-3187.790429353714,-0.11702216917513364
47,2020Q4,42978.0,15767.0,2725819.7501109913,1728.7066584345885,0.06341969817938982
48,2021Q1,43008.0,15778.0,2725820.763087844,1.0129768527112901,3.716226930356849e-05
49,2021Q2,43411.0,15928.0,2725452.0341536915,-368.72893415251747,-0.013529092771835016
50,2021Q3,45295.0,16625.0,2724511.2781954887,-940.7559582027607,-0.034529347179867304
51,2021Q4,42623.0,15636.0,2725952.929137887,1441.6509423982352,0.05288612752584005
52,2022Q1,42933.0,15751.0,2725731.6995746302,-221.22956325672567,-0.008116336735976256
53,2022Q2,42637.0,15641.0,2725976.5999616394,244.9003870091401,0.008983950449632854
