,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2005Q1,29606.0,17415.0,1700028.7108814241,,
1,2005Q2,31085.0,18285.0,1700027.344818157,-1.3660632672253996,-8.035537024679566e-05
2,2005Q3,32887.0,19345.0,1700025.8464719565,-1.498346200445667,-8.813667177797132e-05
3,2005Q4,33164.0,19508.0,1700020.5044084478,-5.3420635086949915,-0.00031423523980105505
4,2006Q1,32564.0,19155.0,1700026.10284521,5.598436762345955,0.0003293147530485713
5,2006Q2,34530.0,20312.0,1699980.307207562,-45.795637648086995,-0.002693892244158538
6,2006Q3,35488.0,20875.0,1700023.9520958085,43.64488824643195,0.002567310195402014
7,2006Q4,37232.0,21901.0,1700013.6980046574,-10.254091151058674,-0.0006031769722264074
8,2007Q1,37897.0,22292.0,1700026.915485376,13.217480718623847,0.0007774865561378546
9,2007Q2,38020.0,22365.0,1699977.6436396155,-49.27184576052241,-0.002898381984308479
10,2007Q3,38342.0,22554.0,1700008.8676066329,31.22396701737307,0.0018366943615612964
11,2007Q4,74600.0,21941.0,3400027.3460644456,1700018.4784578127,50.00014133491001
12,2008Q1,74647.0,21955.0,3400000.0,-27.34606444556266,-0.0008042960131047841
13,2008Q2,75859.0,22311.0,3400071.713504549,71.7135045491159,0.0021091762348506107
14,2008Q3,79585.0,23407.0,3400051.266715085,-20.446789463981986,-0.0006013670930243468
15,2008Q4,85933.0,25274.0,3400055.392893883,4.126178797800094,0.00012135622279636412
16,2009Q1,91228.0,26832.0,3399970.184853906,-85.2080399771221,-0.0025061407996077303
17,2009Q2,94688.0,20630.0,4589820.649539505,1189850.4646855993,25.923681022372335
18,2009Q3,103199.0,22484.0,4589886.141256005,65.49171649944037,0.0014268701768170402
19,2009Q4,131647.0,16235.0,8108838.928241454,3518952.7869854495,43.39650618450005
20,2010Q1,132593.0,16352.0,8108671.722113503,-167.20612795092165,-0.002062065572280189
21,2010Q2,131224.0,16183.0,8108756.102082432,84.3799689291045,0.0010406031192310083
22,2010Q3,169472.0,16501.0,10270407.85406945,2161651.7519870186,21.047379838284666
23,2010Q4,162957.0,15867.0,10270183.399508413,-224.45456103794277,-0.0021854971065919464
24,2011Q1,168839.0,16439.0,10270636.900054747,453.50054633431137,0.004415505588868535
25,2011Q2,162641.0,15836.0,10270333.41752968,-303.4825250674039,-0.002954943259674626
26,2011Q3,169248.0,16479.0,10270526.12415802,192.70662833936512,0.0018763072700441943
27,2011Q4,174420.0,16983.0,10270270.27027027,-255.85388774983585,-0.0024912089070378758
28,2012Q1,165645.0,16128.0,10270647.32142857,377.05115830153227,0.0036711528154107355
29,2012Q2,157724.0,15357.0,10270495.539493391,-151.78193517960608,-0.001477844322077306
30,2012Q3,163448.0,15915.0,10270059.692114357,-435.8473790343851,-0.004243864126408545
31,2012Q4,169787.0,16532.0,10270203.242196951,143.55008259415627,0.0013977336106101123
32,2013Q1,171117.0,16661.0,10270511.974071184,308.73187423311174,0.003006002768046351
33,2013Q2,175320.0,17070.0,10270650.263620386,138.2895492017269,0.0013464536874706128
34,2013Q3,170542.0,15104.0,11291181.144067796,1020530.88044741,9.038300488019187
35,2013Q4,175665.0,15557.0,11291701.48486212,520.3407943248749,0.004608169946951343
36,2014Q1,183935.0,16290.0,11291282.995702885,-418.48915923573077,-0.0037063029896159264
37,2014Q2,183700.0,16269.0,11291413.116970927,130.1212680414319,0.001152391349899867
38,2014Q3,190634.0,16883.0,11291476.63329977,63.516328843310475,0.0005625157001697549
39,2014Q4,184289.0,16321.0,11291526.254518718,49.621218947693706,0.0004394553741380706
40,2015Q1,194879.0,17259.0,11291442.146126658,-84.10839205980301,-0.0007448861799168408
41,2015Q2,207320.0,18361.0,11291324.001960678,-118.1441659796983,-0.001046326949427571
42,2015Q3,198982.0,17622.0,11291680.853478607,356.8515179287642,0.0031603046752674527
43,2015Q4,204312.0,18094.0,11291698.905714601,18.052235994488,0.00015987174423639624
44,2016Q1,212754.0,18842.0,11291476.488695467,-222.41701913438737,-0.0019697779945524537
45,2016Q2,206527.0,18291.0,11291181.45536056,-295.0333349071443,-0.0026129536229096326
46,2016Q3,206366.0,18276.0,11291639.308382578,457.8530220184475,0.0040547967351255276
47,2016Q4,211790.0,18851.0,11234947.748130072,-56691.560252506286,-0.5046001238585373
48,2017Q1,220436.0,19621.0,11234697.517965445,-250.23016462661326,-0.0022272977463475923
49,2017Q2,207369.0,18458.0,11234640.806154514,-56.71181093156338,-0.0005047941621818096
50,2017Q3,216105.0,0.0,inf,inf,
51,2017Q4,216365.0,19258.0,11235071.139266798,-inf,-inf
52,2018Q1,201092.0,17899.0,11234817.587574724,-253.55169207416475,-0.002256838529844785
53,2018Q2,196043.0,17450.0,11234555.873925501,-261.7136492226273,-0.0023295415694183654
54,2018Q3,205995.0,18335.0,11235069.539132806,513.6652073040605,0.004571980667453069
55,2018Q4,210398.0,18727.0,11235008.276819566,-61.26231323927641,-0.0005452805350012497
56,2019Q1,187273.0,16669.0,11234807.12700222,-201.1498173456639,-0.001790416293504601
57,2019Q2,195221.0,17376.0,11235094.38305709,287.25605486892164,0.00255677473704283
58,2019Q3,198145.0,17637.0,11234620.400294835,-473.98276225477457,-0.0042189477291314234
59,2020Q1,172628.0,15365.0,11235144.80963228,524.4093374460936,0.00466757969150962
60,2020Q2,176737.0,15731.0,11234950.098531561,-194.71110071986914,-0.001733083805555295
61,2020Q3,179700.0,15995.0,11234760.862769615,-189.2357619460672,-0.001684377302352446
62,2020Q4,184927.0,16460.0,11234933.171324423,172.30855480767787,0.0015336856230482177
63,2021Q1,166855.0,14852.0,11234513.870185833,-419.30113858915865,-0.0037322588536910398
64,2021Q2,173252.0,15421.0,11234809.675118346,295.80493251234293,0.002632932297620137
65,2021Q3,180228.0,16042.0,11234758.758259568,-50.91685877740383,-0.00045320829643957225
66,2021Q4,180580.0,16073.0,11234990.356498476,231.59823890775442,0.0020614013146330362
67,2022Q1,165700.0,14749.0,11234659.976947589,-330.37955088727176,-0.0029407169559664283
68,2022Q2,171693.0,15282.0,11234982.332155477,322.3552078884095,0.002869209744690042
69,2022Q3,178641.0,15901.0,11234576.441733224,-405.89042225293815,-0.0036128680449862964
