,quarter,owner_equity,bvps,shares_est,shares_est_diff,shares_est_diff_perc
0,2006Q4,453570.0,12922.0,35100603.62173038,,
1,2007Q1,429137.0,12226.0,35100359.888761654,-243.73296872526407,-0.0006943888025584087
2,2007Q2,536602.0,12740.0,42119466.24803767,7019106.359276019,16.66475619121369
3,2007Q3,563330.0,13374.0,42121280.09570809,1813.8476704135537,0.004306250109901988
4,2007Q4,774496.0,12950.0,59806640.92664093,17685360.83093284,29.570898075726703
5,2008Q1,795896.0,13308.0,59805831.0790502,-809.8475907295942,-0.0013541281445602741
6,2008Q2,757314.0,12662.0,59809982.6251777,4151.54612749815,0.006941226105206239
7,2008Q3,786717.0,13154.0,59808195.225786835,-1787.399390861392,-0.0029885526291399257
8,2008Q4,781366.0,13065.0,59806046.68962878,-2148.536158055067,-0.0035925065724627704
9,2009Q1,809575.0,13536.0,59809027.777777776,2981.088148996234,0.0049843447716163445
10,2009Q2,802655.0,13275.0,60463653.483992465,654625.7062146887,1.0826763989509807
11,2009Q3,821660.0,13738.0,59809288.10598341,-654365.3780090585,-1.094086551990902
12,2009Q4,813879.0,13608.0,59808862.43386243,-425.6721209734678,-0.0007117208113499612
13,2010Q1,824014.0,13778.0,59806503.1209174,-2359.3129450306296,-0.003944910372473285
14,2010Q2,791718.0,13238.0,59806466.233570024,-36.887347377836704,-6.167785809944984e-05
15,2010Q3,804413.0,13450.0,59807657.99256506,1191.7589950338006,0.0019926528391764698
16,2010Q4,852428.0,14253.0,59806917.84185786,-740.1507072001696,-0.0012375670472724988
17,2011Q1,863694.0,14441.0,59808462.0178658,1544.1760079413652,0.0025818687788361685
18,2011Q2,804151.0,13446.0,59805964.59913729,-2497.418728508055,-0.00417586898772983
19,2011Q3,833619.0,13938.0,59809083.08222126,3118.4830839708447,0.005214062686237434
20,2011Q4,856513.0,14321.0,59808183.78604846,-899.2961728051305,-0.001503633977621154
21,2012Q1,859623.0,14373.0,59808182.00793154,-1.7781169191002846,-2.9730328851401593e-06
22,2012Q2,854318.0,14284.0,59809437.13245589,1255.1245243549347,0.002098539268268477
23,2012Q3,862172.0,14416.0,59806603.7735849,-2833.3588709905744,-0.004737535141967046
24,2012Q4,872780.0,14593.0,59808127.184266426,1523.4106815233827,0.0025471633258634164
25,2013Q1,985704.0,16481.0,59808506.76536618,379.58109975606203,0.0006346607201634221
26,2013Q2,973959.0,16285.0,59807123.119435064,-1383.6459311172366,-0.002313513606655331
27,2013Q3,983138.0,16438.0,59808857.52524638,1734.405811317265,0.0028999146331881386
28,2013Q4,993378.0,16610.0,59806020.46959663,-2837.0556497499347,-0.004743762630372971
29,2014Q1,981004.0,16403.0,59806376.88227763,356.41268099844456,0.000595944278149476
30,2014Q2,981520.0,15338.0,63992697.87455992,4186320.9922822863,6.54187295008005
31,2014Q3,996096.0,15566.0,63991776.9497623,-920.924797616899,-0.0014391299031122151
32,2014Q4,1033779.0,16154.0,63995233.37872972,3456.428967423737,0.005401072525149288
33,2015Q1,1059795.0,16561.0,63993418.271843486,-1815.1068862378597,-0.0028363962033209436
34,2015Q2,1046978.0,16361.0,63992298.75924455,-1119.51259893924,-0.0017494489503356236
35,2015Q3,1050156.0,16410.0,63994881.17001828,2582.410773731768,0.004035339587350671
36,2015Q4,1051304.0,16428.0,63994643.29194059,-237.87807768583298,-0.0003717156084465449
37,2016Q1,1064026.0,16627.0,63993865.39965117,-777.8922894224524,-0.0012155732187208881
38,2016Q2,1120929.0,16371.0,68470404.98442368,4476539.584772512,6.537918953146077
39,2016Q3,1109365.0,16202.0,68470867.7940995,462.80967581272125,0.0006759220245381556
40,2016Q4,1111364.0,16231.0,68471689.9759719,822.1818724125624,0.001200761764024055
41,2017Q1,1125955.0,16444.0,68472087.08343469,397.1074627786875,0.0005799552484719848
42,2017Q2,1084223.0,15835.0,68470034.73318598,-2052.350248709321,-0.002997442978825583
43,2017Q3,1099065.0,16052.0,68469038.12609021,-996.6070957630873,-0.001455558779616226
44,2017Q4,1105836.0,16150.0,68472817.33746131,3779.2113710939884,0.005519287095298752
45,2018Q1,1128269.0,17233.0,65471421.11065978,-3001396.2268015295,-4.584284525806413
46,2018Q2,1089463.0,16640.0,65472536.057692304,1114.9470325261354,0.0017029232402784578
47,2018Q3,1104585.0,16871.0,65472408.27455397,-127.78313833475113,-0.00019517097614448742
48,2018Q4,1121224.0,17126.0,65469111.29277123,-3296.9817827418447,-0.005035934836503395
49,2019Q1,1098117.0,16773.0,65469325.70202111,214.4092498794198,0.0003274957357210123
50,2019Q2,1016236.0,15522.0,65470686.76716918,1361.0651480704546,0.002078892425415907
51,2019Q3,1037992.0,15854.0,65471931.373785794,1244.606616616249,0.001900977396726951
52,2019Q4,1084754.0,16568.0,65472839.208112024,907.8343262299895,0.001386581576742604
53,2020Q1,1088972.0,16633.0,65470570.55251608,-2268.6555959433317,-0.0034651532387724787
54,2020Q2,1112103.0,16242.0,68470816.40192094,3000245.849404864,4.381787755813428
55,2020Q3,1117641.0,17071.0,65470154.06244508,-3000662.3394758627,-4.583252296327037
56,2020Q4,1104545.0,16871.0,65470037.34218481,-116.7202602699399,-0.00017828042415783479
57,2021Q1,1121972.0,17137.0,65470735.83474354,698.4925587251782,0.0010668775137769374
58,2021Q2,1092229.0,16683.0,65469579.81178445,-1156.0229590833187,-0.0017657406117569672
59,2021Q3,1078124.0,16467.0,65471792.06898646,2212.2572020068765,0.0033789470733836956
60,2021Q4,1084249.0,15835.0,68471676.66561414,2999884.5966276824,4.381205109490472
61,2022Q1,1054169.0,15396.0,68470316.96544556,-1359.7001685798168,-0.0019858242649380565
62,2022Q2,1010630.0,14760.0,68470867.20867209,550.2432265281677,0.0008036165583404169
