Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,ACL,ACL,ACL,ACL,ACL,ACL,ACL,ACL,ACL,ACL,ACL,ACL
date,,,,,,,,,,,,
2007-09-05,9.21,0.0,0.0,81.0,81.0,81.0,81.0,17616000000,0,217480,0,217480
2007-09-06,8.93,-2.5,-3.09,78.5,78.5,77.0,78.5,17378000000,0,222430,0,222430
2007-09-07,9.1,1.5,1.91,80.0,80.0,79.0,80.0,12331000000,0,154640,0,154640
2007-09-10,9.44,3.0,3.75,83.0,84.0,81.0,81.0,13545000000,0,165250,0,165250
2007-09-11,9.33,-1.0,-1.2,82.0,83.5,82.0,83.0,8596000000,0,103890,0,103890
2007-09-12,9.04,-2.5,-3.05,79.5,80.5,79.5,80.5,4991000000,0,62520,0,62520
2007-09-13,9.04,0.0,0.0,79.5,79.5,79.0,79.5,3732000000,0,46950,0,46950
2007-09-14,9.1,0.5,0.63,80.0,80.0,79.5,80.0,4267000000,0,53480,0,53480
2007-09-17,9.04,-0.5,-0.63,79.5,80.0,79.0,80.0,4927000000,0,61910,0,61910
2007-09-18,9.04,0.0,0.0,79.5,80.0,79.5,79.5,3632000000,0,45680,0,45680
2007-09-19,9.04,0.0,0.0,79.5,80.0,79.0,80.0,3196000000,0,40160,0,40160
2007-09-20,9.04,0.0,0.0,79.5,80.0,79.5,80.0,3509000000,0,44050,0,44050
2007-09-21,9.1,0.5,0.63,80.0,80.0,79.5,80.0,3846000000,0,48150,0,48150
2007-09-24,9.21,1.0,1.25,81.0,81.0,80.0,80.0,3073000000,0,38180,0,38180
2007-09-25,9.44,2.0,2.47,83.0,83.0,82.0,83.0,7347000000,0,88570,0,88570
2007-09-26,9.5,0.5,0.6,83.5,86.0,83.5,86.0,10923000000,0,128880,0,128880
2007-09-27,9.55,0.5,0.6,84.0,84.0,83.5,84.0,11502000000,0,137040,0,137040
2007-09-28,10.01,4.0,4.76,88.0,88.0,86.0,88.0,14099000000,0,160240,0,160240
2007-10-01,10.46,4.0,4.55,92.0,92.0,92.0,92.0,6314000000,0,68630,0,68630
2007-10-02,10.92,4.0,4.35,96.0,96.0,91.0,96.0,25789000000,0,270700,0,270700
2007-10-03,10.58,-3.0,-3.13,93.0,96.0,93.0,96.0,10455000000,0,110780,0,110780
2007-10-04,10.24,-3.0,-3.23,90.0,92.0,88.5,90.0,10348000000,0,115460,0,115460
2007-10-05,10.01,-2.0,-2.22,88.0,90.0,88.0,90.0,7048000000,0,79240,0,79240
2007-10-08,10.01,0.0,0.0,88.0,89.0,87.0,88.0,4500000000,0,51110,0,51110
2007-10-09,10.07,0.5,0.57,88.5,89.0,88.0,88.0,3243000000,0,36660,0,36660
2007-10-10,10.18,1.0,1.13,89.5,90.0,88.5,88.5,5777000000,0,64800,0,64800
2007-10-11,10.18,0.0,0.0,89.5,90.5,89.5,90.0,4936000000,0,54840,0,54840
2007-10-12,10.12,-0.5,-0.56,89.0,89.5,88.0,88.0,3951000000,0,44490,0,44490
2007-10-15,10.01,-1.0,-1.12,88.0,89.5,88.0,89.5,3909000000,0,44170,0,44170
2007-10-16,10.01,0.0,0.0,88.0,89.0,87.0,88.0,3230000000,0,36720,0,36720
2007-10-17,10.01,0.0,0.0,88.0,88.0,87.0,87.0,5024000000,0,57200,0,57200
2007-10-18,9.84,-1.5,-1.7,86.5,87.0,86.0,87.0,5765000000,0,66560,0,66560
2007-10-19,10.12,2.5,2.89,89.0,89.0,88.0,88.0,5879000000,0,66640,0,66640
2007-10-22,10.12,0.0,0.0,89.0,90.0,89.0,89.0,7258000000,0,81530,0,81530
2007-10-23,9.9,-2.0,-2.25,87.0,88.0,87.0,88.0,2165000000,0,24790,0,24790
2007-10-24,10.01,1.0,1.15,88.0,88.5,88.0,88.0,4593000000,0,52150,0,52150
2007-10-25,10.07,0.5,0.57,88.5,89.0,88.0,89.0,4561000000,0,51450,0,51450
2007-10-26,10.07,0.0,0.0,88.5,89.0,88.5,88.5,3710000000,0,41920,0,41920
2007-10-29,9.95,-1.0,-1.13,87.5,89.0,87.5,89.0,2688000000,0,30350,0,30350
2007-10-30,10.01,0.5,0.57,88.0,88.5,87.0,88.0,3666000000,0,41630,0,41630
2007-10-31,9.84,-1.5,-1.7,86.5,88.5,86.5,87.0,3404000000,0,38850,0,38850
2007-11-01,9.9,0.5,0.58,87.0,87.0,86.0,86.5,2860000000,0,32990,0,32990
2007-11-02,10.35,4.0,4.6,91.0,91.0,90.0,91.0,15735000000,0,173140,0,173140
2007-11-05,10.86,4.5,4.95,95.5,95.5,94.0,95.5,19549000000,0,204940,0,204940
2007-11-06,10.41,-4.0,-4.19,91.5,93.0,91.5,91.5,6806000000,0,74010,0,74010
2007-11-07,10.41,0.0,0.0,91.5,92.0,90.0,90.0,1556000000,0,17130,0,17130
2007-11-08,10.46,0.5,0.55,92.0,92.0,89.0,92.0,5699000000,0,62810,0,62810
2007-11-09,10.01,-4.0,-4.35,88.0,90.5,88.0,89.0,2079000000,2660000000,23440,28000,51440
2007-11-12,10.01,0.0,0.0,88.0,90.0,87.0,90.0,561000000,0,6360,0,6360
2007-11-13,9.55,-4.0,-4.55,84.0,88.0,84.0,88.0,1377000000,0,16080,0,16080
2007-11-14,10.01,4.0,4.76,88.0,88.0,86.0,88.0,5770000000,0,65680,0,65680
2007-11-15,9.67,-3.0,-3.41,85.0,86.0,84.5,86.0,3864000000,0,45440,0,45440
2007-11-16,9.67,0.0,0.0,85.0,85.0,81.5,81.5,3382000000,0,40420,0,40420
2007-11-19,9.67,0.0,0.0,85.0,85.0,84.0,84.0,469000000,0,5550,0,5550
2007-11-20,9.55,-1.0,-1.18,84.0,84.0,83.0,83.0,927000000,0,11110,0,11110
2007-11-21,9.67,1.0,1.19,85.0,85.0,81.5,81.5,586000000,0,7030,0,7030
2007-11-22,9.67,0.0,0.0,85.0,86.0,85.0,86.0,357000000,0,4180,0,4180
2007-11-23,9.55,-1.0,-1.18,84.0,85.0,84.0,85.0,228000000,0,2690,0,2690
2007-11-26,9.61,0.5,0.6,84.5,86.0,84.5,86.0,1243000000,0,14500,0,14500
2007-11-27,9.84,2.0,2.37,86.5,87.5,85.0,87.5,1180000000,0,13500,0,13500
2007-11-28,9.9,0.5,0.58,87.0,87.0,86.5,86.5,2332000000,0,26860,0,26860
2007-11-29,9.9,0.0,0.0,87.0,88.0,87.0,88.0,1428000000,0,16400,0,16400
2007-11-30,9.73,-1.5,-1.72,85.5,90.0,84.0,84.0,531000000,0,6150,0,6150
2007-12-03,9.67,-0.5,-0.58,85.0,85.0,85.0,85.0,959000000,0,11280,0,11280
2007-12-04,9.67,0.0,0.0,85.0,85.5,85.0,85.5,1079000000,0,12680,0,12680
2007-12-05,9.67,0.0,0.0,85.0,85.0,84.5,85.0,3808000000,0,44800,0,44800
2007-12-06,9.67,0.0,0.0,85.0,88.0,85.0,85.0,2273000000,0,26560,0,26560
2007-12-07,9.67,0.0,0.0,85.0,85.0,85.0,85.0,55000000,0,650,0,650
2007-12-10,9.55,-1.0,-1.18,84.0,85.0,84.0,85.0,206000000,0,2450,0,2450
2007-12-11,9.44,-1.0,-1.19,83.0,84.0,82.5,84.0,2763000000,0,33230,0,33230
2007-12-12,9.44,0.0,0.0,83.0,83.0,82.5,83.0,890000000,0,10730,0,10730
2007-12-13,9.44,0.0,0.0,83.0,83.5,83.0,83.0,2442000000,0,29420,0,29420
