,timestamp,delta_volume,date,note
0,1466528400,16070000,2016-06-22,"Niêm yết cổ phiếu lần đầu - 16,070,000 CP"
1,1467133200,16070000,2016-06-29,"Giao dịch lần đầu - 16,070,000 CP"
2,1481648400,803481,2016-12-14,"Niêm yết cổ phiếu bổ sung - 803,481 CP"
3,1482685200,803481,2016-12-26,"Giao dịch bổ sung - 803,481 CP"
4,1516122000,8644320,2018-01-17,"Niêm yết cổ phiếu bổ sung - 8,644,320 CP"
5,1518368400,4274320,2018-02-12,"Giao dịch bổ sung - 4,274,320 CP"
6,1543942800,4370000,2018-12-05,"Giao dịch bổ sung - 4,370,000 CP"
7,1602522000,2551649,2020-10-13,"Niêm yết cổ phiếu bổ sung - 2,551,649 CP"
8,1603645200,2551649,2020-10-26,"Giao dịch bổ sung - 2,551,649 CP"
9,1641402000,10000000,2022-01-06,"Niêm yết cổ phiếu bổ sung - 10,000,000 CP"
10,1642352400,9817678,2022-01-17,"Giao dịch bổ sung - 9,817,678 CP"
11,1665939600,5709584,2022-10-17,"Niêm yết cổ phiếu bổ sung - 5,709,584 CP"
12,1670346000,182322,2022-12-07,"Giao dịch bổ sung - 182,322 CP"
