,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2006Q1,31828.0,3568.0,838.0,789.0,789.0,,,,,,,0.0,0.0,0.0,2.48,0.0,0.0
1,2006Q2,37477.0,3627.0,891.0,1076.0,1076.0,,,,,,,0.0,0.0,0.0,2.87,0.0,0.0
2,2006Q3,37941.0,2997.0,903.0,724.0,724.0,,,,,,,0.0,0.0,0.0,1.91,0.0,0.0
3,2006Q4,47227.0,3952.0,777.0,600.0,600.0,72450.0,138611.0,114313.0,72003.0,24298.0,,2395.0,18249.0,24.21,1.27,4.94,0.87
4,2007Q1,31927.0,3696.0,1121.0,1853.0,1853.0,76755.0,144417.0,119985.0,73862.0,24432.0,0.0,0.0,18305.0,0.0,5.8,7.6,1.31
5,2007Q2,43177.0,3461.0,1071.0,1138.0,1138.0,80977.0,160245.0,126868.0,74692.0,33376.0,0.0,0.0,21752.0,0.0,2.63,3.94,0.75
6,2007Q3,49933.0,3119.0,1229.0,1577.0,1577.0,278480.0,366813.0,165631.0,111130.0,201182.0,0.0,0.0,50357.0,0.0,3.16,1.34,0.6
7,2007Q4,55208.0,2476.0,1613.0,4810.0,4810.0,134819.0,235800.0,31384.0,28912.0,204415.0,0.0,3454.0,51166.0,0.0,8.71,2.37,1.6
8,2008Q1,51929.0,3819.0,2986.0,2931.0,2931.0,126094.0,239166.0,39254.0,36504.0,199912.0,0.0,3094.0,50039.0,0.0,5.64,1.46,1.23
9,2008Q2,44476.0,3944.0,3271.0,3239.0,3239.0,120174.0,243056.0,45650.0,45649.0,197406.0,0.0,3143.0,49412.0,0.0,7.28,1.63,1.34
10,2008Q3,48314.0,3511.0,3073.0,2666.0,2666.0,110730.0,240700.0,42373.0,42371.0,198327.0,0.0,3416.0,49642.0,0.0,5.52,1.35,1.1
11,2008Q4,43435.0,2887.0,622.0,2248.0,2248.0,101548.0,248604.0,52608.0,52608.0,195996.0,0.0,2620.0,39724.0,0.0,5.17,1.14,0.92
12,2009Q1,32620.0,2328.0,1079.0,1121.0,1121.0,102385.0,250062.0,55653.0,55646.0,194409.0,0.0,2077.0,39403.0,0.0,3.44,0.57,0.45
13,2009Q2,37696.0,3323.0,1970.0,2025.0,2064.0,,,,,,,1892.0,0.0,12.37,5.37,0.53,0.42
14,2009Q3,37071.0,3517.0,2316.0,2503.0,2559.0,,,,,,,1779.0,0.0,15.18,6.75,0.0,0.0
15,2009Q4,46221.0,4951.0,3339.0,3323.0,3402.0,119884.0,264828.0,64071.0,60355.0,200931.0,-174.0,1948.0,42807.0,12.37,7.19,3.39,2.57
16,2010Q1,32663.0,4298.0,3078.0,3116.0,3180.0,122147.0,270053.0,69756.0,67715.0,200360.0,-64.0,1828.0,37407.0,0.0,9.54,1.59,1.19
17,2010Q2,31524.0,3870.0,1978.0,2332.0,2410.0,109125.0,256720.0,54091.0,53256.0,202944.0,-315.0,1868.0,39667.0,8.89,7.4,1.19,0.91
18,2010Q3,34528.0,1692.0,726.0,847.0,921.0,101634.0,249718.0,46255.0,43328.0,203852.0,-389.0,1453.0,38059.0,0.0,2.45,0.45,0.36
19,2010Q4,33799.0,3730.0,255.0,539.0,403.0,120877.0,269115.0,60370.0,58324.0,200799.0,7946.0,1291.0,37489.0,0.0,1.6,0.2,0.16
20,2011Q1,31905.0,2499.0,914.0,82.0,144.0,129700.0,273738.0,65577.0,63542.0,200290.0,7871.0,724.0,37394.0,0.0,0.26,0.07,0.05
21,2011Q2,36381.0,3392.0,1591.0,1675.0,1726.0,126578.0,268360.0,58822.0,56788.0,201718.0,7820.0,596.0,37661.0,0.0,4.6,0.86,0.64
22,2011Q3,38917.0,964.0,-33.0,3713.0,3783.0,114056.0,243570.0,38510.0,36484.0,205508.0,-448.0,1131.0,38368.0,0.0,9.54,1.86,1.48
23,2011Q4,55806.0,1995.0,-760.0,-51.0,1.0,117437.0,246268.0,42282.0,41436.0,204660.0,-675.0,1056.0,38210.0,0.0,-0.09,0.0,0.0
24,2012Q1,29686.0,792.0,-1094.0,-844.0,-784.0,108724.0,236627.0,38360.0,37543.0,199002.0,-735.0,882.0,37154.0,0.0,-2.84,-0.39,-0.32
25,2012Q2,35410.0,393.0,-1508.0,-1586.0,-1345.0,115972.0,243449.0,46768.0,45960.0,197657.0,-976.0,309.0,36902.0,0.0,-4.48,-0.68,-0.56
26,2012Q3,36328.0,187.0,-1415.0,-1167.0,-1079.0,113547.0,238981.0,43466.0,43266.0,196578.0,-1064.0,-599.0,36701.0,0.0,-3.21,-0.55,-0.45
27,2012Q4,32139.0,-2789.0,-3617.0,-3229.0,-3132.0,108591.0,230579.0,38290.0,38290.0,193450.0,-1161.0,-1184.0,36117.0,0.0,-10.05,-1.61,-1.33
28,2013Q1,27154.0,1446.0,179.0,211.0,227.0,104094.0,224463.0,31953.0,31953.0,193686.0,-1177.0,-995.0,36161.0,0.0,0.78,0.12,0.1
29,2013Q2,28627.0,1282.0,28.0,221.0,221.0,97603.0,217836.0,25107.0,25107.0,193906.0,-1177.0,-703.0,36202.0,0.0,0.77,0.11,0.1
30,2013Q3,31894.0,2095.0,388.0,775.0,775.0,104878.0,227372.0,33868.0,33868.0,194680.0,-1177.0,-357.0,36347.0,0.0,2.43,0.4,0.35
31,2013Q4,34094.0,2346.0,1279.0,948.0,955.0,99718.0,217717.0,23265.0,23265.0,195635.0,-1184.0,406.0,36525.0,0.0,2.78,0.49,0.43
32,2014Q1,31819.0,1903.0,244.0,335.0,335.0,101673.0,216003.0,21255.0,19026.0,195932.0,-1184.0,427.0,36580.0,0.0,1.05,0.17,0.15
33,2014Q2,32578.0,2016.0,-644.0,179.0,179.0,103016.0,216679.0,19969.0,19969.0,196710.0,,419.0,36726.0,0.0,0.55,0.09,0.08
34,2014Q3,32316.0,1038.0,-1201.0,-1025.0,-1025.0,100180.0,215760.0,20075.0,20075.0,195685.0,,83.0,36534.0,0.0,-3.17,-0.52,-0.47
35,2014Q4,54142.0,7576.0,3908.0,2294.0,2294.0,105890.0,220057.0,22218.0,20418.0,197838.0,,333.0,36936.0,0.0,4.24,1.17,1.05
36,2015Q1,33560.0,3773.0,1048.0,1048.0,828.0,103645.0,215552.0,16878.0,12872.0,198675.0,,415.0,33973.0,0.0,3.12,0.42,0.38
37,2015Q2,31121.0,3743.0,1071.0,978.0,434.0,109036.0,221347.0,21694.0,17594.0,199653.0,,452.0,34140.0,0.0,3.14,0.22,0.2
38,2015Q3,32693.0,4332.0,376.0,474.0,474.0,107502.0,221126.0,20999.0,20999.0,200127.0,,704.0,34221.0,0.0,1.45,0.24,0.21
39,2015Q4,36515.0,8627.0,3942.0,3824.0,3824.0,119409.0,232368.0,28417.0,21317.0,203950.0,,938.0,33042.0,0.0,10.47,1.89,1.69
40,2016Q1,28052.0,4646.0,529.0,528.0,528.0,113578.0,229102.0,24935.0,16635.0,204167.0,,875.0,33077.0,0.0,1.88,0.26,0.23
41,2016Q2,31844.0,5863.0,2214.0,1993.0,1993.0,114975.0,226367.0,23930.0,22830.0,202436.0,,1119.0,32796.0,0.0,6.26,0.98,0.88
42,2016Q3,29129.0,5091.0,1657.0,1359.0,1359.0,108635.0,221332.0,17688.0,17688.0,203643.0,,1248.0,32992.0,0.0,4.67,0.67,0.61
43,2016Q4,40199.0,6734.0,2457.0,2004.0,2004.0,115021.0,227483.0,21708.0,21708.0,205775.0,,1030.0,35870.0,12.03,4.98,0.98,0.89
44,2017Q1,33425.0,4141.0,740.0,740.0,740.0,124969.0,232187.0,25737.0,25737.0,206451.0,,1063.0,35988.0,16.0,2.21,0.36,0.32
45,2017Q2,31392.0,3107.0,1628.0,1632.0,1632.0,116650.0,226527.0,22879.0,22879.0,203648.0,,1000.0,35499.0,13.51,5.2,0.8,0.71
46,2017Q3,39222.0,5114.0,2186.0,2123.0,2123.0,115206.0,226692.0,20591.0,18830.0,206101.0,,1133.0,35927.0,12.36,5.41,1.04,0.94
47,2017Q4,40456.0,5357.0,1806.0,2053.0,2053.0,114143.0,221229.0,13098.0,11481.0,208131.0,,1141.0,36281.0,13.14,5.08,0.99,0.92
48,2018Q1,35704.0,5676.0,1357.0,1135.0,1135.0,119661.0,226714.0,16694.0,16144.0,210020.0,,1210.0,36610.0,10.82,3.18,0.54,0.5
49,2018Q2,32853.0,3520.0,1228.0,1280.0,1280.0,139722.0,241607.0,35206.0,35206.0,206401.0,,1149.0,35979.0,12.18,3.9,0.61,0.55
50,2018Q3,39602.0,6277.0,1968.0,1964.0,1964.0,130275.0,235660.0,27042.0,27042.0,208618.0,,1121.0,36365.0,11.32,4.96,0.95,0.82
51,2018Q4,48432.0,8701.0,3774.0,2734.0,2734.0,139712.0,251341.0,40033.0,40033.0,211308.0,,1240.0,36834.0,10.08,5.65,1.3,1.12
52,2019Q1,45160.0,7288.0,1260.0,1265.0,1265.0,142604.0,254051.0,41519.0,41519.0,212532.0,,1263.0,37048.0,10.3,2.8,0.6,0.5
53,2019Q2,43715.0,6641.0,2062.0,1555.0,1555.0,141025.0,261395.0,47030.0,47030.0,214366.0,,1311.0,37367.0,10.61,3.56,0.73,0.6
54,2019Q3,57009.0,10211.0,4766.0,4240.0,4240.0,132839.0,250186.0,36137.0,36137.0,214049.0,,1707.0,37312.0,8.26,7.44,1.98,1.66
55,2019Q4,58644.0,9067.0,2127.0,1223.0,1223.0,128589.0,244439.0,29168.0,29168.0,215272.0,,1444.0,37525.0,7.62,2.08,0.57,0.49
56,2020Q1,42776.0,1539.0,-4565.0,-4522.0,-4522.0,135210.0,245347.0,34512.0,34512.0,210835.0,,435.0,36752.0,28.74,-10.57,-2.12,-1.84
