,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2010Q1,15895.0,7141.0,1483.0,1500.0,1500.0,22507.0,57689.0,21916.0,15182.0,35774.0,0.0,526.0,12552.0,0.0,9.44,4.28,2.65
1,2010Q2,14758.0,6845.0,2233.0,2280.0,2280.0,25162.0,59845.0,25246.0,18768.0,34599.0,0.0,1326.0,12140.0,0.0,15.45,6.48,3.88
2,2010Q3,13269.0,6003.0,1472.0,1478.0,1478.0,22273.0,58385.0,22707.0,14813.0,35678.0,0.0,1845.0,12518.0,0.0,11.14,4.21,2.5
3,2011Q3,,,,,,24206.0,62288.0,25046.0,20341.0,37242.0,0.0,0.0,13067.0,0.0,0.0,0.0,0.0
4,2012Q1,24993.0,11567.0,2412.0,2268.0,2268.0,34627.0,71019.0,31590.0,28312.0,39429.0,,828.0,13835.0,20.3,9.07,5.92,3.27
5,2012Q2,25553.0,13080.0,3075.0,2906.0,2906.0,25622.0,61036.0,24242.0,20972.0,36794.0,,1888.0,12910.0,9.53,11.37,7.63,4.4
6,2012Q3,23484.0,11106.0,2071.0,1989.0,1989.0,25071.0,59598.0,21131.0,20215.0,38467.0,,2605.0,13497.0,6.91,8.47,5.29,3.3
7,2012Q4,23209.0,10615.0,1920.0,1852.0,1852.0,27076.0,60477.0,20158.0,19922.0,40319.0,,3244.0,14147.0,5.55,7.98,4.7,3.08
8,2013Q1,28682.0,13020.0,3057.0,2889.0,2889.0,26465.0,58932.0,15724.0,15488.0,43208.0,,3441.0,15161.0,3.72,10.07,6.92,4.84
9,2013Q2,27885.0,13364.0,2543.0,2389.0,2389.0,28386.0,60463.0,19720.0,19484.0,40743.0,,3225.0,14296.0,4.84,8.57,5.69,4.0
10,2013Q3,25902.0,12211.0,2558.0,2425.0,2425.0,27138.0,58477.0,15310.0,15310.0,43167.0,,3352.0,15146.0,7.25,9.36,5.78,4.08
11,2013Q4,27998.0,13423.0,2246.0,2060.0,2060.0,39761.0,69828.0,24601.0,23194.0,45227.0,,3425.0,15869.0,5.84,7.36,4.66,3.21
12,2014Q1,24061.0,11809.0,1559.0,1482.0,1482.0,41581.0,78987.0,32772.0,25610.0,46215.0,,2932.0,16216.0,10.23,6.16,3.24,1.99
13,2014Q2,28494.0,13744.0,2312.0,2193.0,2193.0,36217.0,73442.0,33490.0,26265.0,39952.0,,2863.0,14018.0,6.99,7.7,5.09,2.88
14,2014Q3,44870.0,20837.0,4495.0,4269.0,4269.0,43776.0,84151.0,39929.0,32704.0,44222.0,,3510.0,15516.0,6.98,9.51,10.14,5.42
15,2014Q4,38791.0,16896.0,1668.0,1570.0,1570.0,36621.0,78404.0,32611.0,28942.0,45792.0,,3339.0,16067.0,5.96,4.05,3.49,1.93
16,2015Q1,32739.0,14456.0,1664.0,1575.0,1575.0,38829.0,79768.0,33200.0,29476.0,46567.0,,3371.0,16339.0,7.12,4.81,3.41,1.99
17,2015Q2,38471.0,16244.0,2034.0,1933.0,1933.0,39246.0,82714.0,42645.0,35492.0,40069.0,,3280.0,14059.0,5.64,5.03,4.46,2.38
18,2015Q3,48954.0,21578.0,5985.0,5613.0,5613.0,45944.0,93980.0,48298.0,39980.0,45682.0,,3751.0,16029.0,5.84,11.47,13.09,6.35
19,2015Q4,42050.0,17219.0,3272.0,3117.0,3117.0,40432.0,90263.0,41465.0,34598.0,48798.0,,4294.0,17122.0,6.75,7.41,6.6,3.38
20,2016Q1,37846.0,14790.0,3568.0,3340.0,3340.0,34032.0,85593.0,34431.0,27744.0,51161.0,,4913.0,17951.0,5.6,8.82,6.68,3.8
21,2016Q2,42171.0,15768.0,3250.0,3087.0,3087.0,39245.0,91536.0,47789.0,42567.0,43747.0,,5318.0,15350.0,6.37,7.32,6.5,3.49
22,2016Q3,47043.0,19338.0,4857.0,4605.0,4605.0,41128.0,92329.0,43978.0,43203.0,48352.0,,4964.0,16965.0,6.77,9.79,10.0,5.01
23,2016Q4,39329.0,15728.0,1747.0,1610.0,1610.0,34081.0,84338.0,34377.0,34377.0,49961.0,,4435.0,17530.0,6.99,4.09,3.28,1.82
24,2017Q1,35688.0,14085.0,3168.0,3005.0,3005.0,37486.0,87596.0,35626.0,35626.0,51970.0,,4318.0,18235.0,6.9,8.42,5.9,3.5
25,2017Q2,36997.0,14886.0,3310.0,2955.0,2955.0,37051.0,89153.0,44698.0,42581.0,44454.0,,4272.0,15598.0,6.48,7.99,6.13,3.34
26,2017Q3,39644.0,17120.0,3393.0,3203.0,3203.0,37569.0,93883.0,46295.0,39945.0,47589.0,,3780.0,16698.0,7.12,8.08,6.96,3.5
27,2017Q4,35168.0,14793.0,3061.0,2895.0,2895.0,34378.0,88535.0,38051.0,33713.0,50484.0,,4231.0,17714.0,6.62,8.23,5.9,3.17
28,2018Q1,35606.0,15425.0,3123.0,2513.0,2513.0,39002.0,94900.0,53383.0,49046.0,41517.0,,4058.0,14567.0,6.21,7.06,5.46,2.74
29,2018Q2,34313.0,14095.0,3166.0,2707.0,2707.0,35118.0,89640.0,45416.0,41891.0,44224.0,,3972.0,15517.0,4.66,7.89,6.31,2.93
30,2018Q3,38346.0,15087.0,1761.0,1643.0,1643.0,35583.0,88196.0,42329.0,38322.0,45867.0,,3424.0,16094.0,5.84,4.29,3.65,1.85
31,2018Q4,36321.0,17628.0,4226.0,3926.0,3926.0,35026.0,85954.0,39026.0,35671.0,46928.0,,3786.0,16466.0,5.07,10.81,8.46,4.51
32,2019Q1,34126.0,15665.0,2263.0,2133.0,2133.0,42046.0,95158.0,46097.0,42641.0,49061.0,,3653.0,17214.0,5.86,6.25,4.44,2.36
33,2019Q2,33803.0,14974.0,2355.0,2088.0,2088.0,45151.0,96817.0,52350.0,49606.0,44467.0,,3435.0,15603.0,5.68,6.18,4.47,2.18
34,2019Q3,36745.0,17432.0,3246.0,2749.0,2749.0,40312.0,91171.0,43955.0,40331.0,47215.0,,3823.0,16567.0,5.18,7.48,6.0,2.92
35,2019Q4,34501.0,16313.0,2150.0,2116.0,2116.0,43263.0,92498.0,43166.0,40113.0,49331.0,,3188.0,17309.0,5.65,6.13,4.38,2.3
36,2020Q1,31040.0,13936.0,1162.0,1139.0,1139.0,42354.0,92803.0,42333.0,36257.0,50471.0,,2839.0,17709.0,6.16,3.67,2.28,1.23
37,2020Q2,33637.0,15735.0,1915.0,1696.0,1696.0,45867.0,95911.0,50653.0,45759.0,45257.0,,2701.0,15880.0,7.33,5.04,3.54,1.8
38,2020Q3,45350.0,21464.0,2978.0,2771.0,2771.0,45023.0,96370.0,48341.0,42884.0,48028.0,,2709.0,16852.0,6.27,6.11,5.94,2.88
39,2020Q4,43511.0,19455.0,2090.0,2015.0,2015.0,46451.0,95733.0,45690.0,41143.0,50043.0,,2674.0,17559.0,7.37,4.63,4.11,2.1
40,2021Q1,39162.0,18724.0,2129.0,1889.0,1889.0,41380.0,90594.0,38663.0,34018.0,51932.0,,2937.0,18222.0,8.21,4.82,3.7,2.03
41,2021Q2,42692.0,19262.0,2384.0,2113.0,2113.0,46282.0,93460.0,46178.0,42329.0,47282.0,,3083.0,16590.0,6.23,4.95,4.26,2.3
42,2021Q3,36460.0,14287.0,1776.0,1557.0,1557.0,36727.0,81966.0,33127.0,29180.0,48839.0,,2657.0,17137.0,9.33,4.27,3.24,1.78
43,2021Q4,39490.0,18521.0,1759.0,1521.0,1521.0,41961.0,85504.0,35144.0,31517.0,50360.0,,2484.0,17670.0,9.66,3.85,3.07,1.82
44,2022Q1,35881.0,16421.0,2101.0,1915.0,1915.0,39166.0,80786.0,28512.0,24786.0,52275.0,,2493.0,18342.0,10.11,5.34,3.73,2.3
45,2022Q2,44746.0,21375.0,2617.0,2285.0,2285.0,40189.0,81515.0,33663.0,30256.0,47852.0,,2554.0,16790.0,10.34,5.11,4.56,2.82
