,Quý,DT từ KD chứng khoán (MilVND),Lợi nhuận gộp(MilVND),LNT từ KD chứng khoán(MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Các khoản cho vay(MilVND),Tổng tài sản(MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của cổ đông thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2009Q1,3573.0,-850.0,-4212.0,-3766.0,-3766.0,304123.0,,323283.0,115003.0,115003.0,208279.0,0.0,-145.0,8011.0,0.0,-105.41,15.27,9.84
1,2009Q2,14790.0,6972.0,4026.0,5047.0,5047.0,355286.0,,373251.0,159924.0,159924.0,213326.0,0.0,49.0,8205.0,0.0,34.12,14.91,8.52
2,2009Q3,21908.0,11498.0,8298.0,8652.0,8652.0,433574.0,,476651.0,253870.0,253870.0,222782.0,0.0,382.0,8569.0,0.0,39.49,14.27,6.67
3,2010Q1,31583.0,11939.0,8869.0,9718.0,9718.0,619325.0,,649832.0,418063.0,418063.0,231770.0,0.0,3903.0,38628.0,0.0,30.77,13.72,4.89
4,2010Q2,59219.0,42414.0,35558.0,36204.0,36204.0,1002772.0,,1035607.0,768860.0,768860.0,266748.0,0.0,2099.0,10260.0,8.67,61.14,11.92,3.07
5,2010Q3,18318.0,12596.0,7846.0,8272.0,8272.0,1189311.0,,1216810.0,798921.0,798921.0,417889.0,0.0,2057.0,10715.0,6.85,45.16,7.61,2.61
6,2010Q4,56561.0,-11495.0,-17653.0,-16574.0,-16574.0,1220467.0,,1248167.0,846852.0,846852.0,401315.0,0.0,1214.0,10290.0,10.13,-29.3,11.42,3.63
7,2011Q1,28679.0,5253.0,601.0,1604.0,1604.0,888895.0,,916699.0,515299.0,514693.0,401400.0,0.0,897.0,10292.0,8.48,5.59,7.94,2.67
8,2011Q2,52758.0,-16565.0,-19185.0,-18524.0,-18524.0,693586.0,,721924.0,339048.0,338861.0,382876.0,0.0,-704.0,9817.0,-6.81,-35.11,-6.29,-2.46
9,2011Q3,11340.0,4055.0,854.0,1362.0,1362.0,540282.0,,561442.0,173459.0,173459.0,387983.0,0.0,-824.0,9948.0,-5.95,12.01,-8.17,-3.73
10,2011Q4,7083.0,-53075.0,-56394.0,-56085.0,-56085.0,405335.0,,429282.0,97399.0,96588.0,331883.0,0.0,-1837.0,8510.0,-1.09,-791.8,-19.05,-10.9
11,2012Q1,11552.0,6493.0,3977.0,4849.0,4849.0,411274.0,,430286.0,114987.0,114987.0,315299.0,0.0,-1754.0,8085.0,-2.79,41.98,-19.29,-12.77
12,2012Q2,9643.0,5972.0,3719.0,6276.0,6276.0,368791.0,,387438.0,65863.0,65863.0,321574.0,0.0,-1118.0,8245.0,-3.31,65.08,-12.85,-9.64
13,2012Q3,4513.0,1234.0,-673.0,250.0,250.0,354551.0,,374996.0,52298.0,52298.0,322698.0,0.0,-1146.0,8274.0,-2.79,5.53,-13.85,-11.03
14,2012Q4,4246.0,179.0,-2475.0,-1893.0,-1893.0,364089.0,,384828.0,64022.0,64022.0,320806.0,,243.0,8226.0,14.4,-44.57,2.96,2.4
15,2013Q1,5681.0,2744.0,594.0,1353.0,1353.0,376932.0,,398111.0,72135.0,72135.0,325977.0,,153.0,8358.0,22.8,23.82,1.85,1.55
16,2013Q2,5739.0,3507.0,1178.0,1998.0,1998.0,371650.0,,392610.0,64635.0,64635.0,327975.0,,44.0,8410.0,75.33,34.82,0.53,0.44
17,2013Q3,4152.0,1509.0,-258.0,696.0,696.0,369818.0,,390585.0,61386.0,61326.0,329199.0,,55.0,8441.0,56.11,16.76,0.66,0.55
18,2013Q4,24090.0,16049.0,7354.0,11108.0,11108.0,383924.0,,404472.0,68741.0,68741.0,335732.0,,389.0,8609.0,10.29,46.11,4.6,3.82
19,2014Q1,11953.0,8032.0,6429.0,7193.0,7193.0,388912.0,,409963.0,66457.0,66457.0,343506.0,,538.0,8808.0,15.6,60.18,6.28,5.26
20,2014Q2,8321.0,3769.0,1667.0,2403.0,2403.0,396783.0,,418525.0,72616.0,72616.0,345909.0,,549.0,8869.0,10.39,28.88,6.32,5.27
21,2014Q3,9558.0,5791.0,3794.0,4643.0,4643.0,416830.0,,438536.0,87357.0,87357.0,351180.0,,650.0,9005.0,9.69,48.58,7.37,6.07
22,2014Q4,15481.0,7833.0,5033.0,4947.0,4947.0,424804.0,,447883.0,91757.0,91757.0,356126.0,,492.0,9131.0,10.16,31.95,5.49,4.48
23,2015Q1,7680.0,3075.0,1093.0,1107.0,1107.0,380598.0,,402940.0,47430.0,47430.0,355510.0,,336.0,9116.0,12.8,14.42,3.72,3.07
24,2015Q2,16105.0,6168.0,2609.0,2610.0,2610.0,426575.0,,448459.0,90339.0,90339.0,358120.0,,341.0,9183.0,12.6,16.21,3.75,3.06
25,2015Q3,8378.0,2937.0,158.0,163.0,163.0,398655.0,,420310.0,62027.0,62027.0,358284.0,,226.0,9187.0,13.7,1.95,2.47,2.05
26,2015Q4,11101.0,5191.0,2534.0,2534.0,2534.0,456358.0,,477248.0,116430.0,116430.0,360818.0,,164.0,9252.0,18.24,22.83,1.79,1.47
27,2016Q1,8205.0,2329.0,-725.0,-3582.0,-3582.0,377001.0,146405.0,393409.0,36032.0,36032.0,357377.0,,44.0,9164.0,65.55,-43.66,0.48,0.4
28,2016Q2,23858.0,7283.0,4333.0,4354.0,4354.0,433662.0,161074.0,446105.0,84374.0,84374.0,361731.0,,89.0,9275.0,31.47,18.25,0.97,0.8
29,2016Q3,6818.0,2552.0,56.0,81.0,81.0,356775.0,122241.0,369541.0,7729.0,7729.0,361812.0,,87.0,9137.0,29.93,1.19,0.94,0.8
30,2016Q4,10589.0,4570.0,1315.0,1337.0,1337.0,359053.0,147684.0,371424.0,8270.0,8270.0,363153.0,,56.0,9312.0,40.96,12.63,0.61,0.55
