,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2019Q3,115269.0,7068.0,5413.0,4605.0,4563.0,,,,,,,0.0,0.0,0.0,4.0,0.0,0.0
1,2019Q4,56326.0,10566.0,8105.0,7252.0,7210.0,288820.0,408616.0,51241.0,44876.0,357375.0,,368.0,11168.0,0.0,12.88,4.03,3.53
2,2020Q3,66570.0,9395.0,5917.0,4733.0,4698.0,288980.0,422973.0,54927.0,46925.0,368047.0,,372.0,11501.0,0.0,7.11,2.55,2.22
3,2020Q4,86496.0,9481.0,8364.0,8764.0,8666.0,326683.0,450714.0,73894.0,67773.0,376820.0,,418.0,11776.0,31.61,10.13,2.33,1.98
4,2021Q1,91398.0,9808.0,6889.0,5874.0,5774.0,327223.0,450298.0,66896.0,60827.0,383402.0,,598.0,11981.0,19.56,6.43,1.52,1.28
5,2021Q2,79006.0,8792.0,5397.0,4577.0,4508.0,326721.0,448294.0,60314.0,54987.0,387979.0,,739.0,12124.0,14.82,5.79,1.17,1.0
6,2021Q3,111114.0,8586.0,5908.0,4198.0,4154.0,349143.0,469246.0,77167.0,71996.0,392079.0,,722.0,12252.0,14.13,3.78,1.07,0.91
7,2021Q4,85215.0,12009.0,9762.0,7944.0,7944.0,327249.0,460885.0,60860.0,57772.0,400025.0,,699.0,12501.0,18.59,9.32,2.01,1.71
8,2022Q1,77932.0,8111.0,6130.0,4998.0,4510.0,949748.0,1083783.0,233353.0,229853.0,850430.0,,655.0,13717.0,17.1,6.41,0.72,0.58
9,2022Q2,99604.0,14742.0,12371.0,10013.0,9984.0,781513.0,915534.0,55959.0,54821.0,859575.0,,670.0,13864.0,8.16,10.05,1.17,1.0
