,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
4,2009Q4,54711.0,18078.0,11586.0,9502.0,9388.0,136412.0,337991.0,85034.0,38722.0,251710.0,1247.0,3161.0,28603.0,0.0,17.37,7.46,5.55
5,2010Q1,58372.0,19501.0,9166.0,6981.0,6868.0,148168.0,351964.0,102352.0,54490.0,248401.0,1210.0,3440.0,28227.0,0.0,11.96,2.75,1.99
6,2010Q2,70219.0,19763.0,10985.0,8530.0,8400.0,131998.0,344194.0,90533.0,43778.0,252509.0,1152.0,3689.0,28662.0,10.3,12.15,3.35,2.41
7,2010Q3,72880.0,20817.0,11716.0,8703.0,8578.0,129257.0,338039.0,82336.0,40932.0,254530.0,1174.0,3777.0,28924.0,8.37,11.94,3.38,2.51
8,2010Q4,70830.0,21963.0,11200.0,8999.0,8868.0,131867.0,336975.0,72403.0,35768.0,263267.0,1304.0,3718.0,29917.0,7.29,12.7,3.43,2.63
9,2011Q1,82477.0,25594.0,8825.0,6734.0,6591.0,128094.0,332390.0,71834.0,36025.0,259399.0,1157.0,3686.0,29477.0,6.19,8.16,2.52,1.97
10,2011Q2,73303.0,24706.0,11307.0,8726.0,8578.0,129954.0,329949.0,75612.0,42172.0,253032.0,1305.0,3706.0,28754.0,5.37,11.9,3.35,2.59
11,2011Q3,71501.0,23941.0,12458.0,9442.0,9292.0,136800.0,337811.0,82928.0,50113.0,253429.0,1455.0,3787.0,28799.0,5.33,13.21,3.67,2.78
12,2011Q4,83853.0,26155.0,12305.0,9481.0,9271.0,158833.0,346930.0,82761.0,52266.0,262560.0,1609.0,3833.0,29836.0,4.44,11.31,3.59,2.71
13,2012Q1,83899.0,24203.0,11949.0,9383.0,9229.0,159929.0,346219.0,85655.0,55784.0,259394.0,1171.0,4133.0,29477.0,5.3,11.18,3.54,2.66
14,2012Q2,82423.0,24460.0,11200.0,8495.0,8355.0,160037.0,343280.0,84889.0,56664.0,257079.0,1312.0,4108.0,29214.0,5.36,10.31,3.24,2.42
15,2012Q3,73366.0,22582.0,11460.0,8352.0,8272.0,156820.0,343462.0,85467.0,58474.0,256603.0,1392.0,3992.0,29159.0,5.51,11.38,3.22,2.41
16,2012Q4,85489.0,23928.0,12328.0,9692.0,9582.0,130751.0,346468.0,74844.0,50273.0,270272.0,1352.0,4027.0,30713.0,5.26,11.34,3.64,2.78
17,2013Q1,83587.0,21505.0,8493.0,6255.0,6255.0,127105.0,341856.0,80189.0,56630.0,260325.0,1342.0,3521.0,24559.0,7.27,7.48,2.36,1.82
18,2013Q2,81998.0,23035.0,19374.0,15378.0,15305.0,156712.0,370363.0,102052.0,80141.0,267217.0,1095.0,4078.0,25209.0,6.13,18.75,5.8,4.3
19,2013Q3,83085.0,21624.0,11779.0,8916.0,8793.0,145264.0,358122.0,91664.0,70659.0,265239.0,1218.0,3942.0,25023.0,6.9,10.73,3.3,2.41
20,2013Q4,89696.0,30436.0,20594.0,16918.0,16640.0,138960.0,353288.0,82120.0,60269.0,269671.0,1496.0,4433.0,25441.0,6.65,18.86,6.22,4.68
21,2014Q1,77441.0,24173.0,10127.0,7843.0,7786.0,136292.0,347855.0,77502.0,55092.0,269265.0,1088.0,4578.0,25402.0,7.47,10.13,2.89,2.22
22,2014Q2,88977.0,23515.0,10634.0,8651.0,8625.0,142147.0,353680.0,85438.0,63099.0,267128.0,1114.0,3948.0,25201.0,8.74,9.72,3.22,2.46
23,2014Q3,76396.0,23153.0,11687.0,9394.0,9243.0,112975.0,344469.0,77568.0,57735.0,265636.0,1266.0,3990.0,25060.0,9.4,12.3,3.47,2.65
24,2014Q4,86427.0,23973.0,15427.0,12809.0,12658.0,110451.0,341656.0,70624.0,48213.0,269615.0,1417.0,3614.0,25435.0,10.51,14.82,4.73,3.69
25,2015Q1,71997.0,22611.0,9332.0,7417.0,7318.0,126252.0,356324.0,85021.0,64703.0,271303.0,0.0,3570.0,25595.0,11.48,10.3,2.71,2.1
26,2015Q2,92971.0,21254.0,9265.0,17366.0,17262.0,147434.0,366127.0,85019.0,66414.0,281108.0,,4385.0,26520.0,8.32,18.68,6.25,4.78
27,2015Q3,80129.0,21720.0,9523.0,7578.0,7472.0,149488.0,371866.0,91801.0,61668.0,280065.0,,4218.0,26421.0,7.82,9.46,2.66,2.02
28,2015Q4,88765.0,23155.0,9238.0,5917.0,5814.0,125528.0,373666.0,87829.0,52968.0,285838.0,,3572.0,26966.0,11.73,6.67,2.05,1.56
29,2016Q1,89284.0,22936.0,8485.0,6741.0,6656.0,132158.0,398990.0,113947.0,70283.0,285043.0,,3510.0,26891.0,11.82,7.55,2.33,1.72
30,2016Q2,106499.0,23802.0,14430.0,11877.0,11786.0,112837.0,381360.0,102594.0,58418.0,278766.0,,2993.0,26299.0,12.7,11.15,4.18,3.02
31,2016Q3,82814.0,22991.0,8933.0,7220.0,7130.0,103999.0,389790.0,103939.0,59315.0,285851.0,,2961.0,26967.0,12.18,8.72,2.53,1.85
32,2016Q4,87111.0,24444.0,6086.0,5299.0,5208.0,94568.0,418488.0,127472.0,56352.0,291015.0,,2904.0,27455.0,11.86,6.08,1.81,1.29
33,2017Q1,94278.0,26354.0,9743.0,7890.0,7890.0,110554.0,424643.0,131242.0,60840.0,293401.0,,3020.0,27680.0,13.58,8.37,2.7,1.87
34,2017Q2,91132.0,26538.0,12013.0,9428.0,9428.0,123154.0,434835.0,132141.0,60018.0,302694.0,,2798.0,28557.0,14.26,10.35,3.16,2.19
35,2017Q3,72102.0,25768.0,9357.0,7478.0,7478.0,140437.0,477383.0,186426.0,89427.0,290957.0,,2831.0,27449.0,14.06,10.37,2.52,1.64
36,2017Q4,99871.0,38339.0,17206.0,13727.0,13727.0,124619.0,458489.0,147724.0,57334.0,310765.0,,3431.0,23020.0,9.7,13.74,4.56,2.93
37,2018Q1,95004.0,33654.0,14186.0,11425.0,11425.0,136591.0,467761.0,151544.0,63460.0,316217.0,,3535.0,23423.0,10.18,12.03,3.64,2.47
38,2018Q2,87725.0,29880.0,17211.0,14105.0,14105.0,151796.0,478946.0,148759.0,58981.0,330187.0,,3702.0,24458.0,9.28,16.08,4.36,2.98
39,2018Q3,81669.0,30436.0,11086.0,10624.0,10624.0,167569.0,489504.0,148828.0,58885.0,340676.0,,3730.0,25235.0,9.29,13.01,3.17,2.19
40,2018Q4,89463.0,33536.0,19374.0,16502.0,16502.0,139135.0,490749.0,156656.0,64938.0,334093.0,,3900.0,24748.0,8.5,18.45,4.89,3.37
41,2019Q1,88554.0,34948.0,15623.0,12766.0,12766.0,145222.0,492616.0,154492.0,64622.0,338124.0,,4000.0,25046.0,9.73,14.42,3.8,2.6
42,2019Q2,74695.0,33363.0,20953.0,17429.0,17429.0,137795.0,509455.0,154053.0,63492.0,355402.0,,4246.0,26326.0,8.67,23.33,5.03,3.48
43,2019Q3,63426.0,30587.0,12621.0,10249.0,10302.0,150272.0,541443.0,178041.0,73573.0,363402.0,,4222.0,26919.0,8.79,16.16,2.87,1.96
44,2019Q4,92245.0,33390.0,16213.0,13153.0,13180.0,143722.0,535644.0,169930.0,65238.0,365714.0,,3976.0,27090.0,9.72,14.26,3.62,2.45
45,2020Q1,60502.0,26470.0,10634.0,8474.0,8500.0,135766.0,534035.0,164781.0,63967.0,369254.0,,3660.0,27352.0,9.54,14.01,2.31,1.59
46,2020Q2,40980.0,13846.0,6809.0,5405.0,5385.0,122295.0,533675.0,159016.0,58025.0,374658.0,,2768.0,27752.0,12.79,13.19,1.45,1.01
47,2020Q3,26376.0,12224.0,919.0,1224.0,1115.0,88802.0,503263.0,140880.0,40945.0,362382.0,,2087.0,26843.0,16.05,4.64,0.3,0.22
48,2020Q4,39333.0,13454.0,-3636.0,1728.0,1609.0,84138.0,495066.0,131109.0,30602.0,363957.0,,1230.0,26960.0,41.45,4.39,0.44,0.32
49,2021Q1,28238.0,12476.0,2494.0,2074.0,1979.0,89297.0,490618.0,124587.0,30489.0,366031.0,,747.0,27113.0,70.93,7.34,0.54,0.4
50,2021Q2,34704.0,14941.0,3923.0,3595.0,3572.0,89515.0,486629.0,118431.0,23604.0,368197.0,,613.0,0.0,82.22,10.36,0.97,0.73
51,2021Q3,15145.0,4145.0,-1947.0,-1360.0,-1393.0,95816.0,483211.0,116374.0,22983.0,366837.0,,427.0,27173.0,117.02,-8.98,-0.38,-0.29
52,2021Q4,25166.0,10307.0,481.0,571.0,502.0,88124.0,463013.0,105055.0,14545.0,357958.0,,345.0,26515.0,129.34,2.27,0.14,0.11
53,2022Q1,26763.0,11812.0,2496.0,2033.0,2020.0,93119.0,462460.0,102470.0,17508.0,359991.0,,348.0,26666.0,140.71,7.59,0.56,0.44
54,2022Q2,37775.0,20339.0,7078.0,5248.0,5350.0,106969.0,473944.0,108796.0,23066.0,365148.0,,480.0,27048.0,97.94,13.89,1.48,1.14
