Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,CDC,CDC,CDC,CDC,CDC,CDC,CDC,CDC,CDC,CDC,CDC,CDC
date,,,,,,,,,,,,
2007-11-01,29.6,0.0,0.0,294.0,298.0,250.0,251.0,10064600000,0,35600,0,35600
2007-11-02,25.62,-28.2,-9.98,254.5,310.9,254.5,310.9,7830610000,0,29500,0,29500
2007-11-05,24.05,-26.5,-9.98,238.9,240.5,238.9,240.5,503290000,0,2100,0,2100
2007-11-06,21.73,-23.9,-9.97,215.8,215.8,215.8,215.8,647400000,2158000000,3000,10000,13000
2007-11-07,19.73,-19.8,-9.18,196.0,218.0,194.3,194.3,24829870000,0,125000,0,125000
2007-11-08,18.63,-13.6,-6.85,185.0,210.0,180.0,200.0,9383090000,0,48400,0,48400
2007-11-09,18.63,-8.9,-4.59,185.0,188.0,178.1,186.0,3429260000,0,18700,0,18700
2007-11-12,17.12,-13.4,-7.31,170.0,183.5,170.0,180.0,4497020000,0,25600,0,25600
2007-11-13,15.93,-17.5,-9.96,158.2,164.5,158.2,164.5,2290140000,0,14400,0,14400
2007-11-14,16.71,7.0,4.4,166.0,174.9,143.1,143.1,13365770000,0,81000,0,81000
2007-11-15,15.1,-15.0,-9.09,150.0,170.0,148.5,170.0,3640410000,0,24000,0,24000
2007-11-16,15.4,1.3,0.86,153.0,153.0,147.0,150.0,5701210000,2068000000,38100,12400,50500
2007-11-19,16.56,14.9,9.96,164.5,164.5,152.0,152.1,3760240000,0,23500,0,23500
2007-11-20,16.81,7.0,4.38,167.0,176.0,163.1,176.0,10327970000,0,61300,0,61300
2007-11-21,16.46,-5.0,-2.97,163.5,178.0,158.1,168.6,5276390000,0,32400,0,32400
2007-11-22,16.21,-1.9,-1.17,161.0,168.0,160.0,166.9,3837850000,0,23700,0,23700
2007-11-23,16.11,-1.9,-1.17,160.0,162.0,158.5,162.0,1682550000,0,10500,0,10500
2007-11-26,16.41,2.8,1.75,163.0,163.5,160.0,161.0,3867050000,870000000,23900,6000,29900
2007-11-27,16.21,-0.8,-0.49,161.0,168.0,159.2,162.0,3482320000,0,21300,0,21300
2007-11-28,16.11,-3.5,-2.14,160.0,165.0,159.0,165.0,4586520000,0,28500,0,28500
2007-11-29,16.07,-1.3,-0.81,159.6,161.0,159.1,161.0,2161810000,0,13500,0,13500
2007-11-30,15.93,-1.9,-1.19,158.2,160.0,153.1,160.0,3176250000,0,20200,0,20200
2007-12-03,16.17,3.4,2.16,160.6,161.0,159.8,160.0,3197560000,0,19900,0,19900
2007-12-04,16.21,0.3,0.19,161.0,166.0,152.0,166.0,3118260000,0,19300,0,19300
2007-12-05,16.11,-1.6,-0.99,160.0,161.0,158.0,160.5,3087020000,0,19300,0,19300
2007-12-06,15.86,-2.4,-1.5,157.5,160.0,156.0,160.0,1886610000,0,12000,0,12000
2007-12-07,15.74,-0.9,-0.57,156.3,163.0,153.0,163.0,2995940000,0,19200,0,19200
2007-12-10,15.6,-1.1,-0.71,154.9,158.0,153.0,158.0,5037070000,0,32600,0,32600
2007-12-11,15.1,-4.5,-2.91,150.0,152.0,149.0,151.0,3023250000,0,20100,0,20100
2007-12-12,15.0,-1.4,-0.93,149.0,150.5,147.0,150.0,5768810000,0,38700,0,38700
2007-12-13,14.3,-7.1,-4.76,142.0,148.0,142.0,148.0,1636970000,0,11400,0,11400
2007-12-14,14.6,1.4,0.97,145.0,146.0,143.6,143.6,2886090000,0,20000,0,20000
2007-12-17,13.49,-10.3,-7.14,134.0,144.5,134.0,144.5,1680150000,0,12200,0,12200
2007-12-18,13.54,-3.2,-2.32,134.5,134.8,128.0,134.2,1761720000,0,13300,0,13300
2007-12-19,14.67,13.2,9.96,145.7,145.7,139.5,140.0,2195370000,0,15200,0,15200
2007-12-20,13.54,-9.9,-6.86,134.5,145.0,134.5,145.0,749700000,0,5400,0,5400
2007-12-21,14.25,2.7,1.95,141.5,150.0,140.0,150.0,1572700000,0,11000,0,11000
2007-12-24,13.99,-4.0,-2.8,139.0,148.9,139.0,148.9,2215720000,0,15700,0,15700
2007-12-25,13.99,-2.1,-1.49,139.0,139.2,138.2,139.2,1486040000,0,10700,0,10700
2007-12-26,14.1,1.1,0.79,140.0,146.0,139.0,146.0,755480000,0,5300,0,5300
2007-12-27,14.1,-2.5,-1.75,140.0,149.9,138.0,149.9,2312560000,0,16400,0,16400
2007-12-28,14.5,3.0,2.13,144.0,144.0,140.0,140.2,2054980000,0,14600,0,14600
2008-01-02,13.99,-1.8,-1.28,139.0,140.0,139.0,140.0,69700000,0,500,0,500
2008-01-03,13.79,-2.4,-1.72,137.0,139.3,135.8,135.8,1931220000,0,14000,0,14000
2008-01-04,13.79,-0.9,-0.65,137.0,142.0,135.0,142.0,518790000,0,3800,0,3800
2008-01-07,12.89,-8.5,-6.23,128.0,139.0,125.1,139.0,914760000,0,7200,0,7200
2008-01-08,12.89,0.9,0.71,128.0,132.0,127.0,127.0,879700000,0,6800,0,6800
2008-01-09,12.53,-4.9,-3.79,124.5,128.5,124.0,128.5,874580000,0,7000,0,7000
2008-01-10,12.48,-0.9,-0.72,124.0,124.0,115.0,123.2,2013330000,0,17100,0,17100
2008-01-11,11.98,1.3,1.1,119.0,123.2,118.0,120.0,2288340000,0,18800,0,18800
2008-01-14,11.33,-9.2,-7.56,112.5,116.5,112.5,116.5,1142570000,0,10000,0,10000
2008-01-15,10.36,-11.4,-9.97,102.9,112.0,102.9,105.5,1968290000,0,19000,0,19000
2008-01-16,11.47,10.3,9.94,113.9,113.9,108.5,113.9,3007890000,0,26500,0,26500
2008-01-17,11.68,2.5,2.2,116.0,124.0,109.0,114.0,3860780000,0,34000,0,34000
2008-01-18,11.58,1.4,1.23,115.0,120.0,107.0,107.0,1767400000,0,15200,0,15200
2008-01-21,12.79,10.7,9.2,127.0,127.9,117.1,120.0,9941360000,0,80500,0,80500
2008-01-22,13.08,6.4,5.18,129.9,135.8,123.0,135.0,10554050000,0,82500,0,82500
2008-01-23,12.74,-1.4,-1.09,126.5,140.6,117.0,140.0,8273790000,0,67800,0,67800
