,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2014Q3,93593.0,36282.0,26190.0,19645.0,18655.0,494795.0,941429.0,449327.0,163018.0,433758.0,58344.0,544.0,12642.0,30.35,20.99,8.6,3.96
1,2014Q4,254787.0,121236.0,99770.0,72377.0,52323.0,753516.0,1392932.0,847554.0,274283.0,466346.0,79032.0,2069.0,13591.0,5.61,28.41,11.63,4.48
2,2015Q1,173919.0,81549.0,71762.0,56051.0,37145.0,1026424.0,1679646.0,719688.0,206450.0,959958.0,0.0,2692.0,13989.0,4.79,32.23,5.21,2.42
3,2015Q2,125303.0,49699.0,38131.0,28427.0,28364.0,926677.0,1731549.0,780546.0,138887.0,951003.0,,2752.0,13858.0,4.58,22.69,2.97,1.66
4,2015Q3,46301.0,25506.0,14336.0,10655.0,9943.0,885126.0,2042085.0,1057986.0,289122.0,984099.0,0.0,2338.0,14340.0,7.14,23.01,1.03,0.53
5,2015Q4,348725.0,176608.0,154685.0,119766.0,74998.0,1290743.0,2667258.0,1568843.0,596749.0,1098415.0,,2359.0,16006.0,6.61,34.34,7.2,3.19
6,2016Q1,247353.0,89270.0,49200.0,38649.0,21741.0,1419923.0,2777327.0,1787296.0,864203.0,990031.0,,1968.0,14427.0,6.15,15.63,2.08,0.81
7,2016Q2,357598.0,111110.0,59379.0,46916.0,30314.0,1789696.0,3096968.0,1705711.0,803622.0,1391257.0,,1810.0,13516.0,5.53,13.12,2.55,1.03
8,2016Q3,310428.0,138419.0,89085.0,70890.0,47599.0,2051848.0,3391714.0,1908018.0,975758.0,1483696.0,,2066.0,14414.0,4.84,22.84,3.31,1.47
9,2016Q4,474394.0,158059.0,101885.0,71892.0,59844.0,2083410.0,3845534.0,2280184.0,1219425.0,1565350.0,,1706.0,15207.0,7.33,15.15,3.93,1.65
10,2017Q1,345408.0,151653.0,67107.0,55320.0,35969.0,2284025.0,4048746.0,2613416.0,1447604.0,1435330.0,,1710.0,13944.0,6.96,16.02,2.4,0.91
11,2017Q2,211126.0,42537.0,80253.0,61179.0,34004.0,2477933.0,4175921.0,2605999.0,1428550.0,1569922.0,,1724.0,15251.0,6.67,28.98,2.26,0.83
12,2017Q3,480060.0,152875.0,72780.0,57533.0,33656.0,3444371.0,5174714.0,3005332.0,1742071.0,2169382.0,,1454.0,14050.0,6.94,11.98,1.8,0.72
13,2017Q4,595610.0,262668.0,169493.0,139952.0,77427.0,3485258.0,5652264.0,3414037.0,2326823.0,2238227.0,,1439.0,14496.0,7.23,23.5,3.51,1.43
14,2018Q1,417254.0,184694.0,90427.0,77694.0,49527.0,4189734.0,6409774.0,4121101.0,3037548.0,2288672.0,,1411.0,14823.0,9.92,18.62,2.19,0.82
15,2018Q2,596579.0,217386.0,109115.0,92243.0,48971.0,5115398.0,7408884.0,5080579.0,4143295.0,2328306.0,,1391.0,15079.0,9.49,15.46,2.12,0.71
16,2018Q3,519757.0,191061.0,114352.0,87261.0,56534.0,5356842.0,7814211.0,5404922.0,4418762.0,2409289.0,,1506.0,15604.0,9.3,16.79,2.39,0.74
