,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2006Q4,62845.0,6453.0,3318.0,3648.0,3648.0,74684.0,95509.0,70102.0,70082.0,25407.0,0.0,1824.0,12704.0,24.78,5.81,28.72,7.64
1,2007Q1,25356.0,3178.0,1673.0,1728.0,1728.0,62197.0,81439.0,54869.0,50794.0,26570.0,0.0,2688.0,13285.0,20.98,6.81,6.72,1.96
2,2007Q2,26778.0,3760.0,1410.0,1779.0,1779.0,87088.0,107224.0,81782.0,77708.0,25442.0,0.0,3578.0,12721.0,10.06,6.64,6.84,1.89
3,2007Q3,44556.0,7365.0,1629.0,1791.0,1791.0,120427.0,139912.0,112679.0,105699.0,27234.0,0.0,4473.0,13617.0,8.94,4.02,6.8,1.45
4,2007Q4,103499.0,5613.0,2931.0,3173.0,3173.0,288150.0,309389.0,278982.0,271177.0,30406.0,0.0,4236.0,15203.0,10.67,3.07,11.01,1.41
5,2008Q1,7341.0,1118.0,1053.0,1074.0,1074.0,356911.0,380763.0,349281.0,344107.0,31482.0,0.0,3908.0,15741.0,8.57,14.63,3.43,0.31
6,2008Q2,44096.0,4226.0,2088.0,2870.0,2870.0,374849.0,398390.0,369569.0,364395.0,28821.0,0.0,4454.0,14411.0,4.24,6.51,9.52,0.74
7,2008Q3,30450.0,3455.0,1623.0,2097.0,2097.0,449659.0,476651.0,445733.0,440568.0,30918.0,0.0,4607.0,15459.0,4.69,6.89,7.02,0.48
8,2008Q4,172390.0,13401.0,4275.0,4317.0,4317.0,413991.0,448246.0,416001.0,415786.0,32245.0,0.0,5179.0,16122.0,3.8,2.5,13.67,0.93
9,2009Q1,26170.0,4887.0,2284.0,2510.0,2510.0,408884.0,441194.0,406434.0,401350.0,34760.0,0.0,5897.0,17380.0,3.26,9.59,7.49,0.57
10,2009Q2,40797.0,5286.0,2585.0,2965.0,2965.0,426671.0,458321.0,424962.0,419879.0,33359.0,0.0,5945.0,16679.0,3.87,7.27,8.71,0.66
11,2009Q3,84386.0,7188.0,2449.0,2811.0,2811.0,422919.0,452063.0,415894.0,410810.0,36169.0,0.0,6301.0,18085.0,4.4,3.33,8.09,0.62
