,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2010Q3,60026.0,10816.0,5758.0,5315.0,5315.0,466080.0,575984.0,477601.0,282566.0,98383.0,,766.0,14178.0,0.0,8.86,10.81,1.85
1,2011Q3,96810.0,26318.0,28854.0,21865.0,21865.0,581056.0,759215.0,640469.0,479842.0,118745.0,0.0,2701.0,14668.0,0.0,22.59,36.83,5.76
2,2012Q1,105391.0,19938.0,8488.0,7025.0,6845.0,,,,,,,0.0,0.0,0.0,6.67,0.0,0.0
3,2012Q2,89751.0,12842.0,10115.0,7526.0,7526.0,,,,,,,0.0,0.0,0.0,8.39,0.0,0.0
4,2012Q3,102686.0,21809.0,14294.0,11324.0,11324.0,567641.0,853068.0,676730.0,552974.0,176338.0,,2232.0,15319.0,0.0,11.03,12.84,2.65
5,2013Q1,73061.0,16904.0,5960.0,6535.0,6353.0,740872.0,1028827.0,840382.0,796303.0,184628.0,3817.0,2190.0,16039.0,0.0,8.94,3.49,0.63
6,2013Q2,71963.0,17190.0,8234.0,6570.0,6570.0,657876.0,943420.0,757214.0,627242.0,186205.0,,2106.0,16176.0,0.0,9.13,3.54,0.67
7,2013Q3,52259.0,11847.0,2522.0,1676.0,1676.0,711956.0,995988.0,807611.0,611201.0,188377.0,,1268.0,16365.0,0.0,3.21,0.9,0.17
8,2013Q4,349870.0,55344.0,31678.0,27714.0,27494.0,936111.0,1137788.0,917678.0,646183.0,216147.0,3964.0,2848.0,14623.0,0.0,7.92,13.59,2.58
9,2014Q1,48893.0,8180.0,727.0,334.0,284.0,968535.0,1168961.0,947858.0,673033.0,216359.0,4744.0,2437.0,14638.0,0.0,0.68,0.13,0.02
