,timestamp,delta_volume,date,note
0,1289235600,11496797.0,2010-11-09,"Giao dịch lần đầu - 11,496,797 CP"
1,1317142800,1724437.0,2011-09-28,"Niêm yết cổ phiếu bổ sung - 1,724,437 CP"
2,1317574800,1724437.0,2011-10-03,"Giao dịch bổ sung - 1,724,437 CP"
3,1336582800,,2012-05-10,Đưa vào diện cảnh báo
4,1397149200,,2014-04-11,Đưa cổ phiếu vào diện cảnh báo
5,1472058000,,2016-08-25,Tiếp tục giữ nguyên diện cảnh báo
6,1491930000,,2017-04-12,Đưa cổ phiếu vào diện kiểm soát
7,1505062800,,2017-09-11,Đưa cổ phiếu vào diện cảnh báo
8,1505062800,,2017-09-11,Đưa cổ phiếu ra khỏi diện kiểm soát
9,1567098000,,2019-08-30,Đưa cổ phiếu ra khỏi diện cảnh báo
10,1587920400,13221234.0,2020-04-27,"Niêm yết cổ phiếu bổ sung - 13,221,234 CP"
11,1588870800,9407091.0,2020-05-08,"Giao dịch bổ sung - 9,407,091 CP"
12,1600966800,3966283.0,2020-09-25,"Niêm yết cổ phiếu bổ sung - 3,966,283 CP"
13,1601571600,3966283.0,2020-10-02,"Giao dịch bổ sung - 3,966,283 CP"
14,1616950800,3814143.0,2021-03-29,"Giao dịch bổ sung - 3,814,143 CP"
15,1633885200,30408751.0,2021-10-11,"Niêm yết cổ phiếu bổ sung - 30,408,751 CP"
16,1634662800,28482551.0,2021-10-20,"Giao dịch bổ sung - 28,482,551 CP"
17,1639587600,30000000.0,2021-12-16,"Niêm yết cổ phiếu bổ sung - 30,000,000 CP"
18,1662915600,1926200.0,2022-09-12,"Giao dịch bổ sung - 1,926,200 CP"
19,1663002000,11081488.0,2022-09-13,"Niêm yết cổ phiếu bổ sung - 11,081,488 CP"
20,1663606800,9081488.0,2022-09-20,"Giao dịch bổ sung - 9,081,488 CP"
21,1669568400,30000000.0,2022-11-28,"Giao dịch bổ sung - 30,000,000 CP"
22,1690909200,2000000.0,2023-08-02,"Giao dịch bổ sung - 2,000,000 CP"
