Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,CRC,CRC,CRC,CRC,CRC,CRC,CRC,CRC,CRC,CRC,CRC,CRC
date,,,,,,,,,,,,
2018-08-20,13.15,2.5,19.69,15.2,15.2,15.2,15.2,2686000000,0,176720,0,176720
2018-08-21,14.05,1.05,6.91,16.25,16.25,16.25,16.25,2640000000,0,162480,0,162480
2018-08-22,15.01,1.1,6.77,17.35,17.35,17.3,17.35,5431000000,0,313040,0,313040
2018-08-23,16.04,1.2,6.92,18.55,18.55,17.5,17.5,3833000000,0,210380,0,210380
2018-08-24,16.43,0.45,2.43,19.0,19.5,17.3,18.55,5250000000,0,289430,0,289430
2018-08-27,15.48,-1.1,-5.79,17.9,19.0,17.9,17.9,2209000000,0,121410,0,121410
2018-08-28,14.49,-1.15,-6.42,16.75,17.85,16.75,16.9,1945000000,0,113440,0,113440
2018-08-29,13.84,-0.75,-4.48,16.0,16.5,15.6,16.5,1756000000,0,111000,0,111000
2018-08-30,14.14,0.35,2.19,16.35,16.4,15.95,15.95,895000000,0,54920,0,54920
2018-08-31,14.53,0.45,2.75,16.8,16.8,16.0,16.0,2713000000,0,165600,0,165600
2018-09-04,14.18,-0.4,-2.38,16.4,17.0,16.0,16.5,2644000000,0,157290,0,157290
2018-09-05,14.05,-0.15,-0.91,16.25,16.35,15.9,16.35,2341000000,0,144000,0,144000
2018-09-06,14.57,0.6,3.69,16.85,16.85,15.15,15.8,4180000000,0,258450,0,258450
2018-09-07,14.92,0.4,2.37,17.25,17.25,16.0,16.3,3840000000,0,231970,0,231970
2018-09-10,14.92,0.0,0.0,17.25,17.3,16.5,16.8,3938000000,0,230150,0,230150
2018-09-11,14.96,0.05,0.29,17.3,17.4,16.7,16.7,4182000000,0,242460,0,242460
2018-09-12,15.05,0.1,0.58,17.4,17.45,17.0,17.3,2287000000,0,132350,0,132350
2018-09-13,15.14,0.1,0.57,17.5,17.5,16.7,16.7,3823000000,0,223610,0,223610
2018-09-14,15.4,0.3,1.71,17.8,17.8,16.4,16.4,5152000000,0,305410,0,305410
2018-09-17,16.0,0.7,3.93,18.5,18.5,17.6,18.0,3993000000,0,223380,0,223380
2018-09-18,17.08,1.25,6.76,19.75,19.75,18.5,18.5,5711000000,0,300660,0,300660
2018-09-19,18.25,1.35,6.84,21.1,21.1,19.9,20.0,5239000000,0,253370,0,253370
2018-09-20,17.43,-0.95,-4.5,20.15,21.05,20.15,20.8,4606000000,0,221970,0,221970
2018-09-21,16.87,-0.65,-3.23,19.5,21.55,19.5,20.55,4336000000,0,213130,0,213130
2018-09-24,17.3,0.5,2.56,20.0,20.2,19.65,20.0,3702000000,0,186130,0,186130
2018-09-25,17.9,0.7,3.5,20.7,20.7,19.65,20.7,2585000000,0,129250,0,129250
2018-09-26,16.87,-1.2,-5.8,19.5,20.9,19.5,20.5,915000000,0,45020,0,45020
2018-09-27,16.87,0.0,0.0,19.5,19.8,19.05,19.8,500000000,0,25750,0,25750
2018-09-28,16.65,-0.25,-1.28,19.25,19.4,18.15,19.2,2626000000,0,138220,0,138220
2018-10-01,16.87,0.25,1.3,19.5,19.5,18.5,18.9,494000000,0,25670,0,25670
2018-10-02,17.3,0.5,2.56,20.0,20.0,18.7,18.7,2172000000,0,111710,0,111710
2018-10-03,17.21,-0.1,-0.5,19.9,20.0,19.4,19.7,4094000000,0,207130,0,207130
2018-10-04,17.73,0.6,3.02,20.5,21.25,19.3,19.6,6141000000,0,310380,0,310380
2018-10-05,18.03,0.35,1.71,20.85,20.85,19.3,20.5,3183000000,0,157710,0,157710
2018-10-08,17.73,-0.35,-1.68,20.5,20.95,20.5,20.5,1927000000,0,92690,0,92690
2018-10-09,17.51,-0.25,-1.22,20.25,20.4,19.7,20.4,3780000000,0,188410,0,188410
2018-10-10,17.13,-0.45,-2.22,19.8,20.25,19.8,20.0,2719000000,0,135150,0,135150
2018-10-11,16.09,-1.2,-6.06,18.6,19.0,18.6,19.8,508000000,0,27250,0,27250
2018-10-12,16.43,0.4,2.15,19.0,19.0,18.2,18.5,467000000,0,25160,0,25160
2018-10-15,15.74,-0.8,-4.21,18.2,19.0,18.2,19.0,795000000,0,43190,0,43190
2018-10-16,15.78,0.05,0.27,18.25,18.25,18.1,18.2,500000000,0,27460,0,27460
2018-10-17,16.17,0.45,2.47,18.7,18.9,18.0,18.0,1592000000,0,86130,0,86130
2018-10-18,16.22,0.05,0.27,18.75,18.9,18.7,18.9,496000000,0,26380,0,26380
2018-10-19,16.3,0.1,0.53,18.85,18.9,18.75,18.9,1458000000,0,77460,0,77460
2018-10-22,16.56,0.3,1.59,19.15,19.15,18.65,18.85,1213000000,0,63970,0,63970
2018-10-23,16.61,0.05,0.26,19.2,19.6,18.95,19.15,3703000000,0,193000,0,193000
2018-10-24,17.47,1.0,5.21,20.2,20.2,19.25,19.25,4104000000,0,207380,0,207380
2018-10-25,17.21,-0.3,-1.49,19.9,20.0,19.5,19.5,856000000,0,43230,0,43230
2018-10-26,16.91,-0.35,-1.76,19.55,19.95,19.55,19.9,2695000000,0,135830,0,135830
2018-10-29,17.38,0.55,2.81,20.1,20.1,19.55,19.55,4052000000,0,204210,0,204210
2018-10-30,17.73,0.4,1.99,20.5,20.5,19.8,20.1,5039000000,0,249970,0,249970
2018-10-31,17.69,-0.05,-0.25,19.95,20.5,19.8,19.85,3927000000,0,195190,0,195190
2018-11-01,17.38,-0.35,-1.75,19.6,20.0,19.6,20.0,1317000000,0,66730,0,66730
2018-11-02,16.31,-1.2,-6.12,18.4,19.75,18.3,19.6,2600000000,0,137940,0,137940
2018-11-05,16.31,0.0,0.0,18.4,18.8,18.2,18.8,2192000000,0,118810,0,118810
2018-11-06,16.4,0.1,0.54,18.5,19.65,18.45,18.45,5847000000,0,309280,0,309280
2018-11-07,16.4,0.0,0.0,18.5,19.3,18.5,18.7,4785000000,0,254750,0,254750
2018-11-08,15.96,-0.5,-2.7,18.0,18.9,17.25,18.6,4265000000,0,229540,0,229540
2018-11-09,15.07,-1.0,-5.56,17.0,18.0,17.0,18.0,4714000000,0,266710,0,266710
2018-11-12,15.65,0.65,3.82,17.65,17.7,16.0,16.8,5236000000,0,312180,0,312180
2018-11-13,15.38,-0.3,-1.7,17.35,17.6,17.25,17.6,3826000000,0,219720,0,219720
2018-11-14,16.45,1.2,6.92,18.55,18.55,17.5,17.55,3543000000,0,196730,0,196730
2018-11-15,16.36,-0.1,-0.54,18.45,19.1,18.15,18.55,3513000000,0,189810,0,189810
2018-11-16,17.46,1.25,6.78,19.7,19.7,18.45,18.5,5124000000,0,270030,0,270030
2018-11-19,17.46,0.0,0.0,19.7,19.8,19.55,19.75,4690000000,0,238300,0,238300
2018-11-20,17.29,-0.2,-1.02,19.5,19.8,19.2,19.65,2001000000,0,102910,0,102910
2018-11-21,17.29,0.0,0.0,19.5,19.5,18.8,19.4,1297000000,0,67410,0,67410
2018-11-22,17.24,-0.05,-0.26,19.45,19.55,19.0,19.0,2478000000,0,127690,0,127690
