,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2017Q3,271320.0,115189.0,83962.0,76899.0,77406.0,,,,,,,0.0,0.0,0.0,28.34,0.0,0.0
1,2017Q4,506383.0,224569.0,174478.0,140394.0,133694.0,715062.0,1054198.0,475858.0,473858.0,578340.0,,8444.0,23134.0,0.0,27.72,46.23,25.36
2,2018Q1,302899.0,137351.0,96539.0,76729.0,76012.0,,,,,,,0.0,0.0,0.0,25.33,0.0,0.0
3,2018Q2,288420.0,113206.0,85940.0,67893.0,65556.0,1156796.0,1655079.0,339891.0,339831.0,1315188.0,,7053.0,26304.0,0.0,23.54,9.97,7.92
4,2018Q3,279267.0,121715.0,88622.0,68539.0,69918.0,1356195.0,1941466.0,557739.0,556652.0,1383727.0,,6904.0,27675.0,6.23,24.54,5.18,3.89
5,2018Q4,816566.0,184428.0,131884.0,106854.0,103790.0,1676762.0,2326700.0,837480.0,835321.0,1489219.0,,6306.0,29784.0,6.66,13.09,7.23,4.86
6,2019Q1,387486.0,148880.0,100637.0,80003.0,79192.0,1830007.0,2598561.0,1029437.0,927163.0,1569124.0,,5735.0,19614.0,4.7,20.65,5.18,3.21
7,2019Q2,643851.0,190957.0,133883.0,103572.0,101162.0,1944071.0,2640250.0,947397.0,943076.0,1692853.0,,5627.0,21161.0,4.6,16.09,6.2,3.86
8,2019Q3,568892.0,169054.0,115092.0,91131.0,87643.0,1761477.0,2681747.0,893519.0,890242.0,1788228.0,,5442.0,22353.0,4.56,16.02,5.04,3.29
9,2019Q4,704871.0,222238.0,147573.0,117782.0,116425.0,1748290.0,2680481.0,774986.0,771709.0,1905496.0,,5048.0,23819.0,4.91,16.71,6.3,4.34
10,2020Q1,269707.0,107274.0,53987.0,42269.0,43253.0,1460636.0,2664071.0,743437.0,740873.0,1920634.0,,4356.0,24008.0,3.44,15.67,2.27,1.62
11,2020Q2,429986.0,184828.0,123754.0,97263.0,90110.0,1553226.0,2701779.0,692770.0,689391.0,2009009.0,,4218.0,25113.0,4.28,22.62,4.59,3.36
12,2020Q3,602085.0,138870.0,80876.0,62980.0,55410.0,1691588.0,2968260.0,896859.0,893294.0,2071401.0,,3815.0,25893.0,5.88,10.46,2.72,1.95
13,2020Q4,805596.0,204217.0,124999.0,99526.0,106327.0,2158335.0,3892482.0,1847862.0,1395974.0,2044620.0,,3689.0,25558.0,7.78,12.35,5.17,3.1
14,2021Q1,2040877.0,260750.0,156243.0,122684.0,123232.0,3828732.0,4993984.0,2824427.0,1872593.0,2169557.0,,4495.0,22600.0,7.07,6.01,5.85,2.8
15,2021Q2,1644248.0,274846.0,161749.0,128372.0,127152.0,3487952.0,5208898.0,2930042.0,1976346.0,2278856.0,,4716.0,23738.0,9.39,7.81,5.72,2.49
16,2021Q3,842557.0,204103.0,98022.0,78230.0,79037.0,3505609.0,5500077.0,3143420.0,2189828.0,2356657.0,,4761.0,24549.0,6.49,9.28,3.41,1.48
17,2021Q4,1088897.0,331681.0,162222.0,122182.0,129107.0,4117661.0,6289274.0,2850783.0,1896653.0,3438491.0,,4348.0,17056.0,9.43,11.22,4.46,2.19
18,2022Q1,1942211.0,458964.0,182527.0,141880.0,145491.0,4357556.0,6997635.0,3418051.0,2463706.0,3579584.0,,3692.0,17756.0,10.7,7.31,4.15,2.19
19,2022Q2,624451.0,254276.0,109608.0,89001.0,85081.0,4648194.0,7036885.0,3402353.0,2444116.0,3634532.0,,2805.0,18028.0,7.84,14.25,2.36,1.21
