,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2009Q4,155165.0,6007.0,2034.0,1679.0,1567.0,155278.0,240631.0,195910.0,192048.0,36647.0,8073.0,627.0,14659.0,61.6,1.08,8.55,1.3
1,2010Q1,42388.0,2587.0,1106.0,854.0,757.0,188720.0,285023.0,236282.0,232299.0,37738.0,11003.0,930.0,15095.0,34.0,2.01,2.0,0.28
2,2010Q2,95834.0,4837.0,4362.0,3223.0,2872.0,264127.0,478910.0,376847.0,236933.0,90451.0,11612.0,2078.0,18090.0,17.37,3.36,4.48,0.75
3,2010Q3,66832.0,4650.0,3021.0,2493.0,2093.0,307429.0,537859.0,433186.0,225908.0,92634.0,12039.0,2689.0,18527.0,9.67,3.73,2.29,0.41
4,2010Q4,161977.0,10846.0,8159.0,5980.0,5173.0,236779.0,532129.0,426090.0,268141.0,94889.0,11150.0,3252.0,18978.0,6.18,3.69,5.52,0.97
5,2011Q1,69016.0,5256.0,1749.0,1337.0,1232.0,209423.0,570620.0,447024.0,232941.0,112362.0,11234.0,2896.0,22472.0,5.14,1.94,1.08,0.22
6,2011Q2,115917.0,10425.0,4701.0,8970.0,8804.0,226391.0,596756.0,467760.0,244013.0,118186.0,10810.0,3806.0,23637.0,4.89,7.74,7.64,1.51
7,2011Q3,93742.0,7322.0,3738.0,3090.0,2983.0,248544.0,615046.0,482120.0,253614.0,121942.0,10983.0,3638.0,24388.0,3.79,3.3,2.48,0.49
8,2011Q4,108467.0,8407.0,1786.0,1426.0,1008.0,342541.0,710316.0,577022.0,315771.0,121800.0,11495.0,2806.0,24360.0,3.24,1.32,0.83,0.15
9,2012Q1,67318.0,5598.0,413.0,3913.0,4138.0,304633.0,697098.0,530045.0,275535.0,155640.0,11413.0,3387.0,31128.0,3.01,5.81,2.69,0.58
10,2012Q2,48262.0,4146.0,-477.0,5170.0,5487.0,350604.0,738215.0,574892.0,320620.0,151914.0,11409.0,2723.0,30383.0,4.22,10.71,3.57,0.76
11,2012Q3,71496.0,4192.0,1997.0,2348.0,2596.0,344795.0,746866.0,575860.0,319749.0,160867.0,10138.0,2650.0,32173.0,2.87,3.28,1.66,0.35
12,2012Q4,107582.0,723.0,-5213.0,2503.0,2095.0,349859.0,748027.0,577273.0,338867.0,160088.0,10665.0,2873.0,32018.0,2.96,2.33,1.31,0.28
13,2013Q1,82003.0,4263.0,-357.0,-669.0,-364.0,308855.0,619710.0,517952.0,297959.0,91340.0,10418.0,1973.0,18268.0,4.61,-0.82,-0.4,-0.06
14,2013Q2,56576.0,4165.0,-435.0,-957.0,-666.0,316812.0,627890.0,527698.0,308686.0,90608.0,9583.0,738.0,18122.0,9.89,-1.69,-0.73,-0.11
15,2013Q3,42258.0,5430.0,-264.0,-688.0,-363.0,298983.0,608293.0,507135.0,289360.0,90603.0,10556.0,142.0,18121.0,48.01,-1.63,-0.4,-0.06
16,2013Q4,140878.0,4575.0,4172.0,4573.0,4056.0,357282.0,662879.0,557979.0,340562.0,93520.0,11379.0,536.0,18704.0,19.58,3.25,4.41,0.64
