,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2012Q1,54093.0,19812.0,15411.0,11558.0,11558.0,198328.0,285138.0,110183.0,110176.0,174954.0,,722.0,10935.0,0.0,21.37,6.83,4.09
1,2012Q2,315150.0,31019.0,23576.0,17611.0,17611.0,201475.0,288225.0,95660.0,95653.0,192565.0,,1823.0,12035.0,0.0,5.59,9.58,6.14
2,2012Q3,206960.0,16703.0,13462.0,10143.0,10143.0,122593.0,214503.0,36872.0,36865.0,177631.0,,2457.0,11102.0,5.09,4.9,5.48,4.04
3,2012Q4,183020.0,2997.0,4360.0,3510.0,3510.0,163608.0,275479.0,93430.0,93416.0,182050.0,,2676.0,11378.0,9.27,1.92,1.95,1.43
4,2013Q1,100184.0,5968.0,3718.0,2769.0,2769.0,177682.0,297144.0,112729.0,112729.0,184415.0,,2127.0,10936.0,6.25,2.76,1.51,1.01
5,2013Q2,191559.0,6206.0,3924.0,3001.0,3001.0,216272.0,370453.0,183037.0,182056.0,187416.0,,1214.0,11714.0,8.57,1.57,1.61,0.9
6,2013Q3,76094.0,8250.0,4775.0,3583.0,3583.0,173614.0,327144.0,136145.0,135247.0,190999.0,,804.0,11937.0,10.7,4.71,1.89,1.03
7,2013Q4,235173.0,21269.0,12190.0,9328.0,9328.0,174129.0,345012.0,70763.0,69949.0,271221.0,3028.0,1111.0,11542.0,7.02,3.97,4.04,2.78
8,2014Q1,67658.0,5035.0,886.0,1258.0,1259.0,175634.0,377865.0,67976.0,67246.0,270612.0,39277.0,928.0,11516.0,10.13,1.86,0.47,0.35
9,2014Q2,136841.0,10677.0,2754.0,2013.0,2012.0,154476.0,382727.0,70825.0,70179.0,273827.0,38075.0,795.0,11653.0,8.8,1.47,0.74,0.53
10,2014Q3,150170.0,7826.0,796.0,607.0,607.0,155863.0,385668.0,108472.0,107910.0,277196.0,,592.0,11796.0,12.0,0.4,0.22,0.16
11,2014Q4,130529.0,3662.0,279.0,34.0,34.0,148679.0,350521.0,80643.0,80164.0,269878.0,,167.0,11485.0,31.83,0.03,0.01,0.01
12,2015Q1,123497.0,4277.0,448.0,415.0,415.0,138957.0,341245.0,66620.0,65758.0,274625.0,,131.0,11687.0,31.39,0.34,0.15,0.12
13,2015Q2,174967.0,7374.0,3795.0,3426.0,3426.0,185212.0,387063.0,109013.0,108264.0,278050.0,,191.0,11833.0,16.25,1.96,1.24,0.94
14,2015Q3,133254.0,8395.0,4898.0,3806.0,3806.0,193369.0,396483.0,114379.0,113971.0,282104.0,,327.0,12005.0,7.95,2.86,1.36,0.97
15,2015Q4,76080.0,4017.0,555.0,276.0,276.0,147765.0,350600.0,68534.0,68271.0,282066.0,,337.0,12004.0,17.2,0.36,0.1,0.07
16,2016Q1,128404.0,5558.0,2113.0,2106.0,2106.0,155984.0,357434.0,76186.0,75923.0,281248.0,0.0,409.0,11969.0,22.24,1.64,0.75,0.6
17,2016Q2,189592.0,11752.0,5974.0,4503.0,4503.0,240934.0,442158.0,156932.0,156669.0,285226.0,,455.0,12138.0,27.69,2.38,1.59,1.13
18,2016Q3,191882.0,8791.0,4767.0,4028.0,4028.0,182288.0,383691.0,94344.0,94081.0,289347.0,,464.0,12313.0,34.24,2.1,1.4,0.98
19,2016Q4,393469.0,13894.0,2450.0,2018.0,2018.0,383926.0,605180.0,312513.0,312367.0,292667.0,0.0,532.0,11640.0,14.59,0.51,0.69,0.41
20,2017Q1,328809.0,9571.0,2214.0,2496.0,2496.0,457093.0,678618.0,385801.0,385655.0,292817.0,,540.0,11646.0,9.36,0.76,0.86,0.39
21,2017Q2,132288.0,11710.0,2452.0,1213.0,1213.0,239035.0,473050.0,180932.0,180786.0,292118.0,,397.0,11618.0,17.97,0.92,0.41,0.21
22,2017Q3,159426.0,10658.0,1360.0,1086.0,1086.0,152252.0,442971.0,149566.0,148583.0,293405.0,,272.0,11669.0,18.64,0.68,0.37,0.24
23,2017Q4,281168.0,24494.0,1643.0,453.0,453.0,278199.0,557654.0,263796.0,263191.0,293858.0,,209.0,11687.0,17.97,0.16,0.15,0.09
24,2018Q1,120213.0,10241.0,-338.0,283.0,283.0,230380.0,537629.0,189380.0,188776.0,348248.0,,119.0,11092.0,25.52,0.24,0.09,0.05
25,2018Q2,286544.0,13430.0,3996.0,2938.0,2938.0,310314.0,618131.0,264721.0,264116.0,353410.0,,176.0,11256.0,14.66,1.03,0.84,0.51
26,2018Q3,222152.0,12444.0,3359.0,2468.0,2468.0,279145.0,584434.0,231155.0,230551.0,353279.0,,214.0,11252.0,18.66,1.11,0.7,0.41
