,timestamp,delta_volume,date,note
0,1346691600,413942.0,2012-09-04,"Giao dịch bổ sung - 413,942 CP"
1,1383066000,372518.0,2013-10-30,"Niêm yết cổ phiếu bổ sung - 372,518 CP"
2,1384448400,372518.0,2013-11-15,"Giao dịch bổ sung - 372,518 CP"
3,1417021200,285572.0,2014-11-27,"Niêm yết cổ phiếu bổ sung - 285,572 CP"
4,1473181200,13750462.0,2016-09-07,"Niêm yết cổ phiếu bổ sung - 13,750,462 CP"
5,1474477200,13750462.0,2016-09-22,"Giao dịch bổ sung - 13,750,462 CP"
6,1511456400,84284865.0,2017-11-24,"Niêm yết cổ phiếu bổ sung - 84,284,865 CP"
7,1512320400,84284865.0,2017-12-04,"Giao dịch bổ sung - 84,284,865 CP"
8,1537722000,,2018-09-24,Đưa cổ phiếu vào diện cảnh báo
9,1538672400,,2018-10-05,Đưa cổ phiếu ra khỏi diện cảnh báo
10,1648746000,5058741.0,2022-04-01,"Niêm yết cổ phiếu bổ sung - 5,058,741 CP"
11,1650301200,5058741.0,2022-04-19,"Giao dịch bổ sung - 5,058,741 CP"
