Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,ECI,ECI,ECI,ECI,ECI,ECI,ECI,ECI,ECI,ECI,ECI,ECI
date,,,,,,,,,,,,
2009-06-16,5.23,3.2,18.82,20.2,17.0,20.2,17.0,2425790000,0,140300,0,140300
2009-06-17,4.27,-0.8,-4.62,16.5,18.0,18.0,17.3,204160000,0,12100,0,12100
2009-06-18,4.14,-0.9,-5.33,16.0,16.0,16.1,16.9,89630000,0,5600,0,5600
2009-06-19,3.88,-1.0,-6.25,15.0,15.8,16.2,16.0,227040000,0,15000,0,15000
2009-06-22,3.65,-1.0,-6.62,14.1,14.3,14.3,15.1,290500000,0,20600,0,20600
2009-06-23,3.42,-0.9,-6.38,13.2,13.2,15.0,14.1,223980000,0,16300,0,16300
2009-06-24,3.31,-0.9,-6.57,12.8,13.5,13.6,13.7,399590000,0,30900,0,30900
2009-06-25,3.11,-0.9,-6.98,12.0,12.2,12.2,12.9,200890000,0,16700,0,16700
2009-06-26,3.13,0.1,0.83,12.1,12.8,12.8,12.0,120630000,0,10200,0,10200
2009-06-29,3.26,0.8,6.78,12.6,12.5,12.6,11.8,109180000,0,8700,0,8700
2009-06-30,3.26,0.1,0.8,12.6,13.3,13.3,12.5,63550000,0,5000,0,5000
2009-07-01,3.16,-0.5,-3.94,12.2,12.5,12.5,12.7,144630000,0,11900,0,11900
2009-07-02,3.11,-0.2,-1.64,12.0,12.0,12.5,12.2,70350000,0,5800,0,5800
2009-07-03,3.24,0.4,3.31,12.5,12.4,12.5,12.1,16010000,0,1300,0,1300
2009-07-06,3.26,0.3,2.44,12.6,12.0,12.9,12.3,37400000,0,3000,0,3000
2009-07-07,3.11,-0.5,-4.0,12.0,12.2,12.2,12.5,79420000,0,6600,0,6600
2009-07-08,3.21,0.4,3.33,12.4,12.4,12.4,12.0,1240000,0,100,0,100
2009-07-09,3.11,-0.4,-3.23,12.0,12.0,12.0,12.4,12000000,0,1000,0,1000
2009-07-10,2.98,-0.5,-4.17,11.5,11.5,11.5,12.0,16100000,0,1400,0,1400
2009-07-13,3.18,0.8,6.96,12.3,12.0,12.3,11.5,13230000,0,1100,0,1100
