,Quý,Thu nhập lãi thuần(MilVND),Chi phí hoạt động(MilVND),Tổng TNTT(MilVND),Tổng LNST(MilVND),LNST của CĐ Ngân hàng mẹ(MilVND),Tổng tài sản(MilVND)," - Tiền, vàng gửi và cho vay các TCTD(MilVND)", - Cho vay khách hàng(MilVND),Nợ phải trả(MilVND), - Tiền gửi và vay các TCTD(MilVND), - Tiền gửi của khách hàng(MilVND),Vốn và các quỹ(MilVND), - Vốn của TCTD(MilVND), - Lợi nhuận chưa phân phối(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROEA(%),ROAA(%)
0,2014Q1,89510.0,13681.0,83202.0,83202.0,83202.0,17767249.0,2429766.0,6185376.0,14873214.0,4599925.0,3147448.0,2894035.0,2502328.0,181437.0,333.0,11576.0,0.0,2.92,0.46
1,2014Q2,90346.0,24748.0,-47640.0,-36347.0,-36347.0,16989922.0,4218938.0,6663991.0,14240359.0,3111492.0,3336782.0,2749563.0,2502328.0,29621.0,187.0,10998.0,0.0,-1.29,-0.21
2,2014Q3,64869.0,17980.0,57227.0,44849.0,44849.0,16829344.0,2621397.0,7006619.0,14015242.0,3484925.0,3384607.0,2814103.0,2502328.0,87887.0,367.0,11256.0,0.0,1.61,0.27
3,2014Q4,,,,,,18337041.0,3789661.0,7412637.0,15508782.0,4501107.0,3383911.0,2828259.0,2502328.0,108316.0,367.0,11313.0,0.0,0.0,0.0
4,2015Q1,82029.0,11024.0,91499.0,91499.0,91499.0,19519525.0,3988741.0,8136328.0,16594799.0,5941803.0,4047241.0,2924726.0,2502328.0,200108.0,400.0,11699.0,0.0,3.18,0.48
5,2015Q2,-24465.0,18653.0,-57670.0,-57670.0,-57670.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
6,2015Q3,105989.0,17718.0,81055.0,81055.0,81055.0,19326846.0,3859782.0,8374675.0,16465329.0,5578188.0,3798904.0,2861517.0,2502328.0,127353.0,460.0,11446.0,0.0,5.67,0.84
7,2015Q4,126343.0,88032.0,55225.0,55225.0,55225.0,19321447.0,3877998.0,8572165.0,16412808.0,4657078.0,4024726.0,2908640.0,2502328.0,172406.0,680.0,11635.0,0.0,1.91,0.29
8,2016Q1,67146.0,13667.0,89115.0,89115.0,89115.0,19522669.0,3977038.0,8442584.0,16524917.0,6648298.0,2783773.0,2997755.0,2502328.0,261521.0,671.0,11991.0,0.0,3.02,0.46
9,2016Q2,77602.0,24469.0,24535.0,24535.0,24535.0,19758469.0,4524695.0,8196744.0,16848820.0,7232772.0,2645301.0,2909651.0,2502328.0,153181.0,1000.0,11639.0,0.0,0.83,0.12
10,2016Q3,87932.0,23286.0,81489.0,81489.0,81489.0,18353698.0,2815174.0,8346049.0,15380735.0,5236559.0,2673116.0,2972962.0,2502328.0,218388.0,1001.0,11892.0,0.0,2.77,0.43
11,2016Q4,-996.0,35789.0,16337.0,16337.0,16337.0,19688507.0,4165816.0,8324209.0,16698532.0,6808419.0,2658950.0,2989976.0,2502328.0,233506.0,846.0,11960.0,0.0,0.55,0.09
12,2017Q1,116602.0,17312.0,117710.0,117705.0,117705.0,19114645.0,3189320.0,8360936.0,16007087.0,6549141.0,2712345.0,3107557.0,2502328.0,351211.0,960.0,12430.0,0.0,3.86,0.61
13,2017Q2,46001.0,63590.0,126557.0,109950.0,109950.0,18201610.0,3430283.0,8447182.0,15109635.0,5802748.0,2530798.0,3091975.0,2502328.0,310354.0,1302.0,12368.0,0.0,3.55,0.59
14,2017Q3,63088.0,29765.0,-15109.0,-9690.0,-9690.0,17078627.0,3481632.0,8272400.0,13996502.0,3633917.0,2911614.0,3082125.0,2502328.0,300665.0,937.0,12329.0,0.0,-0.31,-0.05
15,2017Q4,123558.0,-3456.0,100408.0,80171.0,80171.0,19341996.0,3524180.0,8774643.0,16304867.0,5725900.0,3112208.0,3037133.0,2502328.0,255837.0,1193.0,12149.0,0.0,2.62,0.44
16,2018Q1,93381.0,28657.0,102493.0,102493.0,102493.0,16711743.0,2634759.0,8410857.0,13572306.0,4608026.0,2976588.0,3139437.0,2502328.0,358330.0,1132.0,12558.0,0.0,3.32,0.57
17,2018Q2,28359.0,37480.0,110.0,-19717.0,-19717.0,18697690.0,3893546.0,8722506.0,15736839.0,6216525.0,2828307.0,2960851.0,2808361.0,152523.0,613.0,11843.0,0.0,-0.65,-0.11
18,2018Q3,101732.0,76883.0,88767.0,71175.0,71175.0,18404443.0,3854450.0,8710363.0,15372135.0,5243260.0,2836075.0,3032308.0,2502328.0,223698.0,936.0,12129.0,10.14,2.38,0.38
19,2018Q4,121175.0,107469.0,66900.0,52832.0,52832.0,20058086.0,2816171.0,8656663.0,16973193.0,6890380.0,3324328.0,3084892.0,2502328.0,276531.0,827.0,12340.0,5.8,1.73,0.27
20,2019Q1,110883.0,53289.0,59352.0,59352.0,59352.0,18721069.0,3513796.0,8667074.0,15430044.0,6861200.0,3173657.0,3291022.0,2502328.0,,655.0,13164.0,10.85,1.82,0.31
21,2019Q2,129501.0,63830.0,49699.0,28834.0,28834.0,19752187.0,2478657.0,9147981.0,16442565.0,8007700.0,3335315.0,3309622.0,2502328.0,470391.0,849.0,13238.0,6.95,0.87,0.15
