Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,FIT,FIT,FIT,FIT,FIT,FIT,FIT,FIT,FIT,FIT,FIT,FIT
date,,,,,,,,,,,,
2013-07-26,3.84,1.4,12.73,12.4,12.6,11.0,11.1,14549240000,0,1223000,0,1223000
2013-07-29,4.0,0.6,4.88,12.9,13.2,11.1,12.5,10889680000,2220000000,846600,200000,1046600
2013-07-30,4.15,0.5,3.88,13.4,13.9,12.8,12.9,16600230000,0,1243300,0,1243300
2013-07-31,4.06,-0.3,-2.24,13.1,14.1,12.2,13.4,20704240000,1220000000,1590100,100000,1690100
2013-08-01,3.91,-0.5,-3.82,12.6,13.3,12.3,13.1,8515840000,0,665900,0,665900
2013-08-02,4.06,0.5,3.97,13.1,13.2,11.5,12.5,7142840000,1150000000,555000,100000,655000
2013-08-05,3.94,-0.4,-3.05,12.7,13.1,11.9,13.0,8533880000,4760000000,666200,400000,1066200
2013-08-06,3.94,0.0,0.0,12.7,12.9,12.5,12.8,8915560000,0,697900,0,697900
2013-08-07,4.31,1.2,9.45,13.9,13.9,12.8,12.9,12442410000,0,906200,0,906200
2013-08-08,4.37,0.2,1.44,14.1,14.5,13.6,13.9,18036980000,0,1285500,0,1285500
2013-08-09,4.4,0.1,0.71,14.2,15.1,14.0,14.4,17384749056,0,1208700,0,1208700
2013-08-12,4.46,0.2,1.41,14.4,14.4,13.8,14.2,17310320000,0,1225800,0,1225800
2013-08-13,4.65,0.6,4.17,15.0,15.3,14.5,14.5,21723330000,0,1451900,0,1451900
2013-08-14,4.84,0.6,4.0,15.6,15.6,14.6,15.0,22194829312,0,1474200,0,1474200
2013-08-15,4.93,0.3,1.92,15.9,16.5,15.5,16.0,22875570176,0,1436700,0,1436700
2013-08-16,4.99,0.2,1.26,16.1,16.4,15.5,15.8,16288730112,0,1018500,0,1018500
2013-08-19,5.3,1.0,6.21,17.1,17.3,16.1,16.3,29499940864,750000000,1743300,50000,1793300
2013-08-20,4.99,-1.0,-5.85,16.1,17.5,15.9,17.3,21177729024,0,1277000,0,1277000
2013-08-21,5.02,0.1,0.62,16.2,16.2,15.5,15.9,13282190336,0,837700,0,837700
2013-08-22,4.93,-0.3,-1.85,15.9,16.2,15.7,16.2,11659520000,0,731600,0,731600
2013-08-23,4.81,-0.4,-2.52,15.5,16.1,15.3,15.8,10021749760,0,641300,0,641300
2013-08-26,4.96,0.5,3.23,16.0,16.0,15.3,15.4,10153759744,0,647200,0,647200
2013-08-27,4.87,-0.3,-1.88,15.7,16.0,15.7,16.0,7355610112,1570000000,464600,100000,564600
2013-08-28,4.77,-0.3,-1.91,15.4,15.7,15.0,15.7,9555220480,0,624600,0,624600
2013-08-29,4.77,0.0,0.0,15.4,15.6,15.0,15.4,10596580352,0,690000,0,690000
2013-08-30,4.77,0.0,0.0,15.4,15.4,15.1,15.4,6371270144,0,418100,0,418100
2013-09-03,4.77,0.0,0.0,15.4,15.5,15.2,15.4,6906999808,0,449300,0,449300
2013-09-04,4.87,0.3,1.95,15.7,15.7,15.3,15.4,9386149888,0,604700,0,604700
2013-09-05,4.96,0.3,1.91,16.0,16.2,15.8,15.8,13077480448,0,817200,0,817200
2013-09-06,4.87,-0.3,-1.88,15.7,16.1,15.7,16.0,12351890432,0,779300,0,779300
