,timestamp,delta_volume,date,note
0,1523898000,40000000,2018-04-17,"Niêm yết cổ phiếu lần đầu - 40,000,000 CP"
1,1524675600,40000000,2018-04-26,"Giao dịch lần đầu - 40,000,000 CP"
2,1528822800,28000000,2018-06-13,"Niêm yết cổ phiếu bổ sung - 28,000,000 CP"
3,1529514000,28000000,2018-06-21,"Giao dịch bổ sung - 28,000,000 CP"
4,1558371600,680000,2019-05-21,"Niêm yết cổ phiếu bổ sung - 680,000 CP"
5,1558976400,340000,2019-05-28,"Giao dịch bổ sung - 340,000 CP"
6,1566320400,10301792,2019-08-21,"Niêm yết cổ phiếu bổ sung - 10,301,792 CP"
7,1567011600,10301792,2019-08-29,"Giao dịch bổ sung - 10,301,792 CP"
8,1588525200,340000,2020-05-04,"Giao dịch bổ sung - 340,000 CP"
9,1656954000,39490743,2022-07-05,"Niêm yết cổ phiếu bổ sung - 39,490,743 CP"
10,1657731600,39490743,2022-07-14,"Giao dịch bổ sung - 39,490,743 CP"
