Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,GAB,GAB,GAB,GAB,GAB,GAB,GAB,GAB,GAB,GAB,GAB,GAB
date,,,,,,,,,,,,
2019-07-11,13.33,2.4,20.0,14.4,14.4,14.4,14.4,18799000000,0,1305500,0,1305500
2019-07-12,14.26,1.0,6.94,15.4,15.4,15.35,15.4,20420000000,0,1326000,0,1326000
2019-07-15,15.23,1.05,6.82,16.45,16.45,16.4,15.4,16964000000,0,1031350,0,1031350
2019-07-16,14.17,-1.15,-6.99,15.3,15.8,15.3,15.35,7720000000,0,504010,0,504010
2019-07-17,13.19,-1.05,-6.86,14.25,14.25,14.25,14.25,418000000,0,29340,0,29340
2019-07-18,12.31,-0.95,-6.67,13.3,13.3,13.3,13.3,119000000,0,8980,0,8980
2019-07-19,11.48,-0.9,-6.77,12.4,12.4,12.4,12.4,527000000,0,42520,0,42520
2019-07-22,10.69,-0.85,-6.85,11.55,11.55,11.55,11.55,2082000000,0,180280,0,180280
2019-07-23,10.18,-0.55,-4.76,11.0,11.5,10.75,10.75,15418000000,0,1431110,0,1431110
2019-07-24,9.49,-0.75,-6.82,10.25,11.7,10.25,11.0,4205000000,0,396700,0,396700
2019-07-25,9.54,0.05,0.49,10.3,10.3,9.58,9.61,3338000000,0,338650,0,338650
2019-07-26,8.87,-0.72,-6.99,9.58,9.89,9.58,9.8,3795000000,0,394470,0,394470
2019-07-29,8.25,-0.67,-6.99,8.91,8.94,8.91,8.92,1632000000,0,183100,0,183100
2019-07-30,7.68,-0.62,-6.96,8.29,8.86,8.29,8.29,5573000000,7553930900,671050,911210,1582260
2019-07-31,8.21,0.58,7.0,8.87,8.87,8.29,8.29,1921000000,0,222070,0,222070
2019-08-01,8.79,0.62,6.99,9.49,9.49,9.28,9.28,2398000000,0,253790,0,253790
2019-08-02,8.84,0.06,0.63,9.55,10.15,9.4,10.1,3839000000,0,384230,0,384230
2019-08-05,9.44,0.65,6.81,10.2,10.2,9.8,10.2,2601000000,0,255240,0,255240
2019-08-06,10.09,0.7,6.86,10.9,10.9,10.3,10.8,1282000000,0,118850,0,118850
2019-08-07,10.79,0.75,6.88,11.65,11.65,11.5,10.8,1284000000,0,110250,0,110250
2019-08-08,11.53,0.8,6.87,12.45,12.45,11.7,12.4,4222000000,0,339980,0,339980
2019-08-09,12.31,0.85,6.83,13.3,13.3,13.3,13.3,3085000000,0,231980,0,231980
2019-08-12,13.15,0.9,6.77,14.2,14.2,13.9,14.2,2002000000,4970000000,141360,350000,491360
2019-08-13,14.03,0.95,6.69,15.15,15.15,15.15,15.15,4825000000,7980000000,318490,600000,918490
2019-08-14,13.06,-1.05,-6.93,14.1,16.2,14.1,16.2,11380000000,0,746820,0,746820
2019-08-15,13.93,0.95,6.74,15.05,15.05,13.15,13.15,6897000000,1350000000,489240,90000,579240
