Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
Symbols,HAS,HAS,HAS,HAS,HAS,HAS,HAS,HAS,HAS,HAS,HAS,HAS
date,,,,,,,,,,,,
2005-01-04,17.91,216.04,26.3,26.3,26.2,26.2,1400,0,6.37,36746,0,1400
2005-01-05,18.01,217.25,26.3,26.3,26.3,26.3,1360,0,6.39,35768,0,1360
2005-01-06,17.31,208.81,26.3,26.3,25.6,25.6,2830,0,6.22,72448,0,2830
2005-01-07,18.21,219.66,26.5,26.5,26.5,26.5,260,0,6.44,6890,0,260
2005-01-10,17.71,213.63,26.5,26.5,26.0,26.0,800,0,6.32,20800,0,800
2005-01-11,18.21,219.66,26.4,26.5,26.4,26.5,210,0,6.44,5564,0,210
2005-01-12,18.21,219.66,26.5,26.5,26.5,26.5,210,0,6.44,5565,0,210
2005-01-13,17.71,213.63,26.5,26.5,26.0,26.0,140,0,6.32,3640,0,140
2005-01-14,17.41,210.01,26.5,26.5,25.7,25.7,5020,0,6.25,129094,0,5020
2005-01-17,17.61,212.42,25.7,25.9,25.7,25.9,1060,0,6.3,27454,0,1060
2005-01-18,17.61,212.42,25.9,25.9,25.9,25.9,1320,0,6.3,34188,0,1320
2005-01-19,17.71,213.63,26.0,26.0,26.0,26.0,2360,0,6.32,61360,0,2360
2005-01-20,17.91,216.04,26.1,26.2,26.1,26.2,1540,0,6.37,40264,0,1540
2005-01-21,18.21,219.66,26.5,26.5,26.5,26.5,1170,0,6.44,31005,0,1170
2005-01-24,18.21,219.66,26.5,26.5,26.5,26.5,320,0,6.44,8480,0,320
2005-01-25,17.91,216.04,26.5,26.5,26.2,26.2,750,0,6.37,19650,0,750
2005-01-26,17.91,216.04,26.2,26.2,26.2,26.2,1000,0,6.37,26200,0,1000
2005-01-27,17.81,214.84,26.2,26.2,26.1,26.1,3550,0,6.34,92655,0,3550
2005-01-28,17.71,213.63,26.1,26.1,26.0,26.0,2150,0,6.32,55990,0,2150
2005-01-31,17.71,213.63,26.0,26.0,26.0,26.0,2800,0,6.32,72800,0,2800
2005-02-01,16.81,202.77,26.0,26.0,25.1,25.1,1770,0,6.1,44427,0,1770
2005-02-02,17.71,213.63,25.1,26.0,25.1,26.0,110,0,6.32,2860,0,110
2005-02-03,17.51,211.22,26.0,26.0,25.8,25.8,290,0,6.27,7482,0,290
2005-02-04,17.91,216.04,26.2,26.2,26.2,26.2,1020,0,6.37,26724,0,1020
2005-02-14,17.91,216.04,25.9,26.2,25.9,26.2,3360,0,6.37,88029,0,3360
2005-02-15,17.91,216.04,26.2,26.2,26.2,26.2,110,0,6.37,2882,0,110
2005-02-16,17.71,213.63,26.2,26.2,26.0,26.0,40,0,6.32,1040,0,40
2005-02-17,17.91,216.04,26.0,26.2,26.0,26.2,270,0,6.37,7074,0,270
2005-02-18,17.61,212.42,26.2,26.2,25.9,25.9,600,0,6.3,15540,0,600
2005-02-21,17.71,213.63,25.9,26.0,25.9,26.0,710,0,6.32,18460,0,710
2005-02-22,17.71,213.63,26.0,26.0,26.0,26.0,10,0,6.32,260,0,10
2005-02-23,17.71,213.63,26.0,26.0,26.0,26.0,500,0,6.32,13000,0,500
2005-02-24,17.71,213.63,26.0,26.0,26.0,26.0,30,0,6.32,780,0,30
2005-02-25,17.71,213.63,26.0,26.0,26.0,26.0,290,0,6.32,7540,0,290
2005-02-28,17.51,211.22,26.0,26.0,25.8,25.8,200,0,6.27,5160,0,200
2005-03-01,17.61,212.42,25.8,25.9,25.8,25.9,40,0,6.3,1036,0,40
2005-03-02,17.71,213.63,26.0,26.0,26.0,26.0,670,0,6.32,17420,0,670
2005-03-03,18.11,218.46,26.0,26.4,26.0,26.4,7360,0,6.42,194220,0,7360
2005-03-04,17.81,214.84,26.0,26.1,26.0,26.1,1400,0,6.34,36420,0,1400
2005-03-07,17.51,211.22,26.1,26.1,25.8,25.8,1200,0,6.27,30960,0,1200
2005-03-08,17.71,213.63,25.9,26.0,25.9,26.0,3340,0,6.32,86831,0,3340
2005-03-09,17.91,216.04,26.2,26.2,26.2,26.2,8050,0,6.37,210910,0,8050
2005-03-10,17.71,213.63,26.2,26.2,26.0,26.0,1710,0,6.32,44460,0,1710
2005-03-11,17.91,216.04,26.0,26.2,26.0,26.2,1850,0,6.37,48230,0,1850
2005-03-14,17.81,214.84,26.1,26.1,26.1,26.1,1930,0,6.34,50373,0,1930
2005-03-15,17.71,213.63,26.1,26.1,26.0,26.0,400,0,6.32,10400,0,400
2005-03-16,17.91,216.04,26.0,26.2,26.0,26.2,8400,0,6.37,219980,0,8400
2005-03-17,18.01,217.25,26.1,26.3,26.1,26.3,900,0,6.39,23570,0,900
2005-03-18,18.01,217.25,26.3,26.3,26.3,26.3,1010,0,6.39,26563,0,1010
2005-03-21,18.11,218.46,26.3,26.4,26.3,26.4,250,0,6.42,6600,0,250
2005-03-22,18.31,220.87,26.5,26.6,26.5,26.6,1350,0,6.47,35895,0,1350
2005-03-23,18.41,222.07,26.5,26.7,26.5,26.7,1130,0,6.49,30167,0,1130
2005-03-24,18.71,225.69,27.2,27.2,27.0,27.0,4310,0,6.56,116724,0,4310
2005-03-25,18.21,219.66,27.1,27.1,26.5,26.5,2420,0,6.44,64160,0,2420
2005-03-28,18.11,218.46,26.5,26.5,26.4,26.4,5530,0,6.42,146125,0,5530
2005-03-29,18.61,224.49,26.4,26.9,26.4,26.9,1540,0,6.54,40771,0,1540
2005-03-30,18.71,225.69,26.7,27.0,26.7,27.0,780,0,6.56,20910,0,780
2005-03-31,18.61,224.49,27.2,27.2,26.9,26.9,220,0,6.54,5924,0,220
2005-04-01,18.31,220.87,26.5,26.6,26.5,26.6,570,0,6.47,15135,0,570
2005-04-04,18.81,226.9,27.1,27.1,27.1,27.1,50,0,6.59,1355,0,50
2005-04-05,18.71,225.69,26.8,27.0,26.8,27.0,100,0,6.56,2690,0,100
2005-04-06,18.51,223.28,27.0,27.0,26.8,26.8,2810,0,6.51,75308,0,2810
2005-04-07,18.41,222.07,26.8,26.8,26.7,26.7,730,0,6.49,19493,0,730
2005-04-08,18.31,220.87,26.6,26.6,26.6,26.6,6430,0,6.47,171038,0,6430
2005-04-11,18.51,223.28,26.6,26.8,26.6,26.8,110,0,6.51,2948,0,110
2005-04-12,18.31,220.87,26.8,26.8,26.6,26.6,1360,0,6.47,36176,0,1360
2005-04-13,18.31,220.87,26.6,26.6,26.6,26.6,2290,0,6.47,60914,0,2290
2005-04-14,18.31,220.87,26.6,26.6,26.6,26.6,1120,0,6.47,29792,0,1120
2005-04-15,18.31,220.87,26.6,26.6,26.6,26.6,1310,0,6.47,34846,0,1310
2005-04-18,18.31,220.87,26.6,26.6,26.6,26.6,2740,0,6.47,72884,0,2740
2005-04-19,18.21,219.66,26.6,26.6,26.5,26.5,1620,0,6.44,42980,0,1620
2005-04-20,18.21,219.66,26.6,26.6,26.5,26.5,5100,0,6.44,135262,0,5100
2005-04-21,18.11,218.46,26.4,26.4,26.4,26.4,4000,0,6.42,105600,0,4000
2005-04-22,18.51,223.28,26.8,26.8,26.8,26.8,10,0,6.51,268,0,10
2005-04-25,18.01,217.25,26.6,26.6,26.3,26.3,4020,0,6.39,106056,0,4020
2005-04-26,18.01,217.25,26.3,26.3,26.3,26.3,0,0,6.39,0,0,0
2005-04-27,18.21,219.66,26.5,26.5,26.5,26.5,600,0,6.44,15900,0,600
2005-04-28,18.01,217.25,26.3,26.3,26.3,26.3,900,0,6.39,23670,0,900
2005-04-29,18.01,217.25,26.3,26.3,26.3,26.3,900,0,6.39,23670,0,900
2005-05-04,18.01,217.25,26.3,26.3,26.3,26.3,0,0,6.39,0,0,0
2005-05-05,18.11,218.46,26.4,26.4,26.4,26.4,300,0,6.42,7920,0,300
2005-05-06,18.11,218.46,26.4,26.4,26.4,26.4,30,0,6.42,792,0,30
2005-05-09,18.11,218.46,26.4,26.4,26.4,26.4,4010,0,6.42,105864,0,4010
2005-05-10,18.21,219.66,26.5,26.5,26.5,26.5,20,0,6.44,530,0,20
2005-05-11,18.01,217.25,26.5,26.5,26.3,26.3,20,0,6.39,526,0,20
2005-05-12,18.01,217.25,26.3,26.3,26.3,26.3,0,0,6.39,0,0,0
2005-05-13,18.21,219.66,26.5,26.5,26.5,26.5,10,0,6.44,265,0,10
2005-05-16,18.01,217.25,26.5,26.5,26.3,26.3,110,0,6.39,2893,0,110
2005-05-17,17.71,213.63,26.0,26.0,26.0,26.0,4900,0,6.32,127400,0,4900
2005-05-18,17.61,212.42,26.0,26.0,25.9,25.9,1000,0,6.3,25920,0,1000
2005-05-19,17.41,210.01,25.9,25.9,25.7,25.7,120,0,6.25,3104,0,120
2005-05-20,17.41,210.01,25.8,25.8,25.7,25.7,3150,0,6.25,81041,0,3150
2005-05-23,17.41,210.01,25.8,25.8,25.7,25.7,1400,0,6.25,36030,0,1400
2005-05-24,18.11,218.46,25.7,26.4,25.7,26.4,410,0,6.42,10544,0,410
2005-05-25,17.91,216.04,26.0,26.2,26.0,26.2,110,0,6.37,2862,0,110
2005-05-26,17.71,213.63,26.2,26.2,26.0,26.0,490,0,6.32,12740,0,490
2005-05-27,17.71,213.63,26.0,26.0,26.0,26.0,10,0,6.32,260,0,10
2005-05-30,17.71,213.63,26.0,26.0,26.0,26.0,600,0,6.32,15600,0,600
2005-05-31,17.71,213.63,26.0,26.0,26.0,26.0,0,0,6.32,0,0,0
2005-06-01,18.01,217.25,26.0,26.3,26.0,26.3,10,0,6.39,263,0,10
2005-06-02,17.71,213.63,26.3,26.3,26.0,26.0,500,0,6.32,13000,0,500
2005-06-03,17.51,211.22,25.8,25.8,25.8,25.8,2090,0,6.27,53922,0,2090
2005-06-06,17.51,211.22,26.0,26.0,25.8,25.8,4830,0,6.27,125294,0,4830
2005-06-07,17.51,211.22,25.8,25.8,25.8,25.8,5220,0,6.27,134676,0,5220
2005-06-08,17.51,211.22,25.8,25.8,25.8,25.8,730,0,6.27,18834,0,730
2005-06-09,17.51,211.22,25.8,25.8,25.8,25.8,300,0,6.27,7740,0,300
2005-06-10,17.41,210.01,25.8,25.8,25.7,25.7,2400,0,6.25,61680,0,2400
2005-06-13,17.51,211.22,25.7,25.8,25.7,25.8,10,0,6.27,258,0,10
2005-06-14,17.51,211.22,25.8,25.8,25.8,25.8,80,0,6.27,2064,0,80
2005-06-15,17.41,210.01,25.7,25.7,25.7,25.7,4070,0,6.25,104599,0,4070
2005-06-16,17.41,210.01,25.7,25.7,25.7,25.7,5500,0,6.25,141350,0,5500
2005-06-17,17.41,210.01,25.7,25.7,25.7,25.7,3030,0,6.25,77871,0,3030
2005-06-20,17.41,210.01,25.7,25.7,25.7,25.7,910,0,6.25,23387,0,910
2005-06-21,17.41,210.01,25.7,25.7,25.7,25.7,0,0,6.25,0,0,0
2005-06-22,17.41,210.01,25.7,25.7,25.7,25.7,1100,0,6.25,28270,0,1100
2005-06-23,17.41,210.01,25.7,25.7,25.7,25.7,400,0,6.25,10280,0,400
2005-06-24,17.41,210.01,25.7,25.7,25.7,25.7,100,0,6.25,2570,0,100
2005-06-27,17.41,210.01,25.7,25.7,25.7,25.7,540,0,6.25,13878,0,540
2005-06-28,17.41,210.01,25.7,25.7,25.7,25.7,2300,0,6.25,59110,0,2300
2005-06-29,17.41,210.01,25.7,25.7,25.7,25.7,2350,0,6.25,60395,0,2350
2005-06-30,17.51,211.22,25.7,25.8,25.7,25.8,3600,0,6.27,92709,0,3600
2005-07-01,17.51,211.22,25.8,25.8,25.8,25.8,1490,0,6.27,38442,0,1490
2005-07-04,17.51,211.22,25.7,25.8,25.7,25.8,3400,0,6.27,87540,0,3400
2005-07-05,17.51,211.22,25.7,25.8,25.7,25.8,4610,0,6.27,118838,0,4610
2005-07-06,17.51,211.22,25.8,25.8,25.8,25.8,300,0,6.27,7740,0,300
2005-07-07,17.71,213.63,25.8,26.0,25.8,26.0,2500,0,6.32,64820,0,2500
