,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2015Q1,506096.0,206866.0,108290.0,106073.0,105898.0,5879949.0,18237428.0,11214966.0,6746322.0,7022462.0,,265.0,17597.0,0.0,20.96,1.52,0.6
1,2015Q2,1566388.0,622164.0,550633.0,486881.0,481799.0,7674584.0,20688176.0,11495992.0,6926302.0,9192184.0,,830.0,12981.0,0.0,31.08,5.94,2.48
2,2015Q3,1846740.0,513593.0,382701.0,394280.0,391460.0,8261221.0,23460970.0,13504855.0,7450281.0,9956115.0,,1383.0,14059.0,20.54,21.35,4.09,1.77
3,2015Q4,814165.0,2381.0,-88709.0,-113046.0,-124538.0,7089212.0,26470123.0,16843493.0,7121317.0,9626630.0,,1207.0,13594.0,23.86,-13.88,-1.27,-0.5
4,2016Q1,1281868.0,234165.0,87139.0,95176.0,93663.0,8271996.0,30561179.0,18780196.0,7888706.0,11780983.0,,1190.0,15357.0,6.73,7.42,0.86,0.32
5,2016Q2,1314216.0,169077.0,-92109.0,-643484.0,-600771.0,6301222.0,29489664.0,18567822.0,7242514.0,10921842.0,,-334.0,14237.0,-24.27,-48.96,-5.29,-2.0
6,2016Q3,981925.0,68184.0,-172987.0,-127259.0,-124844.0,6539845.0,30455831.0,19836893.0,9614504.0,10618938.0,,-1030.0,13842.0,-5.44,-12.96,-1.16,-0.42
7,2016Q4,1213141.0,98144.0,-139210.0,-302784.0,-311074.0,7579787.0,35928530.0,25277942.0,6130955.0,10650588.0,,-1258.0,13883.0,-4.93,-24.96,-2.93,-0.94
8,2017Q1,470258.0,83236.0,-28422.0,10077.0,7159.0,7346767.0,34218419.0,23759810.0,5435474.0,10458609.0,,-1348.0,13633.0,-8.6,2.14,0.07,0.02
9,2017Q2,1274455.0,486562.0,1031231.0,1038022.0,1041500.0,7393963.0,34288107.0,23766118.0,6509393.0,10521989.0,0.0,799.0,13716.0,13.46,81.45,9.93,3.04
10,2017Q3,933801.0,287692.0,115611.0,114700.0,112488.0,4008807.0,31767347.0,21374464.0,5902031.0,10392883.0,,1112.0,13548.0,8.72,12.28,1.08,0.34
11,2017Q4,670334.0,397358.0,58368.0,-57084.0,-47845.0,4411861.0,32490943.0,21971957.0,6042837.0,10518986.0,,1457.0,13712.0,6.56,-8.52,-0.46,-0.15
12,2018Q1,558492.0,295393.0,121137.0,21508.0,20415.0,3712263.0,28825480.0,17481445.0,4316431.0,11344034.0,,1462.0,12791.0,6.05,3.85,0.19,0.07
13,2018Q2,1285269.0,612480.0,114358.0,45780.0,42462.0,4245952.0,29698816.0,18428199.0,5659512.0,11270617.0,,159.0,12709.0,64.01,3.56,0.38,0.15
14,2018Q3,1068651.0,601227.0,193859.0,-227538.0,-224790.0,4827162.0,30437823.0,19462492.0,8033020.0,10975331.0,,-251.0,12376.0,-68.21,-21.29,-2.02,-0.75
15,2018Q4,890597.0,201323.0,-171753.0,-354035.0,-352989.0,4317257.0,30700265.0,20054756.0,8718262.0,10645508.0,,-595.0,12004.0,-26.9,-39.75,-3.27,-1.15
16,2019Q1,339897.0,96002.0,-247356.0,-99000.0,-98147.0,3814229.0,30769653.0,20211692.0,9866337.0,10557960.0,,-714.0,11905.0,-21.77,-29.13,-0.92,-0.32
17,2019Q2,439586.0,149848.0,-332117.0,-638536.0,-631445.0,3599805.0,30908879.0,21262759.0,14362513.0,9646120.0,,-1474.0,10877.0,-11.6,-145.26,-6.25,-2.05
18,2019Q3,494777.0,19987.0,-148050.0,-989863.0,-981185.0,5765013.0,24832858.0,14316014.0,8544346.0,10516844.0,,-2255.0,9487.0,-6.72,-200.06,-9.73,-3.52
19,2019Q4,534283.0,-38081.0,-360065.0,-583818.0,-583446.0,3923048.0,23251684.0,13365456.0,7749849.0,9886228.0,,-2356.0,8918.0,-5.9,-109.27,-5.72,-2.43
20,2020Q1,666266.0,272898.0,27127.0,2852.0,1806.0,3790098.0,24132925.0,14647027.0,6102764.0,9485898.0,,-2140.0,8557.0,-5.7,0.43,0.02,0.01
21,2020Q2,499355.0,127232.0,1480.0,7217.0,9374.0,5118277.0,25322690.0,16167357.0,7250629.0,9155333.0,,-1439.0,8259.0,-10.63,1.45,0.1,0.04
22,2020Q3,600432.0,-66797.0,-278806.0,-352903.0,-350574.0,3894210.0,24407296.0,15855041.0,7106280.0,8552255.0,,-832.0,7715.0,-14.17,-58.77,-3.96,-1.41
23,2020Q4,607924.0,-200829.0,441526.0,363497.0,360136.0,6255664.0,24628451.0,15979347.0,10970769.0,8649104.0,,19.0,7802.0,777.61,59.79,4.19,1.47
24,2021Q1,259874.0,41650.0,109938.0,6626.0,6626.0,6084394.0,23488855.0,14764791.0,10436131.0,8724063.0,,23.0,7870.0,503.05,2.55,0.08,0.03
25,2021Q2,252446.0,17972.0,-158104.0,-129227.0,-129227.0,9958590.0,22828519.0,14655939.0,10273658.0,8172580.0,,-102.0,7372.0,-105.91,-51.19,-1.53,-0.56
26,2021Q3,379913.0,-14069.0,-170534.0,-181341.0,-181341.0,5671261.0,16828923.0,10184720.0,5912626.0,6644204.0,,51.0,5994.0,142.43,-47.73,-2.45,-0.91
27,2021Q4,306719.0,-467044.0,-810756.0,-815792.0,-815792.0,2848333.0,14017047.0,8018335.0,4874929.0,5998713.0,,-1010.0,5411.0,-12.13,-265.97,-12.91,-5.29
28,2022Q1,213900.0,10518.0,-121271.0,-112633.0,-112633.0,3040110.0,13698342.0,8352961.0,5107971.0,5345381.0,,-1118.0,4822.0,-9.04,-52.66,-1.99,-0.81
29,2022Q2,147917.0,-135919.0,-535761.0,-557336.0,-557336.0,2620793.0,11318616.0,8467007.0,5583138.0,2851609.0,,-1504.0,2572.0,-3.32,-376.79,-13.6,-4.46
