Attributes,change_perc1,change_perc2,open,high,low,close,volume_match,volume_reconcile,adjust,value_match,value_reconcile,volume
Symbols,HT1,HT1,HT1,HT1,HT1,HT1,HT1,HT1,HT1,HT1,HT1,HT1
date,,,,,,,,,,,,
2007-11-13,0.0,0.0,56.0,64.0,56.0,60.5,989350,0,25.4,58807000000,0,989350
2007-11-14,0.5,0.83,61.0,62.0,60.0,61.0,323550,0,25.61,19665000000,0,323550
2007-11-15,-0.5,-0.82,61.5,61.5,60.0,60.5,110380,0,25.4,6752000000,0,110380
2007-11-16,-2.5,-4.13,58.0,60.0,57.5,58.0,69590,0,24.35,4035000000,0,69590
2007-11-19,-2.5,-4.31,57.0,57.0,55.5,55.5,128600,0,23.3,7191000000,0,128600
2007-11-20,-2.5,-4.5,53.0,53.0,53.0,53.0,124510,0,22.25,6599000000,0,124510
2007-11-21,-2.5,-4.72,50.5,50.5,50.5,50.5,66220,0,21.2,3344000000,0,66220
2007-11-22,0.0,0.0,50.0,52.5,49.5,50.5,307810,0,21.2,15481000000,0,307810
2007-11-23,0.0,0.0,50.5,51.0,50.0,50.5,117930,0,21.2,5962000000,0,117930
2007-11-26,0.0,0.0,51.0,51.5,50.5,50.5,131840,0,21.2,6700000000,0,131840
2007-11-27,2.5,4.95,52.5,53.0,52.0,53.0,173630,135000,22.25,9149000000,6480000000,308630
2007-11-28,-1.0,-1.89,53.0,53.0,51.0,52.0,129050,0,21.83,6763000000,0,129050
2007-11-29,0.0,0.0,52.5,52.5,52.0,52.0,32300,0,21.83,1691000000,0,32300
2007-11-30,0.0,0.0,52.0,52.5,51.5,52.0,146220,0,21.83,7618000000,0,146220
2007-12-03,-0.5,-0.96,52.0,52.0,51.5,51.5,115750,0,21.62,5994000000,0,115750
2007-12-04,0.0,0.0,52.0,52.0,51.0,51.5,101940,0,21.62,5255000000,0,101940
2007-12-05,0.0,0.0,51.0,51.5,51.0,51.5,80410,0,21.62,4126000000,0,80410
2007-12-06,-1.0,-1.94,51.0,51.0,50.0,50.5,86110,0,21.2,4342000000,0,86110
2007-12-07,-1.0,-1.98,49.0,50.5,49.0,49.5,102640,0,20.78,5080000000,0,102640
2007-12-10,-1.5,-3.03,49.5,49.5,48.0,48.0,81510,0,20.15,3970000000,0,81510
2007-12-11,-2.4,-5.0,48.0,48.0,45.6,45.6,111790,0,19.15,5160000000,0,111790
2007-12-12,0.9,1.97,46.0,47.0,46.0,46.5,94610,0,19.52,4408000000,0,94610
2007-12-13,-0.4,-0.86,47.0,47.0,46.0,46.1,31540,0,19.36,1469000000,0,31540
2007-12-14,-1.1,-2.39,45.0,46.1,45.0,45.0,59950,0,18.89,2719000000,0,59950
2007-12-17,0.0,0.0,45.5,45.7,45.0,45.0,102050,21000,18.89,4619000000,899000000,123050
2007-12-18,-1.0,-2.22,45.0,45.2,43.5,44.0,156700,0,18.47,6980000000,0,156700
2007-12-19,2.2,5.0,45.0,46.2,45.0,46.2,35100,0,19.4,1604000000,0,35100
2007-12-20,-0.2,-0.43,47.6,47.6,46.0,46.0,100600,0,19.31,4710000000,0,100600
2007-12-21,0.8,1.74,46.8,46.8,46.0,46.8,24860,0,19.65,1159000000,0,24860
2007-12-24,0.2,0.43,46.8,47.2,46.5,47.0,45410,0,19.73,2128000000,0,45410
2007-12-25,-0.5,-1.06,46.0,47.2,46.0,46.5,56300,0,19.52,2600000000,0,56300
2007-12-26,0.0,0.0,46.5,47.0,46.5,46.5,19470,0,19.52,908000000,0,19470
2007-12-27,-0.2,-0.43,47.0,47.0,46.3,46.3,35080,0,19.44,1634000000,0,35080
2007-12-28,0.0,0.0,46.5,46.9,46.0,46.3,34050,0,19.44,1581000000,0,34050
2008-01-02,-0.3,-0.65,46.4,46.4,46.0,46.0,20130,0,19.31,928000000,0,20130
2008-01-03,-1.7,-3.7,44.2,45.0,44.2,44.3,38080,0,18.6,1690000000,0,38080
2008-01-04,-0.3,-0.68,44.0,44.3,44.0,44.0,29970,0,18.47,1319000000,0,29970
2008-01-07,-2.0,-4.55,42.7,42.7,42.0,42.0,38220,0,17.63,1615000000,0,38220
2008-01-08,-0.6,-1.43,42.0,42.5,41.4,41.4,41160,0,17.38,1722000000,0,41160
2008-01-09,-1.4,-3.38,40.5,40.5,40.0,40.0,45410,0,16.79,1822000000,0,45410
2008-01-10,-2.0,-5.0,38.0,38.2,38.0,38.0,58250,0,15.95,2215000000,0,58250
2008-01-11,1.5,3.95,37.0,39.7,37.0,39.5,36600,0,16.58,1405000000,0,36600
2008-01-14,-1.9,-4.81,39.0,39.0,37.6,37.6,30090,0,15.79,1148000000,0,30090
2008-01-15,-1.8,-4.79,35.9,36.0,35.8,35.8,58230,0,15.03,2087000000,0,58230
2008-01-16,1.7,4.75,37.1,37.5,36.0,37.5,86890,0,15.75,3245000000,0,86890
2008-01-17,-1.5,-4.0,39.3,39.3,36.0,36.0,85970,0,15.12,3261000000,0,85970
2008-01-18,1.3,3.61,36.0,37.3,35.0,37.3,46130,0,15.66,1667000000,0,46130
