,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2011Q3,223997.0,40316.0,18954.0,14406.0,14406.0,415404.0,636591.0,496183.0,397053.0,140408.0,0.0,1143.0,11143.0,0.0,6.43,20.52,4.53
1,2013Q1,61099.0,8813.0,5733.0,4315.0,4315.0,328616.0,524318.0,382473.0,307637.0,141845.0,,342.0,11258.0,0.0,7.06,2.8,0.76
2,2014Q1,48890.0,8820.0,6552.0,5396.0,5396.0,316342.0,517493.0,364149.0,214643.0,153344.0,,428.0,12170.0,0.0,11.04,3.21,0.92
3,2015Q1,21722.0,4449.0,2581.0,2504.0,2504.0,249269.0,451633.0,301969.0,192182.0,149663.0,,206.0,12327.0,0.0,11.53,1.43,0.45
4,2017Q1,15699.0,2442.0,614.0,727.0,727.0,326226.0,477273.0,284750.0,189449.0,192522.0,,48.0,12628.0,0.0,4.63,0.3,0.12
5,2017Q3,93296.0,22739.0,17738.0,13666.0,13987.0,411894.0,656762.0,345519.0,248068.0,311243.0,,965.0,20415.0,0.0,14.65,8.99,4.26
6,2017Q4,168102.0,32589.0,19407.0,21334.0,20622.0,400615.0,656967.0,324390.0,228236.0,332577.0,,2318.0,21814.0,0.0,12.69,6.41,3.14
7,2018Q1,67525.0,21579.0,14950.0,12198.0,11229.0,391985.0,643958.0,302660.0,208242.0,341299.0,,3007.0,22386.0,0.0,18.06,3.33,1.73
8,2018Q2,105572.0,25041.0,27653.0,24407.0,21319.0,377578.0,632399.0,292915.0,200951.0,339484.0,,4405.0,22267.0,0.0,23.12,6.26,3.34
9,2018Q3,113741.0,26849.0,17483.0,14254.0,12429.0,380374.0,635022.0,281284.0,190412.0,353737.0,,4303.0,23202.0,0.0,12.53,3.59,1.96
10,2018Q4,166173.0,20891.0,15304.0,14950.0,15278.0,434200.0,701204.0,332516.0,243283.0,368687.0,,3952.0,24183.0,0.0,9.0,4.23,2.29
11,2019Q1,91602.0,20862.0,14404.0,12912.0,11541.0,413470.0,684171.0,300312.0,213042.0,383859.0,,3973.0,25178.0,4.73,14.1,3.04,1.66
12,2019Q2,101844.0,24116.0,25014.0,22431.0,20370.0,446259.0,720009.0,340028.0,254538.0,379981.0,,3910.0,24923.0,4.55,22.03,5.33,2.9
13,2019Q3,104084.0,22201.0,17895.0,15311.0,14368.0,440856.0,727630.0,332338.0,248282.0,395292.0,,4038.0,25928.0,5.08,14.71,3.71,1.98
14,2019Q4,172718.0,26354.0,18668.0,18490.0,17951.0,427546.0,729032.0,315254.0,230747.0,413778.0,,4213.0,27140.0,4.87,10.71,4.44,2.46
15,2020Q1,81832.0,24738.0,14620.0,11843.0,10664.0,445460.0,746168.0,320914.0,237440.0,425253.0,,4155.0,27893.0,3.99,14.47,2.53,1.44
16,2020Q2,118748.0,25921.0,26565.0,22661.0,21028.0,439536.0,743009.0,323626.0,240958.0,419383.0,,4199.0,27508.0,4.36,19.08,4.98,2.82
17,2020Q3,113336.0,27329.0,19582.0,16363.0,14728.0,457531.0,763128.0,327381.0,245467.0,435746.0,,4222.0,28581.0,5.26,14.44,3.44,1.96
18,2020Q4,142093.0,14130.0,13459.0,17105.0,16753.0,425499.0,756337.0,303486.0,222017.0,452851.0,,4063.0,23763.0,5.29,12.04,3.77,2.21
19,2021Q1,78873.0,21394.0,13214.0,11559.0,10225.0,433855.0,761008.0,292316.0,210198.0,468692.0,,3818.0,24594.0,7.02,14.66,2.21,1.35
20,2021Q2,147327.0,36306.0,27844.0,25123.0,21338.0,435810.0,766306.0,310565.0,230031.0,455742.0,,3629.0,23914.0,6.67,17.05,4.62,2.79
21,2021Q3,115596.0,31069.0,20265.0,16760.0,13636.0,439810.0,790547.0,318046.0,238240.0,472502.0,,3375.0,24794.0,8.27,14.5,2.94,1.75
22,2021Q4,103643.0,17694.0,7417.0,8113.0,7064.0,430384.0,790289.0,309675.0,230690.0,480614.0,,2742.0,25219.0,12.51,7.83,1.48,0.89
23,2022Q1,78264.0,26746.0,22064.0,18337.0,15744.0,464813.0,828912.0,330041.0,244483.0,498870.0,,3032.0,26177.0,17.35,23.43,3.21,1.94
24,2022Q2,125336.0,29916.0,22325.0,18619.0,15066.0,465949.0,827104.0,318366.0,225546.0,508738.0,,2703.0,26695.0,9.03,14.86,2.99,1.82
