Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,HVT,HVT,HVT,HVT,HVT,HVT,HVT,HVT,HVT,HVT,HVT,HVT
date,,,,,,,,,,,,
2009-05-08,5.26,0.5,1.92,26.5,26.0,26.9,26.0,900100000,0,35200,0,35200
2009-05-11,5.26,0.9,3.52,26.5,27.3,27.3,25.6,503860000,0,18600,0,18600
2009-05-12,5.36,-0.1,-0.37,27.0,27.0,27.1,27.1,190870000,0,7100,0,7100
2009-05-13,4.98,-1.8,-6.69,25.1,25.2,26.0,26.9,78360000,0,3100,0,3100
2009-05-14,4.69,-1.7,-6.72,23.6,23.6,23.6,25.3,59000000,0,2500,0,2500
2009-05-15,4.37,-1.6,-6.78,22.0,22.0,22.0,23.6,147400000,0,6700,0,6700
2009-05-18,4.07,-1.5,-6.82,20.5,20.5,20.5,22.0,10250000,0,500,0,500
2009-05-19,3.79,-1.4,-6.83,19.1,19.1,19.1,20.5,150890000,0,7900,0,7900
2009-05-20,4.05,1.3,6.81,20.4,17.8,20.4,19.1,574100000,0,30400,0,30400
2009-05-21,4.01,1.3,6.88,20.2,20.2,20.2,18.9,30300000,0,1500,0,1500
2009-05-22,4.29,1.4,6.93,21.6,21.6,21.6,20.2,153310000,0,7100,0,7100
2009-05-25,4.59,1.5,6.94,23.1,23.1,23.1,21.6,962490000,0,41700,0,41700
2009-05-26,4.8,1.1,4.76,24.2,24.5,24.7,23.1,1001980000,0,40900,0,40900
2009-05-27,4.94,0.4,1.63,24.9,24.5,25.5,24.5,526940000,0,20900,0,20900
2009-05-28,4.67,-1.7,-6.75,23.5,23.7,23.7,25.2,105840000,0,4500,0,4500
2009-05-29,4.67,0.0,0.0,23.5,22.0,24.0,23.5,65350000,0,2900,0,2900
2009-06-01,4.71,1.2,5.33,23.7,22.0,23.7,22.5,283360000,0,12100,0,12100
2009-06-02,4.76,0.6,2.56,24.0,25.0,25.0,23.4,151850000,0,6200,0,6200
2009-06-03,4.55,-1.6,-6.53,22.9,24.5,25.0,24.5,161950000,0,6900,0,6900
2009-06-04,4.98,1.6,6.81,25.1,25.0,25.1,23.5,878950000,0,35100,0,35100
2009-06-05,5.3,1.7,6.8,26.7,26.7,26.7,25.0,683520000,0,25600,0,25600
2009-06-08,5.66,1.8,6.74,28.5,28.5,28.5,26.7,1390690000,0,48800,0,48800
2009-06-09,5.66,0.0,0.0,28.5,28.5,30.4,28.5,798240000,0,27500,0,27500
2009-06-10,5.36,-2.0,-6.9,27.0,28.0,28.0,29.0,526050000,0,19400,0,19400
2009-06-11,5.42,0.2,0.74,27.3,27.0,27.5,27.1,814490000,0,30000,0,30000
2009-06-12,5.36,-0.2,-0.81,24.5,25.0,25.0,24.7,200470000,0,8200,0,8200
2009-06-15,4.96,-1.7,-6.97,22.7,22.7,22.7,24.4,52210000,0,2300,0,2300
2009-06-16,4.63,-1.5,-6.61,21.2,21.2,21.2,22.7,114480000,0,5400,0,5400
2009-06-17,4.61,-0.1,-0.47,21.1,19.8,21.2,21.2,566940000,0,28500,0,28500
2009-06-18,4.63,1.3,6.53,21.2,21.2,21.2,19.9,313760000,0,14800,0,14800
2009-06-19,4.74,0.5,2.36,21.7,22.6,22.6,21.2,95540000,0,4400,0,4400
2009-06-22,4.74,0.0,0.0,21.7,21.7,21.7,21.7,43400000,0,2000,0,2000
2009-06-23,4.42,-1.5,-6.91,20.2,20.2,20.2,21.7,10100000,0,500,0,500
2009-06-24,4.72,17.18,389.11,21.6,21.6,21.6,4.42,58320000,0,2700,0,2700
2009-06-25,4.39,15.38,325.64,20.1,23.0,23.1,4.72,31640000,0,1500,0,1500
2009-06-26,4.37,15.61,355.12,20.0,19.8,20.0,4.39,159500000,0,8000,0,8000
2009-06-29,4.07,14.23,325.39,18.6,19.3,19.3,4.37,37900000,0,2000,0,2000
2009-06-30,4.0,14.23,350.03,18.3,20.0,20.0,4.07,23660000,0,1200,0,1200
2009-07-01,4.02,14.4,359.91,18.4,18.4,18.4,4.0,228160000,0,12400,0,12400
2009-07-02,3.76,13.18,327.57,17.2,17.2,17.6,4.02,207020000,0,12000,0,12000
2009-07-03,3.94,14.24,378.69,18.0,17.5,18.0,3.76,54850000,0,3100,0,3100
2009-07-06,4.13,14.96,380.28,18.9,18.0,18.9,3.94,32680000,0,1800,0,1800
2009-07-07,4.11,14.67,354.99,18.8,19.0,19.0,4.13,58780000,0,3100,0,3100
2009-07-08,4.13,14.79,359.84,18.9,17.9,18.9,4.11,16510000,0,900,0,900
2009-07-09,3.78,13.17,318.68,17.3,17.3,17.3,4.13,1730000,0,100,0,100
