,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2008Q1,60910.0,9094.0,4475.0,3316.0,3316.0,99146.0,286971.0,101967.0,101967.0,185004.0,0.0,179.0,10000.0,0.0,5.44,3.58,2.31
1,2009Q1,34157.0,469.0,-3527.0,-3514.0,-3514.0,,,,,,,0.0,0.0,0.0,-10.29,0.0,0.0
2,2009Q2,103212.0,11293.0,4866.0,4684.0,4684.0,,,,,,,0.0,0.0,0.0,4.54,0.0,0.0
3,2009Q3,101308.0,9473.0,4412.0,3593.0,3593.0,,,,,,,0.0,0.0,0.0,3.55,0.0,0.0
4,2009Q4,124035.0,11574.0,2918.0,1978.0,1978.0,150858.0,315872.0,124170.0,123968.0,191702.0,,364.0,10362.0,0.0,1.59,2.06,1.25
5,2010Q1,85287.0,6581.0,2017.0,1513.0,1513.0,153798.0,319084.0,131469.0,131271.0,187615.0,0.0,636.0,10141.0,0.0,1.77,0.8,0.48
6,2010Q2,120600.0,9438.0,2175.0,2268.0,2268.0,145980.0,303870.0,113987.0,113691.0,189883.0,0.0,506.0,10264.0,0.0,1.88,1.2,0.73
7,2010Q3,124326.0,11339.0,3001.0,2382.0,2382.0,159789.0,312740.0,120183.0,119887.0,192557.0,0.0,465.0,10408.0,20.42,1.92,1.25,0.77
8,2010Q4,116801.0,12485.0,1992.0,844.0,844.0,130014.0,283342.0,90945.0,90558.0,192397.0,0.0,380.0,10400.0,18.18,0.72,0.44,0.28
9,2011Q1,199313.0,22329.0,3309.0,2482.0,2482.0,221499.0,369326.0,174188.0,173757.0,195139.0,0.0,432.0,10548.0,13.67,1.25,1.28,0.76
10,2011Q2,186309.0,23822.0,3566.0,1401.0,1401.0,212896.0,348758.0,158138.0,157658.0,190620.0,0.0,385.0,10304.0,11.96,0.75,0.73,0.39
11,2011Q3,133508.0,19735.0,3188.0,2406.0,2406.0,212166.0,337993.0,144289.0,143767.0,193704.0,0.0,386.0,10470.0,10.38,1.8,1.25,0.7
12,2011Q4,147210.0,22516.0,6821.0,2251.0,2251.0,162420.0,274301.0,79808.0,79309.0,194493.0,0.0,462.0,10513.0,5.63,1.53,1.16,0.74
13,2012Q1,151864.0,19647.0,4140.0,3293.0,3293.0,222231.0,326920.0,128502.0,127984.0,198418.0,0.0,505.0,10725.0,8.31,2.17,1.67,1.09
14,2012Q2,193849.0,30103.0,6358.0,3609.0,3609.0,234265.0,332902.0,138345.0,137795.0,194557.0,,625.0,10517.0,7.84,1.86,1.84,1.09
15,2012Q3,191128.0,32860.0,7763.0,5832.0,5832.0,241814.0,332388.0,131999.0,131364.0,200388.0,,810.0,10832.0,5.56,3.05,2.95,1.75
16,2012Q4,176447.0,26969.0,9483.0,6818.0,6818.0,229946.0,317809.0,112557.0,112557.0,205251.0,,1057.0,11095.0,3.97,3.86,3.36,2.1
17,2013Q1,136804.0,15356.0,-10201.0,-9898.0,-9898.0,335247.0,1200319.0,1005548.0,965548.0,194771.0,,344.0,10528.0,15.71,-7.24,-4.95,-1.31
18,2013Q2,223051.0,44638.0,10052.0,10086.0,10086.0,375501.0,1231659.0,1026801.0,986801.0,204857.0,,694.0,11073.0,6.2,4.52,5.05,0.83
19,2013Q3,254993.0,41571.0,105.0,77.0,77.0,426306.0,1323811.0,1118876.0,353708.0,204934.0,,383.0,11078.0,10.97,0.03,0.04,0.01
20,2013Q4,155709.0,11965.0,-15646.0,-15487.0,-15487.0,206484.0,1088321.0,898874.0,268800.0,189448.0,,-823.0,10240.0,-5.23,-9.95,-7.85,-1.28
21,2014Q1,207652.0,27224.0,-2370.0,-1650.0,-1650.0,355641.0,1225798.0,823500.0,308515.0,402298.0,,-377.0,10068.0,-14.59,-0.79,-0.56,-0.14
22,2014Q2,271084.0,50330.0,12999.0,13379.0,13379.0,353691.0,1211766.0,796167.0,318236.0,415599.0,,-187.0,10400.0,-25.17,4.94,3.27,1.1
23,2014Q3,277572.0,25992.0,-6957.0,-4176.0,-4176.0,297947.0,1143850.0,732804.0,276311.0,411047.0,,-314.0,10286.0,-18.48,-1.5,-1.01,-0.35
24,2014Q4,159420.0,19691.0,540.0,1644.0,1644.0,239458.0,1083811.0,670138.0,232192.0,413673.0,,297.0,10352.0,18.21,1.03,0.4,0.15
25,2015Q1,159645.0,18605.0,-6808.0,-5571.0,-5571.0,269405.0,1110309.0,704988.0,263480.0,405321.0,,147.0,10143.0,47.6,-3.49,-1.37,-0.51
26,2015Q2,252580.0,38871.0,6024.0,6101.0,6101.0,300922.0,1125514.0,714792.0,270925.0,410722.0,,-50.0,10278.0,-131.7,2.42,1.5,0.55
