Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,IDJ,IDJ,IDJ,IDJ,IDJ,IDJ,IDJ,IDJ,IDJ,IDJ,IDJ,IDJ
date,,,,,,,,,,,,
2010-09-13,6.28,-2.8,-14.0,17.2,20.0,20.0,20.0,19146400000,0,1091600,0,1091600
2010-09-14,6.07,-0.9,-5.14,16.6,18.2,18.2,17.5,8628580000,4250000000,516000,250000,766000
2010-09-15,5.77,-0.9,-5.39,15.8,16.9,16.9,16.7,12499330000,178000000,790000,10000,800000
2010-09-16,6.17,1.1,6.96,16.9,15.8,16.9,15.8,15591250000,0,930900,0,930900
2010-09-17,6.5,1.1,6.59,17.8,17.8,17.8,16.7,6163990000,425000000,346800,25000,371800
2010-09-20,6.83,0.9,5.06,18.7,19.0,19.0,17.8,17825450000,190000000,943300,10000,953300
2010-09-21,6.54,-1.0,-5.29,17.9,18.6,19.0,18.9,23006310000,0,1269700,0,1269700
2010-09-22,6.83,0.6,3.31,18.7,17.7,19.2,18.1,30243150000,0,1621400,0,1621400
2010-09-23,6.65,-0.5,-2.67,18.2,18.7,18.7,18.7,14013850000,0,774500,0,774500
2010-09-24,6.58,-0.1,-0.55,18.0,18.1,18.4,18.1,8032900000,0,443200,0,443200
2010-09-27,6.54,-0.2,-1.1,17.9,18.2,18.3,18.1,10961450000,0,611100,0,611100
2010-09-28,6.54,0.0,0.0,17.9,18.1,18.5,17.9,12228890000,437500000,674300,25000,699300
2010-09-29,6.17,-1.2,-6.63,16.9,17.5,17.9,18.1,13619680000,0,796100,0,796100
2010-09-30,6.21,-0.1,-0.58,17.0,17.1,17.2,17.1,8639660000,0,513200,0,513200
2010-10-01,5.96,-0.5,-2.98,16.3,17.1,17.2,16.8,5025260000,0,306400,0,306400
2010-10-04,5.7,-0.8,-4.88,15.6,16.3,16.3,16.4,13172160000,875000000,847100,50000,897100
2010-10-05,5.85,0.4,2.56,16.0,15.2,16.0,15.6,7278620000,0,469500,0,469500
2010-10-06,5.99,0.9,5.81,16.4,16.0,16.5,15.5,11250630000,727000000,697500,50000,747500
2010-10-07,5.7,-0.5,-3.11,15.6,16.1,16.5,16.1,6956530000,0,434700,0,434700
2010-10-08,5.63,-0.6,-3.75,15.4,15.5,15.9,16.0,5885150000,0,380700,0,380700
2010-10-11,5.52,-0.4,-2.58,15.1,15.4,15.5,15.5,5731490000,0,379100,0,379100
2010-10-12,5.37,-0.4,-2.65,14.7,15.0,15.4,15.1,5426790000,151000000,365000,10000,375000
2010-10-13,5.41,-0.1,-0.67,14.8,15.1,15.1,14.9,3460400000,0,234200,0,234200
2010-10-14,5.41,0.0,0.0,14.8,15.1,15.3,14.8,4692840000,0,314600,0,314600
