Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,IDV,IDV,IDV,IDV,IDV,IDV,IDV,IDV,IDV,IDV,IDV,IDV
date,,,,,,,,,,,,
2010-06-01,2.97,-14.5,-25.22,43.0,57.5,57.5,57.5,238840000,0,5400,0,5400
2010-06-02,2.84,-3.0,-6.79,41.2,47.2,47.2,44.2,445510000,0,10600,0,10600
2010-06-03,2.7,-2.9,-6.9,39.1,39.1,39.5,42.0,277810000,0,7100,0,7100
2010-06-04,2.51,-2.7,-6.91,36.4,36.5,36.5,39.1,229330000,0,6300,0,6300
2010-06-07,2.49,-0.4,-1.1,36.0,33.9,36.0,36.4,434620000,0,12600,0,12600
2010-06-08,2.44,0.9,2.61,35.4,36.0,36.0,34.5,42360000,0,1200,0,1200
2010-06-09,2.45,0.2,0.57,35.5,37.0,37.0,35.3,199380000,0,5700,0,5700
2010-06-10,2.28,-2.0,-5.71,33.0,35.0,35.0,35.0,33750000,0,1000,0,1000
2010-06-11,2.18,-2.2,-6.51,31.6,32.0,32.0,33.8,152720000,0,4800,0,4800
2010-06-14,2.2,0.0,0.0,31.8,30.0,31.8,31.8,390460000,0,12600,0,12600
2010-06-15,2.14,0.0,0.0,31.0,30.1,31.0,31.0,300880000,0,9900,0,9900
2010-06-16,2.24,2.1,6.91,32.5,32.5,32.5,30.4,204750000,0,6300,0,6300
2010-06-17,2.4,2.2,6.77,34.7,34.5,34.7,32.5,190630000,0,5500,0,5500
2010-06-18,2.38,-0.3,-0.86,34.4,32.3,34.4,34.7,231340000,0,7000,0,7000
2010-06-21,2.31,0.5,1.52,33.5,35.3,35.3,33.0,324630000,0,9800,0,9800
2010-06-22,2.13,-2.3,-6.95,30.8,33.0,33.0,33.1,143870000,0,4500,0,4500
2010-06-23,2.11,-1.5,-4.69,30.5,33.0,33.0,32.0,323370000,0,10600,0,10600
2010-06-24,2.09,-0.3,-0.98,30.2,30.5,32.0,30.5,264920000,0,8600,0,8600
2010-06-25,2.04,-1.3,-4.22,29.5,29.5,29.6,30.8,44250000,0,1500,0,1500
2010-06-28,2.18,2.0,6.78,31.5,29.1,31.5,29.5,367690000,0,11900,0,11900
2010-06-29,2.28,2.1,6.8,33.0,31.9,33.0,30.9,2169040000,0,65800,0,65800
2010-06-30,2.42,2.1,6.36,35.1,34.0,35.3,33.0,1093070000,0,32100,0,32100
2010-07-01,2.37,0.2,0.59,34.3,35.9,36.0,34.1,597980000,0,17200,0,17200
2010-07-02,2.36,-0.6,-1.72,34.2,34.4,37.2,34.8,872480000,0,24700,0,24700
2010-07-05,2.49,0.7,1.98,36.0,36.5,37.6,35.3,406480000,0,10900,0,10900
2010-07-06,2.4,-2.6,-6.97,34.7,36.0,37.9,37.3,745910000,0,20500,0,20500
2010-07-07,2.34,-2.5,-6.87,33.9,36.4,36.4,36.4,407220000,0,11700,0,11700
2010-07-08,2.27,-1.9,-5.46,32.9,34.7,36.4,34.8,785710000,0,22100,0,22100
2010-07-09,2.31,-2.2,-6.18,33.4,35.9,35.9,35.6,674740000,0,19800,0,19800
