,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2016Q1,16862.0,3811.0,2279.0,1673.0,1673.0,77160.0,108892.0,33973.0,26005.0,74919.0,,246.0,11017.0,47.95,9.92,2.26,1.54
1,2016Q2,35779.0,4950.0,2650.0,1858.0,1858.0,100214.0,128428.0,53032.0,44721.0,75396.0,,519.0,11088.0,13.09,5.19,2.47,1.57
2,2016Q3,12909.0,513.0,767.0,318.0,318.0,79870.0,105027.0,29802.0,28452.0,75226.0,,566.0,11063.0,13.07,2.46,0.42,0.27
3,2016Q4,8816.0,665.0,288.0,106.0,106.0,69367.0,94961.0,19699.0,15439.0,75262.0,,580.0,0.0,23.97,1.2,0.14,0.11
4,2017Q1,9239.0,1624.0,1448.0,1158.0,1158.0,63789.0,92305.0,17195.0,12631.0,75109.0,,500.0,10579.0,8.21,12.53,1.55,1.29
5,2017Q2,13502.0,-401.0,876.0,697.0,697.0,47472.0,86373.0,10567.0,6559.0,75806.0,,327.0,10677.0,14.05,5.16,0.92,0.78
6,2017Q3,6503.0,445.0,158.0,125.0,125.0,38009.0,88596.0,13246.0,9557.0,75350.0,,296.0,10613.0,12.82,1.93,0.17,0.14
7,2017Q4,10068.0,567.0,32.0,25.0,25.0,30053.0,82073.0,6698.0,3328.0,75375.0,,283.0,10616.0,9.91,0.25,0.03,0.03
8,2018Q1,6622.0,517.0,109.0,86.0,86.0,33230.0,84616.0,9691.0,6667.0,74924.0,,132.0,10553.0,19.77,1.31,0.12,0.1
9,2018Q2,3550.0,440.0,78.0,13.0,13.0,24810.0,75741.0,803.0,62.0,74938.0,,35.0,10555.0,93.54,0.38,0.02,0.02
10,2018Q3,747.0,-6986.0,-7123.0,19.0,19.0,62831.0,75505.0,720.0,371.0,74786.0,,20.0,10533.0,167.51,2.54,0.03,0.03
11,2018Q4,3568.0,2940.0,2763.0,2225.0,2225.0,75357.0,81516.0,4491.0,4170.0,77024.0,,330.0,10849.0,12.72,62.37,2.93,2.83
12,2019Q1,11456.0,1273.0,924.0,739.0,739.0,128421.0,133954.0,57318.0,57025.0,76636.0,0.0,422.0,10794.0,7.58,6.45,0.97,0.67
13,2019Q2,18092.0,1100.0,1080.0,1168.0,1168.0,69119.0,100021.0,22216.0,22216.0,77804.0,,585.0,10958.0,5.47,6.46,1.51,1.0
14,2019Q3,15700.0,715.0,14.0,11.0,11.0,68474.0,98747.0,20932.0,20932.0,77816.0,,584.0,10960.0,4.63,0.07,0.01,0.01
15,2019Q4,4182.0,-21.0,-144.0,14.0,14.0,74190.0,101188.0,23358.0,23358.0,77830.0,,272.0,10962.0,8.81,0.34,0.02,0.01
16,2020Q1,7024.0,171.0,91.0,73.0,73.0,77374.0,105806.0,27864.0,27864.0,77942.0,,178.0,10978.0,9.53,1.03,0.09,0.07
17,2020Q2,,,-701.0,-701.0,-701.0,77667.0,104311.0,27780.0,27780.0,76531.0,,-85.0,10779.0,-23.56,0.0,-0.91,-0.67
18,2020Q3,,,-563.0,-566.0,-566.0,76970.0,103197.0,27233.0,27233.0,75965.0,,-166.0,10699.0,-12.03,0.0,-0.74,-0.55
19,2020Q4,5033.0,16.0,13.0,13.0,13.0,57355.0,97772.0,21793.0,21793.0,75979.0,,-166.0,10701.0,-14.43,0.27,0.02,0.01
20,2021Q1,,,167.0,4.0,4.0,72814.0,92710.0,14813.0,14813.0,77897.0,,-176.0,10971.0,-45.45,0.0,0.01,0.0
21,2021Q2,21207.0,1168.0,1162.0,841.0,841.0,82439.0,83366.0,4628.0,4628.0,78738.0,,41.0,11090.0,177.27,3.97,1.07,0.96
22,2021Q3,,,-34.0,278.0,278.0,83468.0,84032.0,5016.0,5016.0,79016.0,,160.0,11129.0,46.83,0.0,0.35,0.33
23,2021Q4,,,-94.0,-8.0,-8.0,83043.0,83313.0,4550.0,4550.0,78763.0,,157.0,11093.0,64.3,0.0,-0.01,-0.01
24,2022Q1,,,67.0,54.0,54.0,82228.0,82449.0,4491.0,4491.0,77957.0,,164.0,10980.0,143.83,0.0,0.07,0.07
25,2022Q2,1903.0,54.0,-112.0,1.0,1.0,32425.0,82604.0,4546.0,4546.0,78058.0,,46.0,10994.0,301.33,0.08,0.0,0.0
