,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2009Q2,454758.0,11371.0,3645.0,3657.0,3657.0,140136.0,193839.0,88058.0,86720.0,105781.0,0.0,412.0,11924.0,0.0,0.8,6.91,3.77
1,2010Q3,346987.0,13986.0,1227.0,815.0,815.0,204415.0,261612.0,140954.0,139661.0,120657.0,0.0,83.0,12254.0,0.0,0.23,1.35,0.62
2,2010Q4,299470.0,18148.0,5141.0,4624.0,4624.0,378080.0,452840.0,327559.0,325121.0,125281.0,0.0,552.0,12723.0,20.82,1.54,3.76,1.29
3,2011Q1,378467.0,26232.0,5467.0,4089.0,4089.0,172277.0,246789.0,117443.0,114979.0,129346.0,0.0,968.0,13136.0,10.75,1.08,3.21,1.17
4,2011Q2,290526.0,12938.0,3210.0,2414.0,2414.0,156389.0,230749.0,111358.0,108707.0,119392.0,0.0,1213.0,12125.0,6.27,0.83,1.94,1.01
5,2011Q3,284945.0,10115.0,1749.0,1358.0,1358.0,157122.0,232310.0,111560.0,109320.0,120750.0,0.0,1268.0,12263.0,5.68,0.48,1.13,0.59
6,2011Q4,286013.0,20724.0,7854.0,5910.0,5910.0,294845.0,368637.0,241706.0,239339.0,126931.0,0.0,1399.0,12891.0,3.5,2.07,4.77,1.97
7,2012Q1,328101.0,11995.0,338.0,1722.0,1722.0,285375.0,360769.0,239280.0,237119.0,121489.0,,1158.0,12338.0,5.79,0.52,1.43,0.47
8,2012Q2,274266.0,8417.0,-747.0,-342.0,-342.0,155666.0,233807.0,118436.0,116387.0,115371.0,,878.0,11717.0,6.26,-0.12,-0.29,-0.11
9,2012Q3,490531.0,11501.0,1302.0,1013.0,1013.0,387789.0,465373.0,349188.0,347285.0,116184.0,,843.0,11799.0,5.69,0.21,0.87,0.29
10,2012Q4,254873.0,12404.0,1189.0,891.0,891.0,178845.0,257414.0,140339.0,138207.0,117076.0,,333.0,11890.0,13.19,0.35,0.76,0.25
11,2013Q1,454146.0,13591.0,2092.0,1569.0,1569.0,393545.0,476134.0,357489.0,354623.0,118645.0,,318.0,12049.0,22.33,0.35,1.33,0.43
12,2013Q2,311237.0,13586.0,1416.0,1138.0,1138.0,244500.0,326250.0,209422.0,208133.0,116828.0,,468.0,11865.0,9.61,0.37,0.97,0.28
13,2013Q3,413592.0,15833.0,648.0,493.0,493.0,281006.0,357220.0,239899.0,238610.0,117321.0,,416.0,11915.0,12.75,0.12,0.42,0.14
14,2013Q4,239122.0,8109.0,-2300.0,-1218.0,-1218.0,157592.0,233759.0,117656.0,116019.0,116103.0,,201.0,11791.0,18.88,-0.51,-1.04,-0.41
15,2014Q1,145482.0,8671.0,211.0,165.0,165.0,175247.0,250719.0,134451.0,132864.0,116267.0,,59.0,11808.0,131.27,0.11,0.14,0.07
16,2014Q2,302941.0,13681.0,450.0,1096.0,1096.0,172914.0,248408.0,133028.0,131440.0,115381.0,,54.0,11718.0,101.27,0.36,0.95,0.44
17,2014Q3,450995.0,17383.0,706.0,586.0,586.0,323548.0,400424.0,284457.0,282639.0,115967.0,,64.0,11777.0,112.88,0.13,0.51,0.18
18,2014Q4,383749.0,14687.0,-1042.0,296.0,296.0,264774.0,334858.0,218595.0,218595.0,116263.0,,218.0,11807.0,26.66,0.08,0.25,0.08
19,2015Q1,351768.0,12431.0,113.0,89.0,89.0,315351.0,386127.0,269775.0,269775.0,116352.0,,210.0,11816.0,27.16,0.03,0.08,0.02
20,2015Q2,473286.0,17399.0,1865.0,1497.0,1497.0,459342.0,530779.0,415072.0,415072.0,115707.0,,251.0,11751.0,25.93,0.32,1.29,0.33
21,2015Q3,647226.0,41183.0,858.0,811.0,811.0,482796.0,554028.0,437510.0,437510.0,116517.0,,273.0,11833.0,35.83,0.13,0.7,0.15
22,2015Q4,430402.0,21869.0,-1774.0,863.0,863.0,436643.0,514635.0,397255.0,397255.0,117380.0,,331.0,11921.0,23.86,0.2,0.74,0.16
23,2016Q1,500495.0,30370.0,4077.0,3278.0,3278.0,549290.0,638214.0,517582.0,517582.0,120632.0,,655.0,12251.0,10.99,0.65,2.75,0.56
