Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,LIX,LIX,LIX,LIX,LIX,LIX,LIX,LIX,LIX,LIX,LIX,LIX
date,,,,,,,,,,,,
2009-12-10,7.32,-10.5,-14.58,61.5,63.0,58.0,58.0,2715850000,0,44150,0,44150
2009-12-11,7.14,-1.5,-2.44,60.0,63.0,59.0,63.0,2968720000,0,49210,0,49210
2009-12-14,7.37,2.0,3.33,62.0,63.0,58.0,63.0,1047340000,0,16910,0,16910
2009-12-15,7.37,0.0,0.0,62.0,62.0,59.0,62.0,837830000,0,13870,0,13870
2009-12-16,7.02,-3.0,-4.84,59.0,60.0,59.0,59.0,236600000,0,4010,0,4010
2009-12-17,6.72,-2.5,-4.24,56.5,56.5,56.5,56.5,226000000,0,4000,0,4000
2009-12-18,6.72,0.0,0.0,56.5,56.5,54.0,54.0,3650350000,0,67190,0,67190
2009-12-21,6.9,1.5,2.65,58.0,58.5,54.0,56.5,1394350000,0,24900,0,24900
2009-12-22,6.84,-0.5,-0.86,57.5,58.0,56.0,57.0,1704815000,0,29960,0,29960
2009-12-23,6.9,0.5,0.87,58.0,58.0,56.0,57.5,596765000,0,10550,0,10550
2009-12-24,6.66,-2.0,-3.45,56.0,58.0,56.0,58.0,2003310000,0,35710,0,35710
2009-12-25,6.9,2.0,3.57,58.0,58.0,55.0,57.0,1633410000,0,28710,0,28710
2009-12-28,6.9,0.0,0.0,58.0,59.5,58.0,59.5,1759150000,0,30120,0,30120
2009-12-29,6.78,-1.0,-1.72,57.0,59.0,57.0,59.0,664700000,0,11600,0,11600
2009-12-30,7.08,2.5,4.39,59.5,59.5,58.0,58.0,2862125000,0,48250,0,48250
2009-12-31,7.37,2.5,4.2,62.0,62.0,61.5,62.0,6811440000,0,109870,0,109870
2010-01-04,7.73,3.0,4.84,65.0,65.0,65.0,65.0,1599650000,0,24610,0,24610
2010-01-05,8.09,3.0,4.62,68.0,68.0,68.0,68.0,1980840000,0,29130,0,29130
2010-01-06,8.45,3.0,4.41,71.0,71.0,70.0,70.0,9194240000,0,130030,0,130030
2010-01-07,8.45,0.0,0.0,71.0,73.0,68.0,73.0,1342585000,0,19130,0,19130
2010-01-08,8.15,-2.5,-3.52,68.5,70.5,68.5,70.0,2580635000,0,37030,0,37030
2010-01-11,7.85,-2.5,-3.65,66.0,68.0,66.0,67.5,2809065000,0,41770,0,41770
2010-01-12,7.61,-2.0,-3.03,64.0,67.5,64.0,66.0,2081875000,0,31700,0,31700
2010-01-13,7.49,-1.0,-1.56,63.0,66.0,62.0,66.0,4125015000,0,66030,0,66030
2010-01-14,7.85,3.0,4.76,66.0,66.0,65.0,66.0,2094820000,0,31770,0,31770
2010-01-15,7.91,0.5,0.76,66.5,67.0,65.5,67.0,654600000,0,9850,0,9850
2010-01-18,7.55,-3.0,-4.51,63.5,65.0,63.5,65.0,1238485000,0,19470,0,19470
2010-01-19,7.61,0.5,0.79,64.0,64.5,63.0,63.5,886310000,0,13860,0,13860
2010-01-20,7.49,-1.0,-1.56,63.0,65.0,63.0,65.0,2137100000,0,33840,0,33840
2010-01-21,7.14,-3.0,-4.76,60.0,63.0,60.0,60.0,1856290000,0,30880,0,30880
2010-01-22,7.2,0.5,0.83,60.5,60.5,58.0,58.5,489075000,0,8120,0,8120
2010-01-25,7.2,0.0,0.0,60.5,61.5,60.0,61.5,232055000,0,3820,0,3820
2010-01-26,7.55,3.0,4.96,63.5,63.5,63.5,63.5,1148080000,0,18080,0,18080
2010-01-27,7.61,0.5,0.79,64.0,64.5,63.5,64.5,1360685000,0,21250,0,21250
2010-01-28,7.43,-1.5,-2.34,62.5,65.0,61.5,65.0,87235000,0,1400,0,1400
2010-01-29,7.49,0.5,0.8,63.0,63.5,60.5,62.5,723105000,0,11720,0,11720
2010-02-01,7.49,0.0,0.0,63.0,65.0,63.0,65.0,130020000,0,2050,0,2050
2010-02-02,7.43,-0.5,-0.79,62.5,63.0,62.5,63.0,561505000,0,8960,0,8960
2010-02-03,7.49,0.5,0.8,63.0,63.0,62.0,62.5,371915000,0,5950,0,5950
2010-02-04,7.49,0.0,0.0,63.0,63.5,61.5,61.5,865835000,0,13760,0,13760
2010-02-05,7.49,0.0,0.0,63.0,63.0,63.0,63.0,41580000,0,660,0,660
2010-02-08,7.32,-1.5,-2.38,61.5,63.0,61.5,63.0,177525000,0,2870,0,2870
2010-02-09,7.2,-1.0,-1.63,60.5,62.0,60.5,61.0,514490000,0,8440,0,8440
2010-02-10,7.43,2.0,3.31,62.5,62.5,61.0,62.0,173585000,0,2830,0,2830
2010-02-11,7.43,0.0,0.0,62.5,63.0,61.5,62.0,654050000,0,10480,0,10480
2010-02-12,7.55,1.0,1.6,63.5,64.0,62.5,64.0,293440000,0,4640,0,4640
2010-02-22,7.61,0.5,0.79,64.0,64.0,63.0,64.0,92400000,0,1450,0,1450
2010-02-23,7.26,-3.0,-4.69,61.0,63.0,61.0,63.0,1072680000,0,17580,0,17580
2010-02-24,7.08,-1.5,-2.46,59.5,60.0,59.5,60.0,1588265000,0,26540,0,26540
2010-02-25,7.26,1.5,2.52,61.0,62.0,61.0,62.0,97700000,0,1600,0,1600
2010-02-26,7.32,0.5,0.82,61.5,61.5,61.5,61.5,122385000,0,1990,0,1990
2010-03-01,7.37,0.5,0.81,62.0,62.0,61.5,62.0,235785000,0,3820,0,3820
2010-03-02,7.32,-0.5,-0.81,61.5,62.0,61.5,62.0,314035000,0,5090,0,5090
2010-03-03,7.37,0.5,0.81,62.0,62.0,61.5,62.0,264860000,0,4280,0,4280
2010-03-04,7.43,0.5,0.81,62.5,63.0,62.0,62.0,651365000,0,10440,0,10440
2010-03-05,7.43,0.0,0.0,62.5,63.0,62.0,62.0,1090465000,0,17570,0,17570
2010-03-08,7.43,0.0,0.0,62.5,64.0,62.5,62.5,347425000,0,5520,0,5520
2010-03-09,7.61,1.5,2.4,64.0,64.0,62.5,62.5,716360000,0,11380,0,11380
2010-03-10,7.67,0.5,0.78,64.5,64.5,62.5,64.0,1744620000,0,27370,0,27370
2010-03-11,8.03,3.0,4.65,67.5,67.5,65.5,66.0,7365260000,0,109830,0,109830
2010-03-12,8.33,2.5,3.7,70.0,70.5,68.5,70.0,4101245000,0,58950,0,58950
2010-03-15,8.45,1.0,1.43,71.0,72.0,68.0,70.0,2861730000,0,41570,0,41570
2010-03-16,8.03,-3.5,-4.93,67.5,69.0,67.5,68.0,2032775000,0,30030,0,30030
2010-03-17,7.97,-0.5,-0.74,67.0,69.0,64.5,69.0,3276085000,0,50370,0,50370
2010-03-18,7.97,0.0,0.0,67.0,67.0,64.0,67.0,1014000000,0,15540,0,15540
2010-03-19,7.67,-2.5,-3.73,64.5,67.0,64.0,67.0,836550000,0,12970,0,12970
2010-03-22,7.55,-1.0,-1.55,63.5,64.5,63.0,64.5,599040000,0,9420,0,9420
2010-03-23,7.26,-2.5,-3.94,61.0,63.0,60.5,63.0,2132260000,0,34560,0,34560
2010-03-24,7.55,2.5,4.1,63.5,63.5,61.5,62.0,4140805000,0,66410,0,66410
2010-03-25,7.55,0.0,0.0,63.5,63.5,61.5,63.5,217290000,1765300000,3510,27800,31310
2010-03-26,7.55,0.0,0.0,63.5,63.5,62.5,63.5,663335000,0,10560,0,10560
2010-03-29,7.49,-0.5,-0.79,63.0,65.5,63.0,63.5,179095000,0,2840,0,2840
2010-03-30,7.26,-2.0,-3.17,61.0,63.0,61.0,63.0,1427420000,0,23240,0,23240
2010-03-31,7.37,1.0,1.64,62.0,62.0,59.5,62.0,663620000,2305800000,11020,37800,48820
2010-04-01,7.49,1.0,1.61,63.0,64.0,60.0,62.5,1360050000,0,22220,0,22220
2010-04-02,7.49,0.0,0.0,63.0,63.5,63.0,63.0,3187805000,0,50600,0,50600
2010-04-05,7.73,2.0,3.17,65.0,65.0,63.5,63.5,2016185000,0,31390,0,31390
2010-04-06,7.61,-1.0,-1.54,64.0,65.0,64.0,65.0,1428150000,0,22100,0,22100
2010-04-07,7.67,0.5,0.78,64.5,64.5,63.0,63.0,1087660000,2404745000,16990,37870,54860
2010-04-08,7.67,0.0,0.0,64.5,64.5,63.5,64.5,3490775000,0,54490,0,54490
2010-04-09,7.85,1.5,2.33,66.0,67.5,64.5,64.5,3502410000,0,53360,0,53360
2010-04-12,8.21,3.0,4.55,69.0,69.0,66.5,67.0,12089090000,0,176410,0,176410
2010-04-13,8.56,3.0,4.35,72.0,72.0,69.0,70.5,22923360000,0,320080,0,320080
2010-04-14,8.98,3.5,4.86,75.5,75.5,72.0,74.5,23181720000,0,309030,0,309030
2010-04-15,8.98,0.0,0.0,75.5,76.5,74.5,76.5,6913950000,0,90940,0,90940
2010-04-16,8.8,-1.5,-1.99,74.0,76.0,73.0,74.5,9189360000,0,122900,0,122900
2010-04-19,8.8,0.0,0.0,74.0,74.5,72.0,73.5,7830690000,0,106890,0,106890
2010-04-20,9.22,3.5,4.73,77.5,77.5,74.0,74.0,12152800000,0,157410,0,157410
2010-04-21,9.28,0.5,0.65,78.0,80.0,77.5,80.0,3352090000,0,42260,0,42260
2010-04-22,9.28,0.0,0.0,78.0,79.0,78.0,78.0,5673000000,0,72830,0,72830
2010-04-26,9.1,-1.5,-1.92,76.5,78.0,76.5,78.0,4592605000,0,59670,0,59670
2010-04-27,9.1,0.0,0.0,76.5,76.5,75.0,76.5,2839760000,0,37200,0,37200
2010-04-28,9.04,-0.5,-0.65,76.0,76.0,74.5,74.5,3433675000,0,45470,0,45470
2010-04-29,9.23,1.5,2.05,74.5,76.5,73.5,76.5,3184635000,0,42860,0,42860
2010-05-04,9.23,0.0,0.0,74.5,75.0,73.5,73.5,3062640000,0,41200,0,41200
2010-05-05,9.23,0.0,0.0,74.5,74.5,73.0,73.0,836630000,0,11240,0,11240
2010-05-06,9.1,-1.0,-1.34,73.5,74.0,73.5,74.0,1031110000,0,14010,0,14010
2010-05-07,9.1,0.0,0.0,73.5,73.5,72.0,73.5,2841900000,0,39250,0,39250
2010-05-10,9.29,1.5,2.04,75.0,75.0,71.0,71.0,3765135000,0,50610,0,50610
2010-05-11,9.72,3.5,4.67,78.5,78.5,75.0,76.5,13031405000,0,169020,0,169020
2010-05-12,9.41,-2.5,-3.18,76.0,78.5,75.5,78.5,1108300000,0,14440,0,14440
2010-05-13,9.47,0.5,0.66,76.5,77.0,76.0,76.0,1792195000,0,23420,0,23420
2010-05-14,9.47,0.0,0.0,76.5,77.0,76.5,76.5,3221610000,0,41940,0,41940
2010-05-17,9.29,-1.5,-1.96,75.0,78.0,75.0,78.0,2577000000,0,33970,0,33970
2010-05-18,9.47,1.5,2.0,76.5,76.5,73.0,73.0,139555000,0,1870,0,1870
2010-05-19,9.16,-2.5,-3.27,74.0,75.0,73.5,74.0,1994000000,0,26950,0,26950
2010-05-20,9.23,0.5,0.68,74.5,74.5,73.0,73.5,2325500000,0,31500,0,31500
2010-05-21,8.79,-3.5,-4.7,71.0,73.5,71.0,71.5,10968395000,0,154300,0,154300
2010-05-24,8.92,1.0,1.41,72.0,72.0,71.0,71.0,1141000000,0,16000,0,16000
2010-05-25,8.67,-2.0,-2.78,70.0,73.0,70.0,73.0,800700000,0,11010,0,11010
2010-05-26,9.1,3.5,5.0,73.5,73.5,72.0,72.0,275250000,0,3800,0,3800
2010-05-27,9.16,0.5,0.68,74.0,74.0,70.5,72.0,1452745000,0,20010,0,20010
2010-05-28,9.16,0.0,0.0,74.0,75.0,74.0,75.0,52010000,0,700,0,700
2010-05-31,9.16,0.0,0.0,74.0,74.0,74.0,74.0,7400000,0,100,0,100
2010-06-01,9.16,0.0,0.0,74.0,74.0,73.0,73.0,292540000,0,3960,0,3960
2010-06-02,9.29,1.0,1.35,75.0,75.0,73.0,73.0,346985000,1480000000,4720,20000,24720
2010-06-03,9.16,-1.0,-1.33,74.0,76.0,74.0,76.0,525800000,0,7100,0,7100
2010-06-04,9.16,0.0,0.0,74.0,74.0,74.0,74.0,1198800000,0,16200,0,16200
2010-06-07,9.1,-0.5,-0.68,73.5,73.5,71.0,72.0,428235000,0,5910,0,5910
2010-06-08,9.1,0.0,0.0,73.5,73.5,71.0,71.0,305900000,0,4200,0,4200
2010-06-09,9.04,-0.5,-0.68,73.0,73.0,73.0,73.0,73000000,0,1000,0,1000
2010-06-10,9.04,0.0,0.0,73.0,73.0,73.0,73.0,573780000,0,7860,0,7860
2010-06-11,9.1,0.5,0.68,73.5,74.0,73.5,74.0,2136945000,0,29070,0,29070
2010-06-14,9.1,0.0,0.0,73.5,75.0,72.5,75.0,299000000,0,4080,0,4080
2010-06-15,9.04,-0.5,-0.68,73.0,73.0,73.0,73.0,407340000,0,5580,0,5580
2010-06-16,9.16,1.0,1.37,74.0,74.0,74.0,74.0,3700000,0,50,0,50
2010-06-17,9.16,0.0,0.0,74.0,75.0,73.5,73.5,437660000,0,5940,0,5940
2010-06-18,9.16,0.0,0.0,74.0,75.0,74.0,74.0,1381385000,0,18630,0,18630
2010-06-21,9.16,0.0,0.0,74.0,74.0,73.5,74.0,1014425000,0,13720,0,13720
2010-06-22,9.23,0.5,0.68,74.5,74.5,73.5,73.5,3754100000,0,50940,0,50940
2010-06-23,9.16,-0.5,-0.67,74.0,74.0,73.5,74.0,1619240000,0,22010,0,22010
2010-06-24,9.16,0.0,0.0,74.0,74.0,73.5,74.0,3238480000,0,44020,0,44020
2010-06-25,9.16,0.0,0.0,74.0,74.0,73.5,74.0,2483350000,0,33650,0,33650
2010-06-28,9.16,0.0,0.0,74.0,74.0,74.0,74.0,22200000,0,300,0,300
2010-06-29,9.04,-1.0,-1.35,73.0,74.0,72.5,72.5,113815000,0,1560,0,1560
2010-06-30,9.16,1.0,1.37,74.0,74.0,72.0,73.0,766500000,0,10500,0,10500
2010-07-01,8.98,-1.5,-2.03,72.5,74.0,72.5,73.0,980580000,0,13420,0,13420
2010-07-02,9.04,0.5,0.69,73.0,73.0,73.0,73.0,142350000,0,1950,0,1950
2010-07-05,9.16,1.0,1.37,74.0,74.0,74.0,74.0,740000,0,10,0,10
2010-07-06,9.16,0.0,0.0,74.0,74.0,72.5,72.5,147980000,0,2020,0,2020
2010-07-07,9.04,-1.0,-1.35,73.0,74.0,73.0,74.0,81040000,0,1110,0,1110
2010-07-08,9.16,1.0,1.37,74.0,74.0,74.0,74.0,1165500000,0,15750,0,15750
2010-07-09,9.23,0.5,0.68,74.5,74.5,74.0,74.0,330105000,0,4460,0,4460
2010-07-12,9.23,0.0,0.0,74.5,74.5,74.5,74.5,0,0,0,0,0
2010-07-13,9.16,-0.5,-0.67,74.0,75.0,74.0,75.0,222750000,0,3010,0,3010
2010-07-14,9.16,0.0,0.0,74.0,74.0,74.0,74.0,0,0,0,0,0
2010-07-15,9.16,0.0,0.0,74.0,75.0,74.0,75.0,1562150000,0,21110,0,21110
2010-07-16,9.16,0.0,0.0,74.0,74.0,74.0,74.0,595700000,0,8050,0,8050
