Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS,MBS
date,,,,,,,,,,,,
2016-03-28,2.41,-2.3,-23.0,7.7,10.0,10.0,10.0,2648940000,0,339100,0,339100
2016-03-29,2.29,-0.4,-5.19,7.3,7.7,7.8,7.7,1393010000,0,182400,0,182400
2016-03-30,2.29,0.0,0.0,7.3,7.5,7.5,7.3,339946000,0,46470,0,46470
2016-03-31,2.13,-0.5,-6.85,6.8,7.2,7.3,7.3,2226820000,0,317900,0,317900
2016-04-01,2.04,-0.3,-4.41,6.5,6.8,6.9,6.8,1306080000,0,195200,0,195200
2016-04-04,2.04,0.0,0.0,6.5,6.4,6.7,6.5,559930000,0,85100,0,85100
2016-04-05,2.13,0.3,4.62,6.8,6.4,6.8,6.5,769940000,0,118200,0,118200
2016-04-06,2.04,-0.3,-4.41,6.5,6.8,6.8,6.8,148700000,0,22600,0,22600
2016-04-07,2.04,0.0,0.0,6.5,6.7,6.7,6.5,310765000,0,47330,0,47330
2016-04-08,2.01,-0.1,-1.54,6.4,6.5,6.5,6.5,232035000,0,36230,0,36230
2016-04-11,2.1,0.3,4.69,6.7,6.4,6.7,6.4,504150000,0,77100,0,77100
2016-04-12,2.1,0.0,0.0,6.7,6.5,6.7,6.7,80890000,0,12300,0,12300
2016-04-13,2.04,-0.2,-2.99,6.5,6.5,6.6,6.7,205486000,0,31552,0,31552
2016-04-14,2.01,-0.1,-1.54,6.4,6.5,6.5,6.5,521390000,59000,81300,10,81310
2016-04-15,2.01,0.0,0.0,6.4,6.4,6.6,6.4,795194800,0,123385,0,123385
2016-04-19,1.94,-0.2,-3.13,6.2,6.5,6.5,6.4,239256800,0,37537,0,37537
2016-04-20,2.01,0.2,3.23,6.4,6.3,6.4,6.2,772104500,0,124015,0,124015
2016-04-21,1.94,-0.2,-3.13,6.2,6.3,6.3,6.4,614682500,0,99925,0,99925
2016-04-22,1.94,0.0,0.0,6.2,6.1,6.2,6.2,1019939400,0,167737,0,167737
2016-04-25,2.01,0.2,3.23,6.4,6.3,6.4,6.2,428470000,0,68000,0,68000
2016-04-26,1.94,-0.2,-3.13,6.2,6.2,6.2,6.4,353994000,0,57620,0,57620
2016-04-27,1.94,0.0,0.0,6.2,6.2,6.3,6.2,149362000,0,24210,0,24210
2016-04-28,1.88,-0.2,-3.23,6.0,6.2,6.3,6.2,631894000,0,104740,0,104740
2016-04-29,1.91,0.1,1.67,6.1,6.1,6.1,6.0,337060000,0,55940,0,55940
2016-05-04,1.88,-0.1,-1.64,6.0,5.5,6.1,6.1,215406500,0,36075,0,36075
2016-05-05,1.88,0.0,0.0,6.0,5.9,6.0,6.0,471550000,0,79800,0,79800
2016-05-06,1.88,0.0,0.0,6.0,6.0,6.0,6.0,196162600,0,33018,0,33018
2016-05-09,1.82,-0.2,-3.33,5.8,5.9,6.0,6.0,194509000,0,33150,0,33150
2016-05-10,1.88,0.2,3.45,6.0,5.8,6.0,5.8,145049000,0,24710,0,24710
2016-05-11,1.88,0.0,0.0,6.0,5.9,6.0,6.0,95452400,0,16144,0,16144
2016-05-12,1.88,0.0,0.0,6.0,6.0,6.0,6.0,51811800,0,8702,0,8702
2016-05-13,1.85,-0.1,-1.67,5.9,6.0,6.0,6.0,246368000,0,41610,0,41610
2016-05-16,1.88,0.1,1.69,6.0,5.9,6.1,5.9,303470000,0,50700,0,50700
2016-05-17,1.91,0.1,1.67,6.1,6.0,6.1,6.0,359981000,0,59910,0,59910
2016-05-18,1.88,-0.1,-1.64,6.0,6.0,6.1,6.1,103210000,0,17200,0,17200
2016-05-19,1.88,0.0,0.0,6.0,6.0,6.0,6.0,96600000,0,16100,0,16100
2016-05-20,1.88,0.0,0.0,6.0,6.0,6.0,6.0,259338000,0,43810,0,43810
2016-05-23,1.85,-0.1,-1.67,5.9,6.0,6.0,6.0,49770000,0,8300,0,8300
2016-05-24,1.88,0.1,1.69,6.0,5.9,6.0,5.9,33640000,0,5700,0,5700
2016-05-25,1.85,-0.1,-1.67,5.9,5.9,6.0,6.0,355070000,0,60200,0,60200
2016-05-26,1.85,0.0,0.0,5.9,5.9,5.9,5.9,47088400,0,8098,0,8098
2016-05-27,1.85,0.0,0.0,5.9,5.9,6.0,5.9,337057500,0,57525,0,57525
2016-05-30,1.85,0.0,0.0,5.9,5.9,5.9,5.9,77860000,0,13200,0,13200
2016-05-31,1.85,0.0,0.0,5.9,5.9,5.9,5.9,132640000,0,22600,0,22600
2016-06-01,1.88,0.1,1.69,6.0,5.9,6.0,5.9,30700000,0,5200,0,5200
2016-06-02,1.88,0.0,0.0,6.0,5.8,6.0,6.0,53460000,0,9200,0,9200
2016-06-03,1.85,-0.1,-1.67,5.9,5.8,5.9,6.0,73530000,0,12500,0,12500
2016-06-06,1.85,0.0,0.0,5.9,5.9,5.9,5.9,209450000,0,35500,0,35500
2016-06-07,1.85,0.0,0.0,5.9,6.0,6.0,5.9,50200000,0,8500,0,8500
2016-06-08,1.85,0.0,0.0,5.9,5.9,5.9,5.9,27730000,0,4700,0,4700
2016-06-09,1.85,0.0,0.0,5.9,5.8,6.0,5.9,117390000,302400,19900,56,19956
