,Quý,Doanh thu thuần(MilVND),Lợi nhuận gộp(MilVND),LN thuần từ HĐKD (MilVND),LNST thu nhập DN(MilVND),LNST của CĐ cty mẹ (MilVND),Tài sản ngắn hạn(MilVND),Tổng tài sản (MilVND),Nợ phải trả(MilVND),Nợ ngắn hạn(MilVND),Vốn chủ sở hữu(MilVND),Lợi ích của CĐ thiểu số(MilVND),EPS của 4 quý gần nhất(VND),BVPS cơ bản(VND),P/E cơ bản(Times),ROS(%),ROEA(%),ROAA(%)
0,2016Q1,42098.0,3704.0,2775.0,2220.0,2220.0,70860.0,209620.0,17842.0,17842.0,191778.0,,123.0,10654.0,0.0,5.27,1.16,1.0
1,2016Q2,47103.0,3468.0,2966.0,2373.0,2373.0,76938.0,215315.0,21164.0,21164.0,194151.0,,255.0,10786.0,36.06,5.04,1.23,1.12
2,2016Q3,36209.0,2921.0,2383.0,1906.0,1906.0,72414.0,210783.0,14726.0,14726.0,196057.0,,361.0,10892.0,27.14,5.27,0.98,0.89
3,2016Q4,24117.0,506.0,40.0,1579.0,1579.0,69872.0,206506.0,8871.0,8871.0,197636.0,,449.0,10980.0,22.73,6.55,0.8,0.76
4,2017Q1,18907.0,1364.0,781.0,625.0,625.0,71821.0,208168.0,9908.0,9908.0,198261.0,,360.0,11014.0,29.43,3.31,0.32,0.3
5,2017Q2,21946.0,707.0,1047.0,1393.0,1393.0,76607.0,212373.0,12720.0,12720.0,199653.0,,306.0,11092.0,29.77,6.35,0.7,0.66
6,2017Q3,37396.0,547.0,6239.0,4991.0,4991.0,116703.0,252342.0,47696.0,47696.0,204646.0,,477.0,11369.0,30.39,13.35,2.47,2.15
7,2017Q4,14335.0,1078.0,1212.0,1206.0,1206.0,116121.0,249593.0,43747.0,43747.0,205846.0,,456.0,11436.0,7.45,8.41,0.59,0.48
8,2018Q1,18582.0,576.0,752.0,601.0,601.0,95895.0,229335.0,22845.0,22845.0,206490.0,,455.0,11472.0,7.03,3.24,0.29,0.25
9,2018Q2,22853.0,1159.0,1432.0,1263.0,1263.0,147475.0,232598.0,25030.0,25030.0,207569.0,,448.0,11532.0,8.71,5.53,0.61,0.55
10,2018Q3,51143.0,3966.0,5067.0,4054.0,4054.0,119882.0,304685.0,93064.0,93064.0,211621.0,,396.0,11757.0,12.63,7.93,1.93,1.51
11,2018Q4,30201.0,2018.0,1854.0,1460.0,1460.0,96397.0,281405.0,68324.0,68324.0,213081.0,,409.0,10385.0,11.98,4.83,0.69,0.5
12,2019Q1,20808.0,3068.0,3147.0,2510.0,2510.0,108089.0,438088.0,72497.0,72497.0,365590.0,,499.0,17816.0,9.43,12.06,0.87,0.7
13,2019Q2,14311.0,1978.0,2625.0,2369.0,2369.0,99510.0,429555.0,61919.0,61919.0,367636.0,,465.0,10350.0,6.23,16.56,0.65,0.55
14,2019Q3,35788.0,8598.0,6625.0,5193.0,2866.0,215381.0,752985.0,273110.0,272529.0,479874.0,,342.0,13510.0,10.22,14.51,0.68,0.48
15,2019Q4,22469.0,2158.0,9131.0,8987.0,8806.0,174317.0,806184.0,318272.0,317725.0,487912.0,,526.0,13736.0,9.88,40.0,1.82,1.13
16,2020Q1,21839.0,4492.0,3138.0,2492.0,2222.0,144178.0,837286.0,350543.0,346087.0,486743.0,,466.0,13703.0,7.3,11.41,0.46,0.27
17,2020Q2,21198.0,2398.0,-1956.0,-2117.0,-2179.0,144703.0,833373.0,348880.0,344393.0,484493.0,,330.0,13640.0,9.1,-9.99,-0.45,-0.26
18,2020Q3,20525.0,1788.0,585.0,445.0,275.0,502774.0,842376.0,357554.0,353191.0,484822.0,,257.0,13649.0,13.24,2.17,0.06,0.03
19,2020Q4,280757.0,21251.0,26537.0,24541.0,24195.0,1259907.0,1583767.0,1074480.0,370280.0,509288.0,,690.0,14338.0,10.29,8.74,4.87,1.99
20,2021Q1,114208.0,10492.0,12198.0,11975.0,11953.0,1077218.0,1655984.0,1137263.0,1133707.0,518720.0,,964.0,14604.0,11.93,10.49,2.32,0.74
21,2021Q2,121332.0,23564.0,20829.0,17146.0,17108.0,1533586.0,2120017.0,1321934.0,1318575.0,798083.0,,1301.0,12181.0,10.91,14.13,2.6,0.91
22,2021Q3,76799.0,16653.0,19021.0,16285.0,16162.0,1485202.0,2312903.0,1493772.0,1490216.0,819132.0,,1421.0,12502.0,11.54,21.2,2.0,0.73
23,2021Q4,152938.0,15246.0,43131.0,41766.0,41270.0,771905.0,1783555.0,936409.0,932372.0,847146.0,,1524.0,12930.0,12.21,27.31,4.95,2.01
24,2022Q1,100325.0,9197.0,22506.0,21630.0,21597.0,1057765.0,1846613.0,988030.0,985089.0,858583.0,,1495.0,12600.0,11.44,21.56,2.55,1.19
25,2022Q2,54828.0,4401.0,19797.0,17521.0,17521.0,714666.0,1616040.0,761080.0,758885.0,854960.0,,1446.0,12547.0,6.09,31.96,2.05,1.01
