Attributes,adjust,change_perc1,change_perc2,close,high,low,open,value_match,value_reconcile,volume_match,volume_reconcile,volume
Symbols,NHH,NHH,NHH,NHH,NHH,NHH,NHH,NHH,NHH,NHH,NHH,NHH
date,,,,,,,,,,,,
2017-09-08,15.23,24.0,36.36,90.0,92.0,84.0,90.0,2774460000,0,31300,0,31300
2017-09-12,12.7,-6.3,-7.75,75.0,80.0,70.0,80.0,638720000,0,8700,0,8700
2017-09-13,12.36,-0.4,-0.54,73.0,73.1,71.0,71.0,4331690000,0,60000,0,60000
2017-09-14,12.36,0.8,1.11,73.0,73.0,71.0,71.0,2070840000,2048000000,28600,25600,54200
2017-09-15,12.86,3.6,4.97,76.0,76.0,71.8,72.0,1421450000,328000000,19200,4100,23300
2017-09-18,13.03,3.0,4.05,77.0,77.0,75.0,75.0,1298510000,272000000,17000,3400,20400
2017-09-19,13.37,2.6,3.4,79.0,80.0,75.2,75.2,2454750000,0,31600,0,31600
2017-09-20,13.54,2.3,2.96,80.0,80.5,68.0,77.7,4328410000,0,55300,0,55300
2017-09-21,13.64,2.3,2.94,80.6,81.5,80.4,80.5,826880000,0,10200,0,10200
2017-09-22,13.61,-0.7,-0.86,80.4,81.1,80.3,80.3,1019460000,0,12600,0,12600
2017-09-25,13.86,1.0,1.24,81.9,81.9,80.1,80.1,1233340000,0,15200,0,15200
2017-09-26,13.93,1.2,1.48,82.3,82.3,81.3,81.3,1721680000,0,21100,0,21100
2017-09-27,14.22,2.4,2.94,84.0,84.5,83.0,83.0,680550000,0,8100,0,8100
2017-09-28,14.73,3.0,3.57,87.0,87.0,84.5,84.5,803650000,0,9300,0,9300
2017-09-29,14.71,0.5,0.58,86.9,88.0,86.5,87.5,766280000,0,8800,0,8800
2017-10-02,14.07,-4.0,-4.59,83.1,87.0,83.1,85.0,709670000,0,8300,0,8300
2017-10-03,14.22,-1.5,-1.75,84.0,85.5,81.6,85.5,125550000,0,1500,0,1500
2017-10-04,13.9,-1.6,-1.91,82.1,82.1,82.0,82.0,1328550000,0,16200,0,16200
2017-10-05,14.47,3.5,4.27,85.5,85.5,82.5,82.5,3712850000,0,43500,0,43500
2017-10-06,14.22,-1.4,-1.64,84.0,84.0,83.2,83.4,125160000,0,1500,0,1500
2017-10-09,14.13,0.1,0.12,83.5,83.5,83.4,83.4,91750000,0,1100,0,1100
2017-10-10,14.37,1.5,1.8,84.9,85.0,82.0,82.0,5929560000,0,69900,0,69900
2017-10-11,14.08,-1.6,-1.89,83.2,85.0,83.2,85.0,118280000,0,1400,0,1400
2017-10-12,14.15,-0.9,-1.07,83.6,84.9,83.6,84.9,194880000,0,2300,0,2300
2017-10-13,14.22,-0.7,-0.83,84.0,84.9,84.0,84.9,2849150000,0,33600,0,33600
2017-10-16,14.13,-1.3,-1.53,83.5,83.5,83.5,83.5,91850000,0,1100,0,1100
2017-10-17,14.05,-0.5,-0.6,83.0,83.0,83.0,83.0,8300000,0,100,0,100
2017-10-18,14.05,0.0,0.0,83.0,83.1,83.0,83.1,539600000,0,6500,0,6500
2017-10-19,14.05,0.0,0.0,83.0,83.0,83.0,83.0,107900000,0,1300,0,1300
2017-10-20,14.05,0.0,0.0,83.0,83.0,83.0,83.0,107900000,0,1300,0,1300
2017-10-23,13.96,-0.5,-0.6,82.5,83.0,82.5,83.0,199000000,0,2400,0,2400
2017-10-24,14.05,0.1,0.12,83.0,83.0,82.0,82.0,331000000,0,4000,0,4000
2017-10-25,14.02,0.0,0.0,82.8,82.8,82.8,82.8,0,0,0,0,0
2017-10-26,14.02,0.0,0.0,82.8,82.8,82.8,82.8,0,0,0,0,0
2017-10-27,14.02,0.0,0.0,82.8,82.8,82.8,82.8,0,0,0,0,0
2017-10-30,14.05,0.2,0.24,83.0,83.0,81.0,81.2,122150000,0,1500,0,1500
2017-10-31,13.22,-3.3,-4.05,78.1,80.0,78.1,80.0,327810000,0,4100,0,4100
2017-11-01,13.29,-1.5,-1.88,78.5,78.5,78.5,78.5,94200000,0,1200,0,1200
2017-11-02,13.2,-0.5,-0.64,78.0,78.5,78.0,78.5,172100000,0,2200,0,2200
2017-11-03,13.24,0.0,0.0,78.2,78.2,78.2,78.2,0,0,0,0,0
2017-11-06,13.24,0.0,0.0,78.2,78.2,78.2,78.2,0,0,0,0,0
2017-11-07,13.54,1.8,2.3,80.0,80.0,80.0,80.0,160000000,0,2000,0,2000
2017-11-09,13.54,0.0,0.0,80.0,80.0,80.0,80.0,1872000000,0,23400,0,23400
2017-11-10,13.54,0.0,0.0,80.0,80.0,80.0,80.0,0,0,0,0,0
2017-11-13,14.22,4.0,5.0,84.0,84.0,82.0,82.0,992400000,0,12100,0,12100
2017-11-14,13.88,0.0,0.0,82.0,82.1,82.0,82.1,82050000,0,1000,0,1000
2017-11-15,13.9,0.0,0.0,82.1,82.2,77.0,77.0,176050000,0,2200,0,2200
2017-11-16,13.96,2.5,3.13,82.5,82.5,82.5,82.5,33000000,0,400,0,400
2017-11-17,14.13,1.0,1.21,83.5,83.5,83.5,83.5,16700000,0,200,0,200
2017-11-20,14.15,0.1,0.12,83.6,83.6,83.5,83.5,58500000,0,700,0,700
2017-11-21,14.15,0.0,0.0,83.6,83.6,83.5,83.5,267500000,0,3200,0,3200
2017-11-22,14.15,0.0,0.0,83.6,83.6,83.6,83.6,326040000,0,3900,0,3900
